"PK_Envelope_ID","CK_SiteID","Ceiling Type","Ceiling Area","Ceiling Area_notes","Ceiling Accessible","Ceiling Insulated","Ceiling Insulation Type 1","Ceiling Insulation Thickness 1","Ceiling Insulation Thickness 1_notes","Ceiling Insulation Condition 1","Ceiling Insulation Condition 1_notes","Ceiling Insulation Type 2","Ceiling Insulation Thickness 2","Ceiling Insulation Thickness 2_notes","Ceiling Insulation Condition 2","Ceiling Insulation Condition 2_notes","Ceiling Insulation Type 3","Ceiling Insulation Thickness 3","Ceiling Insulation Thickness 3_notes","Ceiling Insulation Condition 3","Ceiling Insulation Condition 3_notes","Type of Area Above Ceiling","Ceiling Insulation U-Value","Ceiling Insulation U-Value_notes","Ceiling Insulation R-Value","Ceiling Insulation R-Value_notes","Ceiling U-Value for Heat Loss","Ceiling U-Value for Heat Loss_notes","Ceiling Heat Loss Rate (UA)","Ceiling Heat Loss Rate (UA)_notes","Ceiling Notes"
"Envelope_00000748","BLDG_00001","Attic",4900.0000,,"No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"Unknown",,"Unknown",0.0650,,319.9100,,"Attic not accessible. Unit inspected on first floor. Tenant unaware of roof construction or insulation situation."
"Envelope_00000630","BLDG_00002","Roof Deck",12975.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0250,,328.0700,,"N/A"
"Envelope_00000375","BLDG_00003","Attic",12500.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,552.0500,,"N/A"
"Envelope_00000377","BLDG_00004","Roof Deck",3700.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0250,,93.5500,,"N/A"
"Envelope_00000378","BLDG_00005","Attic",544.0000,,"Yes","Yes","Blown cellulose",10.0000,,1.0000,,"N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",0.0293,,34.1667,,0.0290,,15.9200,,"N/A"
"Envelope_00000379","BLDG_00005","Attic",544.0000,,"No","Yes","Blown Fiberglass",14.0000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",0.0253,,39.5500,,0.0250,,13.7500,,"Mirror of accessible attic"
"Envelope_00000380","BLDG_00005","Attic",1880.0000,,"No","Yes","Blown Fiberglass",14.0000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",0.0253,,39.5500,,0.0250,,47.5300,,"N/A"
"Envelope_00000381","BLDG_00009","Attic",3669.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,162.0400,,"N/A"
"Envelope_00000382","BLDG_00010","Roof Deck",2700.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0250,,68.2700,,"N/A"
"Envelope_00000383","BLDG_00016","Attic",21000.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,927.4400,,"N/A"
"Envelope_00000511","BLDG_00020","Attic",5804.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,256.3300,,"N/A"
"Envelope_00000384","BLDG_00022","Attic",3240.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,143.0900,,"N/A"
"Envelope_00000385","BLDG_00022","Sloped / Vaulted (no attic)",720.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0390,,27.8400,,"N/A"
"Envelope_00000631","BLDG_00023","Roof Deck",7980.0000,,"No","Yes","Blown Fiberglass",14.0000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",0.0253,,39.5500,,0.0250,,201.7700,,"N/A"
"Envelope_00008405","BLDG_00026","Attic",4356.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,192.3800,,"N/A"
"Envelope_00000641","BLDG_00027","Attic",35000.0000,,"No","Yes","Blown Fiberglass",14.0000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",0.0253,,39.5500,,0.0250,,884.9600,,"N/A"
"Envelope_00000376","BLDG_00028","Attic",3061.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,135.1800,,"N/A"
"Envelope_00000386","BLDG_00029","Attic",12045.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,531.9500,,"Could not access"
"Envelope_00000235","BLDG_00030","Attic",11280.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,498.1700,,"N/A"
"Envelope_00000387","BLDG_00031","Attic",1960.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,86.5600,,"N/A"
"Envelope_00000749","BLDG_00032","Attic",4800.0000,,"No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"Unknown",,"Unknown",0.0440,,211.9900,,"N/A"
"Envelope_00000639","BLDG_00034","Attic",1924.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,84.9700,,"N/A"
"Envelope_00000667","BLDG_00035","Attic",5108.0000,,"No","Yes","Blown Fiberglass",14.0000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",0.0253,,39.5500,,0.0250,,129.1500,,"N/A"
"Envelope_00000663","BLDG_00037","Attic",6608.0000,,"No","Yes","Blown Fiberglass",14.0000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",0.0253,,39.5500,,0.0250,,167.0800,,"N/A"
"Envelope_00000680","BLDG_00037","Attic",3230.0000,,"No","Yes","Blown Fiberglass",14.0000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",0.0253,,39.5500,,0.0250,,81.6700,,"Attic access is locked"
"Envelope_00000681","BLDG_00037","Attic",132.0000,,"No","Yes","Blown Fiberglass",14.0000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",0.0253,,39.5500,,0.0250,,3.3400,,"N/A"
"Envelope_00000669","BLDG_00038","Roof Deck",4920.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0250,,124.4000,,"N/A"
"Envelope_00000666","BLDG_00039","Attic",2736.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",,"Unknown",,"Unknown",0.0440,,120.8300,,"No access."
"Envelope_00000678","BLDG_00040","Attic",17525.0000,,"No","Yes","Blown Fiberglass",11.0000,,,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","N/A",0.0322,,31.0750,,0.0320,,563.9600,,"N/A"
"Envelope_00000611","BLDG_00041","Ceiling (Unknown)",8384.0000,,"No","Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown","Unknown",,"Unknown",,"Unknown",,"Exclude",,"Exclude","N/A"
"Envelope_00000750","BLDG_00042","Attic",3623.0000,,"No","N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"N/A",,"N/A","N/A",,"Unknown",,"Unknown",0.0440,,160.0000,,"N/A"
