"PK_WaterDetail_ID","CK_SiteID","CK_RoomID","Room Name","Room Type","Fixture Type","Rated GPM","Rated GPM_Notes","Measured GPM","Measured GPM_Notes","Primary Shower","Secondary Shower Usage","Notes"
"Water_00004438","SITE_01142","Room_00016557","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,2.8000,,"All used about the same","Daily / Almost Daily","N/A"
"Water_00004439","SITE_01142","Room_00016558","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,3.0000,,"N/A","N/A","N/A"
"Water_00004440","SITE_00176","Room_00008175","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,2.0000,,"N/A","N/A","N/A"
"Water_00004441","SITE_00176","Room_00008178","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,1.3000,,"N/A","N/A","N/A"
"Water_00004442","SITE_00176","Room_00008178","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,1.3000,,"N/A","N/A","N/A"
"Water_00004443","SITE_00176","Room_00008178","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,3.8000,,"Secondary","Daily / Almost Daily","N/A"
"Water_00004444","SITE_00044","Room_00006856","Bathroom_6","Bathroom","Bathroom Faucet",2.0000,,1.5000,,"N/A","N/A","N/A"
"Water_00004445","SITE_00044","Room_00006856","Bathroom_6","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",2.2000,,"Primary","Daily / Almost Daily","N/A"
"Water_00004446","SITE_00791","Room_00014317","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",2.0000,,"N/A","N/A","N/A"
"Water_00004447","SITE_00791","Room_00014320","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",2.0000,,"N/A","N/A","N/A"
"Water_00004448","SITE_00791","Room_00014320","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",3.0000,,"Primary","Daily / Almost Daily","N/A"
"Water_00004449","SITE_00056","Room_00006960","Bathroom_1","Bathroom","Bathroom Faucet",1.0000,,1.5000,,"N/A","N/A","N/A"
"Water_00004450","SITE_00056","Room_00006960","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",2.5000,,"Primary","Daily / Almost Daily","N/A"
"Water_00004451","SITE_00056","Room_00006961","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",1.5000,,"N/A","N/A","N/A"
"Water_00004452","SITE_00055","Room_00006952","Bathroom_6","Bathroom","Bathroom Faucet",,"Unknown",2.5000,,"N/A","N/A","N/A"
"Water_00004453","SITE_00055","Room_00006952","Bathroom_6","Bathroom","Shower",,"Unknown",2.5000,,"All used about the same","Daily / Almost Daily","N/A"
"Water_00004454","SITE_01154","Room_00016661","Kitchen_1","Kitchen","Kitchen Faucet",1.0000,,1.0000,,"N/A","N/A","N/A"
"Water_00004455","SITE_01154","Room_00016663","Bathroom_1","Bathroom","Bathroom Faucet",2.0000,,2.0000,,"N/A","N/A","N/A"
"Water_00004456","SITE_01154","Room_00016663","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.0000,,2.0000,,"Primary","Daily / Almost Daily","N/A"
"Water_00004457","SITE_00060","Room_00006993","Kitchen_1","Kitchen","Kitchen Faucet",,"Unknown",4.0000,,"N/A","N/A","N/A"
"Water_00004458","SITE_00060","Room_00006996","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",,"Unknown",2.0000,,"Primary","A few times per week","N/A"
"Water_00004459","SITE_00060","Room_00006996","Bathroom_1","Bathroom","Bathroom Faucet",2.0000,,1.5000,,"N/A","N/A","N/A"
"Water_00004460","SITE_00060","Room_00006996","Bathroom_1","Bathroom","Bathroom Faucet",2.0000,,1.5000,,"N/A","N/A","N/A"
"Water_00004461","SITE_00144","Room_00007730","Bathroom_1","Bathroom","Shower",,"Unknown",,"Unknown","Unknown","Unknown","Could not measure flow rate due to showerhead size."
"Water_00004462","SITE_00144","Room_00007730","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,2.0000,,"N/A","N/A","N/A"
"Water_00004463","SITE_00144","Room_00007730","Bathroom_1","Bathroom","Bathroom Faucet",1.5000,,2.0000,,"N/A","N/A","N/A"
"Water_00004464","SITE_00144","Room_00007737","Bathroom_2","Bathroom","Bathroom Faucet",1.5000,,2.0000,,"N/A","N/A","N/A"
"Water_00004465","SITE_00144","Room_00007737","Bathroom_2","Bathroom","Shower / Bathtub combo with diverter valve",1.5000,,1.5000,,"All used about the same","Daily / Almost Daily","N/A"
"Water_00004466","SITE_00144","Room_00007740","Bathroom_3","Bathroom","Bathroom Faucet",1.5000,,1.5000,,"N/A","N/A","N/A"
"Water_00004467","SITE_00144","Room_00007742","Kitchen_1","Kitchen","Kitchen Faucet",1.5000,,1.5000,,"N/A","N/A","N/A"
"Water_00004468","SITE_01198","Room_00017063","Bathroom_6","Bathroom","Bathroom Faucet",2.0000,,4.5000,,"N/A","N/A","N/A"
"Water_00004469","SITE_01198","Room_00017063","Bathroom_6","Bathroom","Shower",,"Unknown",,"Unknown","All used about the same","A few times per year","N/A"
"Water_00004470","SITE_01155","Room_00016667","Kitchen_1","Kitchen","Kitchen Faucet",2.2000,,2.5000,,"N/A","N/A","N/A"
"Water_00004471","SITE_01155","Room_00016671","Bathroom_1","Bathroom","Shower / Bathtub combo with diverter valve",2.5000,,2.5000,,"Primary","Daily / Almost Daily","N/A"
"Water_00004472","SITE_01155","Room_00016671","Bathroom_1","Bathroom","Bathroom Faucet",,"Unknown",2.0000,,"N/A","N/A","N/A"
"Water_00004473","SITE_00146","Room_00007753","Bathroom_6","Bathroom","Bathroom Faucet",1.0000,,2.0000,,"N/A","N/A","N/A"
