"PK_WindowDetail_ID","CK_SiteID","CK_RoomID","Type","Sub-Type","Area","Area_Notes","Quantity","Quantity_Notes","Frame / Body Type","Glazing Type","Window Direction","Window Frame Category","Glazing Frame Category","U-Value","U-Value_Notes","Window UA","Window UA_Notes","Notes"
"Window_00020544","SITE_00821","Room_00014595","Window","Slider",18.8906,,1,,"Vinyl","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,8.3400,,"N/A"
"Window_00020545","SITE_00822","Room_00014597","Window","Slider",23.0917,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,15.1300,,"N/A"
"Window_00020546","SITE_00822","Room_00014598","Window","Slider",30.7431,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,20.1400,,"N/A"
"Window_00020547","SITE_00855","Room_00014902","Door","Single",18.4834,,1,,"Fiberglass","Half window","N/A","N/A","N/A",0.8500,,15.7700,,"N/A"
"Window_00020548","SITE_00855","Room_00014903","Window","Fixed (picture)",11.3651,,1,,"Wood - bare","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.0200,,"N/A"
"Window_00020549","SITE_00855","Room_00014904","Window","Fixed (picture)",14.0869,,1,,"Wood - bare","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,6.2200,,"N/A"
"Window_00020550","SITE_00855","Room_00014904","Window","Single-hung",14.0869,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,9.2300,,"This window is where they install their ac"
"Window_00020551","SITE_00855","Room_00014905","Window","Fixed (picture)",11.5077,,4,,"Wood - bare","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,20.3200,,"N/A"
"Window_00020552","SITE_00855","Room_00014905","Window","Fixed (picture)",7.6283,,2,,"Wood - bare","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,6.7300,,"N/A"
"Window_00020553","SITE_00855","Room_00014906","Door","Single",20.2475,,1,,"Fiberglass","Half window","N/A","N/A","N/A",0.8500,,17.2800,,"N/A"
"Window_00020554","SITE_00855","Room_00014907","Window","Single-hung",13.1750,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,8.6300,,"N/A"
"Window_00020555","SITE_00855","Room_00014907","Window","Fixed (picture)",11.4278,,2,,"Wood - bare","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,10.0900,,"N/A"
"Window_00020556","SITE_00855","Room_00014909","Window","Single-hung",7.2027,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,4.7200,,"N/A"
"Window_00020557","SITE_00855","Room_00014908","Window","Fixed (picture)",13.1959,,1,,"Wood - bare","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.8300,,"N/A"
"Window_00020558","SITE_00855","Room_00014908","Window","Single-hung",13.1959,,1,,"Aluminum","Double","East","Metal","Double",0.6600,,8.6400,,"N/A"
"Window_00020559","SITE_00855","Room_00014910","Window","Slider",14.4711,,1,,"Aluminum","Double","East","Metal","Double",0.6600,,9.4800,,"N/A"
"Window_00020560","SITE_00855","Room_00014911","Window","Single-hung",3.8533,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,2.5200,,"N/A"
"Window_00020561","SITE_00855","Room_00014912","Window","Slider",14.3333,,1,,"Aluminum","Double","North","Metal","Double",0.6600,,9.3900,,"N/A"
"Window_00020562","SITE_00855","Room_00014913","Window","Slider",14.3813,,1,,"Aluminum","Double","South","Metal","Double",0.6600,,9.4200,,"N/A"
"Window_00020563","SITE_00817","Room_00014557","Window","Slider",10.9404,,1,,"Vinyl","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,4.8300,,"N/A"
"Window_00020564","SITE_00817","Room_00014558","Window","Double-hung",10.9167,,1,,"Vinyl","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,4.8200,,"N/A"
"Window_00020565","SITE_00817","Room_00014559","Window","Double-hung",5.3750,,1,,"Vinyl","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,2.3700,,"N/A"
"Window_00020566","SITE_00956","Room_00015130","Window","Single-hung",13.7679,,1,,"Vinyl","Double","SE","Wood, Vinyl, or Fiberglass","Double",0.4400,,6.0800,,"N/A"
"Window_00020567","SITE_00956","Room_00015131","Window","Slider",28.6000,,1,,"Vinyl","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,12.6200,,"N/A"
"Window_00020568","SITE_00823","Room_00014604","Window","Slider",12.5717,,1,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.5500,,"N/A"
"Window_00020569","SITE_00823","Room_00014605","Window","Slider",12.5441,,1,,"Vinyl","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.5400,,"N/A"
"Window_00020570","SITE_00823","Room_00014607","Window","Slider",7.8400,,1,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,3.4600,,"N/A"
"Window_00020571","SITE_00818","Room_00014566","Window","Slider",10.7219,,1,,"Wood - bare","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,4.7300,,"N/A"
"Window_00020572","SITE_00818","Room_00014567","Window","Slider",17.0578,,1,,"Wood - bare","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,7.5300,,"N/A"
"Window_00020573","SITE_00818","Room_00014567","Window","Slider",17.0578,,1,,"Wood - bare","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,7.5300,,"N/A"
"Window_00020574","SITE_00818","Room_00014567","Door","Single",19.9014,,1,,"Metal","Half window","N/A","N/A","N/A",1.2300,,24.4100,,"Full height window"
"Window_00020575","SITE_00818","Room_00014570","Window","Slider",13.3719,,1,,"Wood - bare","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.9000,,"N/A"
"Window_00020576","SITE_00818","Room_00014571","Window","Slider",13.0000,,1,,"Wood - bare","Double","South","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.7400,,"N/A"
"Window_00020577","SITE_00818","Room_00014572","Window","Slider",13.2500,,1,,"Wood - bare","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.8500,,"N/A"
"Window_00020578","SITE_00824","Room_00014614","Window","Slider",11.6525,,1,,"Aluminum","Single","North","Metal","Single",1.2300,,14.2900,,"N/A"
"Window_00020579","SITE_00824","Room_00014615","Window","Slider",16.5278,,1,,"Aluminum","Single","North","Metal","Single",1.2300,,20.2700,,"N/A"
"Window_00020580","SITE_00836","Room_00014715","Door","Double",40.7126,,1,,"Fiberglass","Half window","N/A","N/A","N/A",0.8500,,34.7400,,"Full height window"
"Window_00020581","SITE_00836","Room_00014717","Window","Single-hung",16.7785,,1,,"Vinyl","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,7.4100,,"N/A"
"Window_00020582","SITE_00831","Room_00014677","Door","Double",32.4217,,1,,"Wood Solid Core","Half window","N/A","N/A","N/A",0.4000,,12.9700,,"Full height window"
"Window_00020583","SITE_00831","Room_00014679","Window","Slider",18.7451,,1,,"Wood - bare","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,8.2700,,"N/A"
"Window_00020584","SITE_00831","Room_00014679","Door","Single",20.2812,,1,,"Metal","None","N/A","N/A","N/A",1.2300,,24.8800,,"N/A"
"Window_00020585","SITE_00831","Room_00014682","Window","Slider",12.8975,,1,,"Wood - bare","Double","West","Wood, Vinyl, or Fiberglass","Double",0.4400,,5.6900,,"N/A"
"Window_00020586","SITE_00831","Room_00014683","Window","Slider",16.3159,,1,,"Wood - bare","Double","East","Wood, Vinyl, or Fiberglass","Double",0.4400,,7.2000,,"N/A"
"Window_00020587","SITE_00827","Room_00014642","Window","Slider",30.1199,,1,,"Vinyl","Double","North","Wood, Vinyl, or Fiberglass","Double",0.4400,,13.3000,,"N/A"
