Table,Variable,Position,Units,Variable type,Variable Description / Question Text,2017 Table,2017 Variable,2011 Table,2011 Variable
Appliance_AirCleaner.csv,CK_SiteID,1,,ID,Site ID,,,,
Appliance_AirCleaner.csv,CK_RoomID,2,,ID,Room ID,,,,
Appliance_AirCleaner.csv,PK_ApplianceID,3,,ID,Appliance ID,,,,
Appliance_AirCleaner.csv,Make,4,,text,Make,,,,
Appliance_AirCleaner.csv,Model,5,,long_text,Model,,,,
Appliance_AirCleaner.csv,Vintage,6,,integer,Year manufactured,,,,
Appliance_AirCleaner.csv,Energy_Star,7,,Single Choice selection,Energy Star,,,,
Appliance_AirCleaner.csv,WiFi_Capable,8,,Single Choice selection,Wi-fi capable,,,,
Appliance_AudioEquipment.csv,CK_SiteID,1,,ID,Site ID,Appliance_AudioEquipment.csv,CK_SiteID,SFelectronics,siteid
Appliance_AudioEquipment.csv,CK_RoomID,2,,ID,Room ID,Appliance_AudioEquipment.csv,CK_RoomID,SFelectronics,room_it
Appliance_AudioEquipment.csv,PK_ApplianceID,3,,ID,Appliance ID,Appliance_AudioEquipment.csv,PK_ApplianceID,,
Appliance_AudioEquipment.csv,Make,4,,Single Choice selection,Make,Appliance_AudioEquipment.csv,Make,,
Appliance_AudioEquipment.csv,Model,5,,long_text,Model,Appliance_AudioEquipment.csv,Model,,
Appliance_AudioEquipment.csv,Vintage,6,,integer,Year manufactured,Appliance_AudioEquipment.csv,Vintage,,
Appliance_AudioEquipment.csv,Energy_Star,7,,Single Choice selection,Energy Star,Appliance_AudioEquipment.csv,Energy Star,,
Appliance_AudioEquipment.csv,Audio_Wifi_Enabled,8,,Single Choice selection,Wi-fi capable,Appliance_AudioEquipment.csv,Audio Wifi Enabled,,
Appliance_AudioEquipment.csv,Audio_Voice_Assistant,9,,Single Choice selection,Audio equipment has a voice assistant?,,,,
Appliance_AudioEquipment.csv,Audio_Connected_to_TV,10,,Single Choice selection,Audio equipment is connected to TV?,Appliance_AudioEquipment.csv,Audio Connected to TV,,
Appliance_AudioEquipment.csv,Contains_Subwoofer,11,,Single Choice selection,Does audio equipment include a subwoofer?,Appliance_AudioEquipment.csv,Contains Suboofer,SFelectronics,Electronics_Sub
Appliance_AudioEquipment.csv,Does_Subwoofer_have_indicator_light_or_warm_to_touch,12,,Single Choice selection,Does subwoofer have indicator light or was it warm to the touch?,Appliance_AudioEquipment.csv,Does Subwoofer have indicator light or warm to touch,SFelectronics,Electronics_Subpowered
Appliance_Computer.csv,CK_SiteID,1,,ID,Site ID,Appliance_Computer.csv,CK_SiteID,SFcomputer,siteid
Appliance_Computer.csv,CK_RoomID,2,,ID,Room ID,Appliance_Computer.csv,CK_RoomID,SFelectronics,room_it
Appliance_Computer.csv,PK_ApplianceID,3,,ID,Appliance ID,Appliance_Computer.csv,PK_ApplianceID,,
Appliance_Computer.csv,Type,4,,Single Choice selection,Type,Appliance_Computer.csv,Type,SFcomputer,Computer_Type
Appliance_Computer.csv,Make,5,,Single Choice selection,Make,Appliance_Computer.csv,Make,,
Appliance_Computer.csv,Make_Other,6,,long_text,Other SPECIFY:,,,,
Appliance_Computer.csv,Vintage,7,,integer,Year manufactured,Appliance_Computer.csv,Vintage,,
Appliance_Computer.csv,Model,8,,long_text,Model,Appliance_Computer.csv,Model,,
Appliance_Computer.csv,Energy_Star,9,,Single Choice selection,Energy Star,Appliance_Computer.csv,Energy Star,,
Appliance_Computer.csv,Primary_Computer,10,,Single Choice selection,Primary,,,,
Appliance_Computer.csv,Computer_Wifi,11,,Single Choice selection,Wi-fi capable,Appliance_Computer.csv,Computer Wifi,,
Appliance_Computer.csv,Internet_Access,12,,Single Choice selection,Internet access?,,,,
Appliance_Computer.csv,Computer_Number_of_Screens,13,,integer,Number of screens,Appliance_Computer.csv,Computer Number of Screens,SFcomputer,Computer_Screens
Appliance_Computer.csv,Computer_Primary_External_Monitor,14,,Single Choice selection,Primary monitor external?,Appliance_Computer.csv,Computer Primary External Monitor,,
Appliance_Computer.csv,Primary_Monitor_Size,15,Diagonal Inches,decimal,Primary monitor size (diagonal inches),Appliance_Computer.csv,Primary Monitor Size,SFcomputer,Computer_Screen1
Appliance_Computer.csv,Primary_Monitor_Size_Is_Estimated,16,,Single Choice selection,Primary monitor size is estimated?,,,,
Appliance_Computer.csv,Primary_Monitor_Type,17,,Single Choice selection,Primary monitor type,Appliance_Computer.csv,Primary Monitor Type,,
Appliance_Computer.csv,Secondary_Monitor_External,18,,Single Choice selection,Secondary monitor external?,Appliance_Computer.csv,Secondary Monitor External,,
Appliance_Computer.csv,Secondary_Monitor_Size,19,Diagonal Inches,decimal,Secondary monitor size (diagonal inches),Appliance_Computer.csv,Secondary Monitor Size,SFcomputer,Computer_Screen2
Appliance_Computer.csv,Secondary_Monitor_Size_Is_Estimated,20,,Single Choice selection,Secondary monitor size is estimated?,,,,
Appliance_Computer.csv,Secondary_Monitor_Type,21,,Single Choice selection,Secondary monitor type,Appliance_Computer.csv,Secondary Monitor Type,,
Appliance_Computer.csv,Third_Monitor_Size,22,Diagonal Inches,decimal,Third monitor size (diagonal inches),Appliance_Computer.csv,Size Of Screen 3,SFcomputer,Computer_Screen3
Appliance_Computer.csv,Third_Monitor_Size_Is_Estimated,23,,Single Choice selection,Third monitor size is estimated?,,,,
Appliance_Computer.csv,Computer_Printer,24,,Single Choice selection,"Is there a printer connected to the computer, whether via Wi-fi or hardwired?",Appliance_Computer.csv,Computer Printer,,
Appliance_Computer.csv,Computer_External_Drive,25,,Single Choice selection,Are there external drives connected to the computer?,Appliance_Computer.csv,Computer External Drive,,
Appliance_Computer.csv,Computer_Number_of_Modems_Routers_Switches,26,,integer,Number of modems / routers / switches,Appliance_Computer.csv,Computer Number of Modems Routers Switches,,
Appliance_Computer.csv,Computer_Number_of_Other_Accessories,27,,integer,Number of other accessories,Appliance_Computer.csv,Computer Number of Other Accessories,SFcomputer,Computer_Accessories
Appliance_Computer.csv,Computer_Other_Accessory_Description,28,,text,Description of other accessories,Appliance_Computer.csv,Computer Other Accessory Description,,
Appliance_Computer.csv,Computer_In_single_strip,29,,Single Choice selection,Are all items plugged into a single strip?,Appliance_Computer.csv,Computer In single strip,SFcomputer,Computer_SingleStrip
Appliance_Computer.csv,Computer_Uninterruptible_Power,30,,Single Choice selection,Uninterruptible power supply?,Appliance_Computer.csv,Computer Uninterruptible Power,,
Appliance_Computer.csv,Uninterruptible_Power_Size_kW,31,kW,decimal,Uninterruptible power supply size (kW),Appliance_Computer.csv,Uninterruptible Power Size kW,,
Appliance_Computer.csv,Room_Type,32,,Single Choice selection,Room Type,Appliance_Computer.csv,Room Type,,
Appliance_Computer.csv,Computer_Hours_of_Use,33,Hours per day,integer,On average how many hours of day is the computer used?,,,,
Appliance_Computer.csv,Computer_Is_Left_On,34,,Single Choice selection,Is the computer left on after use?,,,,
Appliance_Dehumidifier.csv,CK_SiteID,1,,ID,Site ID,Appliance_Dehumidifier.csv,CK_SiteID,,
Appliance_Dehumidifier.csv,CK_RoomID,2,,ID,Room ID,Appliance_Dehumidifier.csv,CK_RoomID,,
Appliance_Dehumidifier.csv,PK_ApplianceID,3,,ID,Appliance ID,Appliance_Dehumidifier.csv,PK_ApplianceID,,
Appliance_Dehumidifier.csv,Make,4,,text,Make,Appliance_Dehumidifier.csv,Make,,
Appliance_Dehumidifier.csv,Model,5,,long_text,Model,Appliance_Dehumidifier.csv,Model,,
Appliance_Dehumidifier.csv,Vintage,6,,integer,Year manufactured,Appliance_Dehumidifier.csv,Vintage,,
Appliance_Dehumidifier.csv,Energy_Star,7,,Single Choice selection,Energy Star,Appliance_Dehumidifier.csv,Energy Star,,
Appliance_Dehumidifier.csv,Dehumidifier_Direct_Plumbed,8,,Single Choice selection,"Is directly / automatically drained? (sump pump, piped to floor drain, etc.)",Appliance_Dehumidifier.csv,Dehumidifier Direct Plumbed,,
Appliance_Dehumidifier.csv,Dehumidifier_Capacity_Pints,9,pints / day,decimal,Capacity (pints / day),Appliance_Dehumidifier.csv,Dehumidifier Capacity,,
Appliance_Dehumidifier.csv,Dehumidifier_Capacity_Is_Estimated,10,pints,Single Choice selection,Capacity (pints) is estimated?,,,,
Appliance_Dehumidifier.csv,Dehumidifier_Watts,11,Watts,decimal,"Capacity in watts, if available",,,,
Appliance_Dehumidifier.csv,Dehumidifier_Watts_Is_Estimated,12,watts,Single Choice selection,Capacity (watts) is estimated?,,,,
Appliance_Dehumidifier.csv,Dehumidifier_Amps,13,Amps,decimal,"Capacity in amps, if available",,,,
Appliance_Dehumidifier.csv,Dehumidifier_Amps_Is_Estimated,14,amps,Single Choice selection,Capacity (amps) is estimated?,,,,
Appliance_Dehumidifier.csv,Room_Type,15,,Single Choice selection,Room Type,Appliance_Dehumidifier.csv,Room Type,,
Appliance_Dishwasher.csv,CK_SiteID,1,,ID,Site ID,Appliance_Dishwasher.csv,CK_SiteID,SFdishwasher,siteid
Appliance_Dishwasher.csv,CK_RoomID,2,,ID,Room ID,Appliance_Dishwasher.csv,CK_RoomID,,
Appliance_Dishwasher.csv,PK_ApplianceID,3,,ID,Appliance ID,Appliance_Dishwasher.csv,PK_ApplianceID,,
Appliance_Dishwasher.csv,Type,4,,Single Choice selection,Dishwasher Type,Appliance_Dishwasher.csv,Type,,
Appliance_Dishwasher.csv,Make,5,,Single Choice selection,Make,Appliance_Dishwasher.csv,Make,,
Appliance_Dishwasher.csv,Make_Other,6,,long_text,Other SPECIFY:,,,,
Appliance_Dishwasher.csv,Model,7,,long_text,Model,Appliance_Dishwasher.csv,Model,,
Appliance_Dishwasher.csv,Vintage,8,,integer,Year manufactured,Appliance_Dishwasher.csv,Vintage,SFdishwasher,DWYear
Appliance_Dishwasher.csv,Serial,9,,text,Serial Number,Appliance_Dishwasher.csv,Serial,,
Appliance_Dishwasher.csv,Energy_Star,10,,Single Choice selection,Energy Star,Appliance_Dishwasher.csv,Energy Star,,
Appliance_Dishwasher.csv,WiFi_Capable,11,,Single Choice selection,Wi-fi capable,,,,
Appliance_Dishwasher.csv,Room_Type,12,,Single Choice selection,Room Type,Appliance_Dishwasher.csv,Room Type,,
Appliance_Dishwasher.csv,Dishwasher_Missing_Model_Reason,13,,Single Choice selection,Reason why model number isn’t available?,,,,
Appliance_Dishwasher.csv,Dishwasher_Missing_Model_Reason_Other,14,,long_text,Other SPECIFY:,,,,
Appliance_Disposal.csv,CK_SiteID,1,,ID,Site ID,,,,
Appliance_Disposal.csv,CK_RoomID,2,,ID,Room ID,,,,
Appliance_Disposal.csv,PK_ApplianceID,3,,ID,Appliance ID,,,,
Appliance_Disposal.csv,Make,4,,Single Choice selection,Make,,,,
Appliance_Disposal.csv,Make_Other,5,,long_text,Other SPECIFY:,,,,
Appliance_Disposal.csv,Model,6,,long_text,Model,,,,
Appliance_Disposal.csv,Vintage,7,,integer,Year manufactured,,,,
Appliance_Disposal.csv,Serial,8,,text,Serial Number,,,,
Appliance_Disposal.csv,WiFi_Capable,9,,Single Choice selection,Wi-fi capable,,,,
Appliance_Disposal.csv,Motor_Power,10,HP,decimal,Motor Power,,,,
Appliance_Disposal.csv,Motor_Power_Units,11,,Single Choice selection,Motor Power Units,,,,
Appliance_Disposal.csv,Disposal_Missing_Model_Reason,12,,Single Choice selection,Reason why model number isn’t available?,,,,
Appliance_Disposal.csv,Disposal_Missing_Model_Reason_Other,13,,long_text,Other SPECIFY:,,,,
Appliance_GameConsole.csv,CK_SiteID,1,,ID,Site ID,Appliance_GameConsole.csv,CK_SiteID,SFgame,siteid
Appliance_GameConsole.csv,CK_RoomID,2,,ID,Room ID,Appliance_GameConsole.csv,CK_RoomID,SFgame,room_it
