Table,Variable,Values
Appliance_AirCleaner.csv,Energy_Star,No
Appliance_AirCleaner.csv,Energy_Star,Yes
Appliance_AirCleaner.csv,WiFi_Capable,No
Appliance_AirCleaner.csv,WiFi_Capable,Yes
Appliance_AudioEquipment.csv,Audio_Connected_to_TV,No
Appliance_AudioEquipment.csv,Audio_Connected_to_TV,Yes
Appliance_AudioEquipment.csv,Audio_Voice_Assistant,No
Appliance_AudioEquipment.csv,Audio_Voice_Assistant,Yes
Appliance_AudioEquipment.csv,Audio_Wifi_Enabled,No
Appliance_AudioEquipment.csv,Audio_Wifi_Enabled,Yes
Appliance_AudioEquipment.csv,Contains_Subwoofer,No
Appliance_AudioEquipment.csv,Contains_Subwoofer,Yes
Appliance_AudioEquipment.csv,Does_Subwoofer_have_indicator_light_or_warm_to_touch,No
Appliance_AudioEquipment.csv,Does_Subwoofer_have_indicator_light_or_warm_to_touch,Yes
Appliance_AudioEquipment.csv,Energy_Star,No
Appliance_AudioEquipment.csv,Energy_Star,Yes
Appliance_Computer.csv,Computer_External_Drive,No
Appliance_Computer.csv,Computer_External_Drive,Yes
Appliance_Computer.csv,Computer_In_single_strip,No
Appliance_Computer.csv,Computer_In_single_strip,Yes
Appliance_Computer.csv,Computer_Is_Left_On,No
Appliance_Computer.csv,Computer_Is_Left_On,Yes
Appliance_Computer.csv,Computer_Primary_External_Monitor,No
Appliance_Computer.csv,Computer_Primary_External_Monitor,Yes
Appliance_Computer.csv,Computer_Printer,No
Appliance_Computer.csv,Computer_Printer,Yes
Appliance_Computer.csv,Computer_Uninterruptible_Power,No
Appliance_Computer.csv,Computer_Uninterruptible_Power,Yes
Appliance_Computer.csv,Computer_Wifi,No
Appliance_Computer.csv,Computer_Wifi,Yes
Appliance_Computer.csv,Energy_Star,No
Appliance_Computer.csv,Energy_Star,Yes
Appliance_Computer.csv,Internet_Access,No
Appliance_Computer.csv,Internet_Access,Yes
Appliance_Computer.csv,Primary_Computer,No
Appliance_Computer.csv,Primary_Computer,Yes
Appliance_Computer.csv,Primary_Monitor_Size_Is_Estimated,Estimated
Appliance_Computer.csv,Primary_Monitor_Size_Is_Estimated,Measured or Known
Appliance_Computer.csv,Primary_Monitor_Type,CRT/Tube
Appliance_Computer.csv,Primary_Monitor_Type,LCD - Fluorescent
Appliance_Computer.csv,Primary_Monitor_Type,LCD - LED
Appliance_Computer.csv,Primary_Monitor_Type,OLED
Appliance_Computer.csv,Room_Type,Basement
Appliance_Computer.csv,Room_Type,Bathroom
Appliance_Computer.csv,Room_Type,Bedroom
Appliance_Computer.csv,Room_Type,Closet
Appliance_Computer.csv,Room_Type,Dining Room
Appliance_Computer.csv,Room_Type,Entry/Entryway
Appliance_Computer.csv,Room_Type,Family Room
Appliance_Computer.csv,Room_Type,Garage
Appliance_Computer.csv,Room_Type,Hallway
Appliance_Computer.csv,Room_Type,Kitchen
Appliance_Computer.csv,Room_Type,Laundry
Appliance_Computer.csv,Room_Type,Living Room
Appliance_Computer.csv,Room_Type,Mechanical
Appliance_Computer.csv,Room_Type,Office
Appliance_Computer.csv,Room_Type,Other
Appliance_Computer.csv,Room_Type,Outbuilding / Addition
Appliance_Computer.csv,Room_Type,Outside
Appliance_Computer.csv,Secondary_Monitor_External,No
Appliance_Computer.csv,Secondary_Monitor_External,Yes
Appliance_Computer.csv,Secondary_Monitor_Size_Is_Estimated,Estimated
Appliance_Computer.csv,Secondary_Monitor_Size_Is_Estimated,Measured or Known
Appliance_Computer.csv,Secondary_Monitor_Type,LCD - Fluorescent
Appliance_Computer.csv,Secondary_Monitor_Type,LCD - LED
Appliance_Computer.csv,Secondary_Monitor_Type,OLED
Appliance_Computer.csv,Third_Monitor_Size_Is_Estimated,Estimated
Appliance_Computer.csv,Third_Monitor_Size_Is_Estimated,Measured or Known
Appliance_Computer.csv,Type,Desktop
Appliance_Computer.csv,Type,Integrated
Appliance_Computer.csv,Type,Laptop
Appliance_Dehumidifier.csv,Dehumidifier_Amps_Is_Estimated,Measured or Known
Appliance_Dehumidifier.csv,Dehumidifier_Capacity_Is_Estimated,Measured or Known
Appliance_Dehumidifier.csv,Dehumidifier_Direct_Plumbed,No
Appliance_Dehumidifier.csv,Dehumidifier_Direct_Plumbed,Yes
Appliance_Dehumidifier.csv,Dehumidifier_Watts_Is_Estimated,Measured or Known
Appliance_Dehumidifier.csv,Energy_Star,No
Appliance_Dehumidifier.csv,Energy_Star,Yes
Appliance_Dehumidifier.csv,Room_Type,Attic
Appliance_Dehumidifier.csv,Room_Type,Basement
Appliance_Dehumidifier.csv,Room_Type,Bathroom
Appliance_Dehumidifier.csv,Room_Type,Bedroom
Appliance_Dehumidifier.csv,Room_Type,Closet
Appliance_Dehumidifier.csv,Room_Type,Crawlspace
Appliance_Dehumidifier.csv,Room_Type,Family Room
Appliance_Dehumidifier.csv,Room_Type,Garage
Appliance_Dehumidifier.csv,Room_Type,Hallway
Appliance_Dehumidifier.csv,Room_Type,Laundry
Appliance_Dehumidifier.csv,Room_Type,Living Room
Appliance_Dehumidifier.csv,Room_Type,Mechanical
Appliance_Dehumidifier.csv,Room_Type,Office
Appliance_Dehumidifier.csv,Room_Type,Other
Appliance_Dishwasher.csv,Dishwasher_Missing_Model_Reason,NAMEPLATE IS ILLEGIBLE
Appliance_Dishwasher.csv,Dishwasher_Missing_Model_Reason,NO NAMEPLATE
Appliance_Dishwasher.csv,Energy_Star,No
Appliance_Dishwasher.csv,Energy_Star,Yes
Appliance_Dishwasher.csv,Room_Type,Basement
Appliance_Dishwasher.csv,Room_Type,Bedroom
Appliance_Dishwasher.csv,Room_Type,Dining Room
Appliance_Dishwasher.csv,Room_Type,Family Room
Appliance_Dishwasher.csv,Room_Type,Garage
Appliance_Dishwasher.csv,Room_Type,Kitchen
Appliance_Dishwasher.csv,Room_Type,Laundry
Appliance_Dishwasher.csv,Room_Type,Living Room
Appliance_Dishwasher.csv,Room_Type,Office
Appliance_Dishwasher.csv,Room_Type,Other
Appliance_Dishwasher.csv,Room_Type,Outbuilding / Addition
Appliance_Dishwasher.csv,Type,Compact (< 18in.)
Appliance_Dishwasher.csv,Type,Countertop
Appliance_Dishwasher.csv,Type,Standard (approx 24in.)
Appliance_Dishwasher.csv,WiFi_Capable,No
Appliance_Dishwasher.csv,WiFi_Capable,Yes
Appliance_Disposal.csv,Disposal_Missing_Model_Reason,NO NAMEPLATE
Appliance_Disposal.csv,Disposal_Missing_Model_Reason,OTHER
Appliance_Disposal.csv,Make,Americana
Appliance_Disposal.csv,Make,Crosley
Appliance_Disposal.csv,Make,Frigidaire
Appliance_Disposal.csv,Make,General Electric
Appliance_Disposal.csv,Make,InSinkErator
Appliance_Disposal.csv,Make,Jenn Air
Appliance_Disposal.csv,Make,Kenmore
Appliance_Disposal.csv,Make,KitchenAid
Appliance_Disposal.csv,Make,Maytag
Appliance_Disposal.csv,Make,Other
Appliance_Disposal.csv,Make,Sears
Appliance_Disposal.csv,Make,Tappan
Appliance_Disposal.csv,Make,Viking
Appliance_Disposal.csv,Make,Waste King
Appliance_Disposal.csv,Make,Whirlpool
Appliance_Disposal.csv,Motor_Power_Units,BHP
Appliance_Disposal.csv,Motor_Power_Units,HP
Appliance_Disposal.csv,Motor_Power_Units,kW
Appliance_Disposal.csv,WiFi_Capable,No
Appliance_Disposal.csv,WiFi_Capable,Yes
Appliance_GameConsole.csv,Room_Type,Basement
Appliance_GameConsole.csv,Room_Type,Bedroom
Appliance_GameConsole.csv,Room_Type,Closet
Appliance_GameConsole.csv,Room_Type,Dining Room
Appliance_GameConsole.csv,Room_Type,Family Room
Appliance_GameConsole.csv,Room_Type,Garage
Appliance_GameConsole.csv,Room_Type,Hallway
Appliance_GameConsole.csv,Room_Type,Kitchen
Appliance_GameConsole.csv,Room_Type,Laundry
Appliance_GameConsole.csv,Room_Type,Living Room
Appliance_GameConsole.csv,Room_Type,Mechanical
Appliance_GameConsole.csv,Room_Type,Office
Appliance_GameConsole.csv,Room_Type,Other
Appliance_GameConsole.csv,Room_Type,Outbuilding / Addition
Appliance_GameConsole.csv,Used_for_DVD_or_Bluray,No
Appliance_GameConsole.csv,Used_for_DVD_or_Bluray,Yes
Appliance_GameConsole.csv,Wifi_Enabled,No
Appliance_GameConsole.csv,Wifi_Enabled,Yes
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Air Fryer
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Blender
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Coffee maker
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Electric Kettle/Water Heater
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Food processor
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Ice cream maker
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Microwave
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Mixer
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Other
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Rice cooker
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Slow cooker
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Slow cooker / Pressure Cooker / Instapot
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Sous-vide
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Standalone Ice-maker
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Toaster - conventional
Appliance_KitchenMisc.csv,Kitchen_Appliance_Type,Toaster - toaster oven
Appliance_LargeUnusualLoad.csv,Energy_Star,No
Appliance_LargeUnusualLoad.csv,Energy_Star,Yes
Appliance_LargeUnusualLoad.csv,Room_Type,Basement
Appliance_LargeUnusualLoad.csv,Room_Type,Bathroom
Appliance_LargeUnusualLoad.csv,Room_Type,Bedroom
Appliance_LargeUnusualLoad.csv,Room_Type,Crawlspace
Appliance_LargeUnusualLoad.csv,Room_Type,Dining Room
Appliance_LargeUnusualLoad.csv,Room_Type,Entry/Entryway
Appliance_LargeUnusualLoad.csv,Room_Type,Family Room
Appliance_LargeUnusualLoad.csv,Room_Type,Garage
Appliance_LargeUnusualLoad.csv,Room_Type,Hallway
Appliance_LargeUnusualLoad.csv,Room_Type,Kitchen
Appliance_LargeUnusualLoad.csv,Room_Type,Laundry
Appliance_LargeUnusualLoad.csv,Room_Type,Living Room
Appliance_LargeUnusualLoad.csv,Room_Type,Mechanical
Appliance_LargeUnusualLoad.csv,Room_Type,Office
Appliance_LargeUnusualLoad.csv,Room_Type,Other
Appliance_LargeUnusualLoad.csv,Room_Type,Outbuilding / Addition
Appliance_LargeUnusualLoad.csv,Room_Type,Outside
Appliance_LargeUnusualLoad.csv,Type,Chicken heat lamp
Appliance_LargeUnusualLoad.csv,Type,Exercise Equipment
Appliance_LargeUnusualLoad.csv,Type,Freshwater Pump (i.e. House supply)
Appliance_LargeUnusualLoad.csv,Type,Garage door opener
Appliance_LargeUnusualLoad.csv,Type,Heated Pool
Appliance_LargeUnusualLoad.csv,Type,Hot Tub
Appliance_LargeUnusualLoad.csv,Type,Irrigation Pump
Appliance_LargeUnusualLoad.csv,Type,Kiln (Electric)
Appliance_LargeUnusualLoad.csv,Type,Other
Appliance_LargeUnusualLoad.csv,Type,Pool Pump
Appliance_LargeUnusualLoad.csv,Type,Power Tool
Appliance_LargeUnusualLoad.csv,Type,Sauna
Appliance_LargeUnusualLoad.csv,Type,Septic pump
Appliance_LargeUnusualLoad.csv,Type,Stock tank heaters
Appliance_LargeUnusualLoad.csv,Type,Water Circulator Pump
Appliance_LargeUnusualLoad.csv,Type,Water feature
Appliance_LargeUnusualLoad.csv,Type,Welder (electric)
Appliance_LargeUnusualLoad.csv,Type,Whole House Vacuum
Appliance_Laundry.csv,Dryer_Fuel,Electric
Appliance_Laundry.csv,Dryer_Fuel,Natural Gas
Appliance_Laundry.csv,Dryer_Fuel,Propane
Appliance_Laundry.csv,Dryer_Gas_Line_Available,No
Appliance_Laundry.csv,Dryer_Gas_Line_Available,Yes
Appliance_Laundry.csv,Dryer_Vented,Vented
Appliance_Laundry.csv,Dryer_Vented,Ventless (condensing)
Appliance_Laundry.csv,Energy_Star,No
Appliance_Laundry.csv,Energy_Star,Yes
Appliance_Laundry.csv,Heat_Pump_Dryer,No
Appliance_Laundry.csv,Heat_Pump_Dryer,Yes
Appliance_Laundry.csv,Laundry_Missing_Model_Reason,NAMEPLATE IS ILLEGIBLE
Appliance_Laundry.csv,Laundry_Missing_Model_Reason,NO NAMEPLATE
Appliance_Laundry.csv,Laundry_Missing_Model_Reason,OTHER
Appliance_Laundry.csv,Primary,No
Appliance_Laundry.csv,Primary,Yes
Appliance_Laundry.csv,Type,Dryer
Appliance_Laundry.csv,Type,Washer
Appliance_Laundry.csv,Type,Washer / Dryer - Stacked Combo
Appliance_Laundry.csv,Type,Washer / Dryer Combo
Appliance_Laundry.csv,Washer_Axis,Front load washer
Appliance_Laundry.csv,Washer_Axis,Top load washer
Appliance_Laundry.csv,Washer_Depth_Is_Estimated,Estimated
Appliance_Laundry.csv,Washer_Depth_Is_Estimated,Measured or Known
Appliance_Laundry.csv,Washer_Diameter_Is_Estimated,Estimated
Appliance_Laundry.csv,Washer_Diameter_Is_Estimated,Measured or Known
Appliance_Laundry.csv,Washer_Dryer_Matched_Pair,No
Appliance_Laundry.csv,Washer_Dryer_Matched_Pair,Yes
Appliance_Laundry.csv,Washer_Size_Is_Estimated,Estimated
Appliance_Laundry.csv,Washer_Size_Is_Estimated,Measured or Known
Appliance_Laundry.csv,Wifi_Enabled,No
Appliance_Laundry.csv,Wifi_Enabled,Yes
Appliance_Misc.csv,Small_Appliance_Type,Copier (only)
Appliance_Misc.csv,Small_Appliance_Type,Cordless Phone
Appliance_Misc.csv,Small_Appliance_Type,Other
Appliance_Misc.csv,Small_Appliance_Type,Printer (only)
Appliance_Misc.csv,Small_Appliance_Type,Printer / Scanner / Copier (combined)
Appliance_Misc.csv,Small_Appliance_Type,Scanner (only)
Appliance_One_Line.csv,Attached_Detached_SF_StrataVar,Attached
Appliance_One_Line.csv,Attached_Detached_SF_StrataVar,Detached
Appliance_One_Line.csv,BPA_SF_StrataVar,BPA
Appliance_One_Line.csv,BPA_SF_StrataVar,Non-BPA
Appliance_One_Line.csv,Building_Category,"Duplex, Triplex, or Fourplex"
Appliance_One_Line.csv,Building_Category,Manufactured - Double Wide
Appliance_One_Line.csv,Building_Category,Manufactured - Single Wide
Appliance_One_Line.csv,Building_Category,Single Family Detached
Appliance_One_Line.csv,Building_Category,Townhome or Rowhome
Appliance_One_Line.csv,Building_Type,Single Family
