"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","WiFi_Capable"
"SITE_1","ROOM_6753","APPL_51733","Lasko","#2551","Unknown","Unknown","No"
"SITE_1000","ROOM_39704","APPL_70222","Airthereal","APH260","Unknown","No","No"
"SITE_1000","ROOM_14413","APPL_71774","Airthereal","APH260","Unknown","No","No"
"SITE_1002","ROOM_6779","APPL_81432","Alen","BREATHESMART FIT50","Unknown","No","No"
"SITE_1002","ROOM_4473","APPL_51556","Alen","BREATHESMART 75I","Unknown","No","No"
"SITE_1025","ROOM_23312","APPL_7922","Austin Air","ALLERGY MACHINE","Unknown","No","No"
"SITE_104","ROOM_18763","APPL_10628","Air Choice","AP-528","Unknown","Unknown","Unknown"
"SITE_104","ROOM_30599","APPL_160529","Honeywell","HPA100","2019","Unknown","No"
"SITE_1040","ROOM_46407","APPL_146783","Hejiko","HJ-H23","Unknown","No","No"
"SITE_1043","ROOM_28880","APPL_78752","Levoit","CORE 300","2020","Yes","No"
"SITE_1043","ROOM_46163","APPL_24285","Medify Air","MA-14","2020","No","No"
"SITE_1043","ROOM_35869","APPL_56494","Honeywell","HPA105TGT","2021","Yes","No"
"SITE_1043","ROOM_14958","APPL_158090","Medify Air","MA-14","Unknown","No","No"
"SITE_1072","ROOM_24609","APPL_55725","Levoit","CORE400S","Unknown","No","No"
"SITE_1073","ROOM_37652","APPL_152942","Medify Air","MA-40","2020","Yes","No"
"SITE_1079","ROOM_45741","APPL_10625","Homedics","AT-PET02","Unknown","No","No"
"SITE_1085","ROOM_36103","APPL_133166","Blueair","PURE211+","Unknown","No","No"
"SITE_109","ROOM_1301","APPL_127816","Air320","Unknown","Unknown","No","No"
"SITE_1090","ROOM_17546","APPL_59358","Coway","AP-1512HH(W)","Unknown","Unknown","No"
"SITE_1094","ROOM_23930","APPL_19151","Winix","TOWER_XQ","Unknown","Yes","No"
"SITE_1095","ROOM_35806","APPL_98295","Instant","AP300","Unknown","No","No"
"SITE_1097","ROOM_25119","APPL_100647","Jds","AIR TECH 200","Unknown","No","No"
"SITE_1102","ROOM_43119","APPL_136349","Filtrete","FAP02","Unknown","No","No"
"SITE_1105","ROOM_38966","APPL_492","Winix","C535","2017","Yes","No"
"SITE_1105","ROOM_17568","APPL_102287","Winix","C545","Unknown","Yes","No"
"SITE_1105","ROOM_6300","APPL_24752","Blueair","455EB","Unknown","No","No"
"SITE_1105","ROOM_31869","APPL_28955","Blueair","650E","Unknown","No","No"
"SITE_1109","ROOM_16108","APPL_165444","Invisiclean","IC-5018","Unknown","No","No"
"SITE_1119","ROOM_25622","APPL_157516","Wen","#3415","2018","No","No"
"SITE_1123","ROOM_5249","APPL_96554","Coway","AP-1512HH(W)","Unknown","No","No"
"SITE_1123","ROOM_19438","APPL_85101","Coway","AP-1512HH(W)","Unknown","No","Yes"
"SITE_1123","ROOM_27651","APPL_159724","Coway","AP-1512HH(W)","Unknown","No","No"
"SITE_1123","ROOM_2021","APPL_89185","Coway","AP-1512HH(W)","Unknown","No","No"
"SITE_1123","ROOM_17634","APPL_155055","Coway","AP-1512HH(W)","Unknown","No","No"
"SITE_1128","ROOM_21713","APPL_23076","Homedics","#1461901","Unknown","No","No"
"SITE_1128","ROOM_10601","APPL_54246","Winix","C545","Unknown","Yes","No"
"SITE_113","ROOM_33900","APPL_67886","Coway","AP-1512HH(W)","Unknown","Unknown","No"
"SITE_1133","ROOM_11460","APPL_35170","Thera Pure","TPP540","2014","No","No"
"SITE_1139","ROOM_25021","APPL_45649","Hunter","#30175","Unknown","No","No"
"SITE_1139","ROOM_9095","APPL_111517","Holmes","HAP9726","Unknown","No","No"
"SITE_114","ROOM_25930","APPL_135207","Winix","5300-2","Unknown","No","No"
"SITE_1140","ROOM_38313","APPL_155061","Winix","C535","Unknown","Yes","No"
"SITE_1144","ROOM_12209","APPL_147563","Sole Is Air","PMC-12-01","Unknown","Unknown","Unknown"
"SITE_1150","ROOM_43494","APPL_106292","Winix","C545","Unknown","Yes","No"
"SITE_1153","ROOM_23574","APPL_153737","Sharper Image","A552","Unknown","No","No"
"SITE_1161","ROOM_45529","APPL_168051","Oransi","RJ","Unknown","No","No"
"SITE_1167","ROOM_10185","APPL_57322","Envion","Unknown","Unknown","Unknown","Unknown"
"SITE_1179","ROOM_45508","APPL_106984","Ap01","GXZ-AP01","Unknown","No","No"
"SITE_118","ROOM_30118","APPL_78051","Honeywell","Unknown","Unknown","Unknown","No"
"SITE_1184","ROOM_19981","APPL_10481","Levoit","LV-H132","Unknown","No","No"
"SITE_1184","ROOM_21594","APPL_103133","Blueair","PURE 211+","Unknown","No","No"
"SITE_1199","ROOM_31553","APPL_40809","Winix","C545","Unknown","Yes","No"
"SITE_12","ROOM_45643","APPL_115208","Honeywell","Unknown","Unknown","No","No"
"SITE_120","ROOM_10507","APPL_36086","Hathaspace","HSP001","2020","No","No"
"SITE_1217","ROOM_45870","APPL_53877","Vornado","#QUBE50","2019","No","No"
"SITE_1219","ROOM_46406","APPL_36889","Levoit","CORE 300","Unknown","Yes","No"
"SITE_1221","ROOM_42163","APPL_26287","Airdoctor","AD3000","Unknown","Yes","No"
"SITE_1230","ROOM_35380","APPL_79596","Dissell","AIR220","2021","No","No"
"SITE_1230","ROOM_43844","APPL_37407","Levoit","#CORE300","Unknown","Yes","No"
"SITE_1248","ROOM_8758","APPL_101037","Samsung","#VAC-SAE909","Unknown","No","No"
"SITE_1251","ROOM_18003","APPL_73383","Clevast","CL-AP220","Unknown","No","No"
"SITE_1256","ROOM_26679","APPL_52578","Winix","C545","Unknown","Yes","No"
"SITE_1258","ROOM_44389","APPL_130875","Holmes","HAP9425","Unknown","No","No"
"SITE_1263","ROOM_14549","APPL_131135","Medify Air","MA-40","Unknown","Unknown","No"
"SITE_1267","ROOM_23183","APPL_22029","Coway","AP-1512HH(W)","2021","No","No"
"SITE_1271","ROOM_40558","APPL_164261","Medify Air","MA-40","Unknown","No","No"
"SITE_1274","ROOM_13385","APPL_27032","Fellowes","CRC93205","Unknown","Yes","No"
"SITE_1274","ROOM_32943","APPL_86733","Fellowes","CRC93205","Unknown","Yes","No"
"SITE_128","ROOM_18936","APPL_25845","Homedics","AP-T40","Unknown","Unknown","No"
"SITE_1287","ROOM_11033","APPL_124484","Honeywell","HPA060BWM","Unknown","Yes","No"
"SITE_1287","ROOM_44872","APPL_133552","Honeywell","HPA060BWM","Unknown","Yes","No"
"SITE_1287","ROOM_12968","APPL_132895","Silveronyx","KJ150F-C02","Unknown","No","No"
"SITE_1295","ROOM_30573","APPL_127403","Honeywell","Unknown","Unknown","Yes","No"
"SITE_1298","ROOM_7052","APPL_39408","Edenpure","WH3494003216","Unknown","No","No"
"SITE_13","ROOM_25778","APPL_70039","Honeywell","Unknown","Unknown","No","No"
"SITE_13","ROOM_2918","APPL_25260","Honeywell","Unknown","Unknown","Yes","No"
"SITE_13","ROOM_20241","APPL_45107","Wen","#3410","Unknown","No","No"
"SITE_1302","ROOM_29716","APPL_65650","Powerpure","Unknown","Unknown","No","No"
"SITE_1302","ROOM_30426","APPL_59673","Rabbit Air","SPA-700A","2020","Yes","No"
"SITE_1305","ROOM_1088","APPL_31638","Coway","AP-1512HH","Unknown","No","No"
"SITE_1306","ROOM_2618","APPL_105411","Thera Pure","TPP220H","Unknown","Unknown","No"
"SITE_1311","ROOM_42270","APPL_23025","Molecule","MN1P-US","Unknown","Unknown","Unknown"
"SITE_1313","ROOM_46113","APPL_138164","Dyson","C2A-US-MDB3257 A","Unknown","No","No"
"SITE_1313","ROOM_33405","APPL_114047","Dyson","C2A-US-MDB3277A","Unknown","No","No"
"SITE_1317","ROOM_17534","APPL_8301","Levoit","Unknown","Unknown","Unknown","Unknown"
"SITE_1328","ROOM_7587","APPL_140689","Winix","C535","Unknown","Yes","No"
"SITE_1328","ROOM_43787","APPL_18493","Winix","C535","Unknown","Yes","No"
"SITE_1333","ROOM_17162","APPL_41156","Homedics","Unknown","Unknown","No","No"
"SITE_1333","ROOM_41982","APPL_89802","Winix","C545","Unknown","No","No"
"SITE_1334","ROOM_38869","APPL_74356","Winix","AM80","Unknown","No","No"
"SITE_1339","ROOM_35080","APPL_21514","Winix","#5300","Unknown","Yes","No"
"SITE_1339","ROOM_5086","APPL_99990","Germguardian","AC5350B","Unknown","No","No"
"SITE_1339","ROOM_4259","APPL_75906","Winix","C545","Unknown","Yes","No"
"SITE_1339","ROOM_28686","APPL_90372","Winix","#5500","Unknown","Yes","No"
"SITE_134","ROOM_45642","APPL_78988","Dyson","AP2-US-FCA2159A","Unknown","Unknown","Unknown"
"SITE_1344","ROOM_31177","APPL_63627","Honeywell","Unknown","Unknown","Yes","No"
"SITE_1344","ROOM_39863","APPL_144692","Blueair","BLUEAIR 203","Unknown","No","No"
"SITE_1345","ROOM_25116","APPL_11404","Winix","D360","Unknown","Yes","No"
"SITE_1345","ROOM_13145","APPL_94520","Honeywell","Unknown","Unknown","Unknown","Unknown"
"SITE_1352","ROOM_34459","APPL_122947","Whirlpool","WHISPURE 510","Unknown","Yes","No"
"SITE_1353","ROOM_616","APPL_170374","Fiwotttda","BREATH NATURE 01","Unknown","No","No"
"SITE_1353","ROOM_9536","APPL_138657","Mooka","EP1810","Unknown","No","No"
"SITE_1358","ROOM_39305","APPL_19309","Winix","#9500","Unknown","No","No"
"SITE_1359","ROOM_17630","APPL_108979","Airdoctor","AD3000","2021","Yes","No"
"SITE_1359","ROOM_39933","APPL_775","Airdoctor","AD3000","Unknown","Yes","No"
"SITE_1372","ROOM_33973","APPL_84125","Bionaire","BAP536UV","Unknown","No","No"
"SITE_1373","ROOM_8152","APPL_116657","Honeywell","HPA300","Unknown","Yes","No"
"SITE_1390","ROOM_36864","APPL_146336","Shinco","SDZ1-30P","Unknown","Yes","No"
"SITE_1392","ROOM_4080","APPL_20954","Bissell","AIR220","Unknown","No","No"
"SITE_1392","ROOM_35784","APPL_64401","Winix","AM80","Unknown","Yes","No"
"SITE_1392","ROOM_35784","APPL_79478","Honeywell","HFD-120-Q-1","Unknown","Yes","No"
"SITE_1392","ROOM_11147","APPL_25487","Holmes","HAP116Z","Unknown","No","No"
"SITE_1409","ROOM_26206","APPL_91850","Blueair","Unknown","Unknown","Unknown","Unknown"
"SITE_141","ROOM_19318","APPL_13233","Honeywell","HA202BHO","Unknown","No","No"
"SITE_1412","ROOM_9586","APPL_171105","Levoit","LV-H132","Unknown","No","No"
"SITE_1417","ROOM_41397","APPL_86997","Hunter","#30057","Unknown","No","No"
"SITE_1427","ROOM_39294","APPL_36912","Levoit","LV-H132","Unknown","No","No"
"SITE_1429","ROOM_17312","APPL_19245","Levoit","CORE 400S","Unknown","No","No"
"SITE_1429","ROOM_40508","APPL_63304","Levoit","CORE 400S","Unknown","No","No"
"SITE_144","ROOM_1342","APPL_34730","Coway","AP-1512HH(W)","2020","No","No"
"SITE_144","ROOM_16634","APPL_14644","Blueair","PURE 211+","Unknown","No","No"
"SITE_1440","ROOM_19568","APPL_98168","Winix","Unknown","Unknown","No","No"
"SITE_1440","ROOM_9489","APPL_54182","Winix","Unknown","Unknown","No","No"
"SITE_1455","ROOM_6255","APPL_171479","Levoit","LG-H132","2018","No","No"
"SITE_1455","ROOM_12092","APPL_163463","Levoit","LV-H132","2018","No","No"
"SITE_1469","ROOM_9798","APPL_18526","Holmes","HAP8615","Unknown","No","No"
"SITE_1469","ROOM_33892","APPL_166115","Winix","MODEL 5300","Unknown","No","No"
"SITE_1500","ROOM_31259","APPL_125149","Envion","Unknown","Unknown","No","No"
"SITE_1516","ROOM_27575","APPL_116433","Homedics","#1461901","Unknown","No","No"
"SITE_152","ROOM_21353","APPL_93717","Plasma Wave","Unknown","Unknown","Yes","No"
"SITE_1520","ROOM_12996","APPL_4005","Levoit","LV-H132","Unknown","No","No"
"SITE_153","ROOM_42521","APPL_76465","Coway","AP-1512HH","Unknown","No","No"
"SITE_1530","ROOM_29344","APPL_102956","Rabbit Air","SPA-780A","2020","Yes","No"
"SITE_1538","ROOM_4771","APPL_7882","Honeywell","Unknown","Unknown","Yes","No"
"SITE_154","ROOM_39186","APPL_11007","Spt","AC-2062","Unknown","Unknown","No"
"SITE_1545","ROOM_4929","APPL_134414","Hejiko","HJ-H23","2022","No","No"
"SITE_1547","ROOM_3334","APPL_17959","Germguardian","Unknown","Unknown","Unknown","No"
"SITE_1554","ROOM_38502","APPL_125773","Moosoo","AC04","Unknown","No","No"
"SITE_1554","ROOM_44364","APPL_18936","Winix","C535","2018","Yes","No"
"SITE_1557","ROOM_19361","APPL_12700","Levoit","VITAL 100","Unknown","No","No"
"SITE_1558","ROOM_33953","APPL_114679","Winix","Unknown","Unknown","Yes","No"
"SITE_1562","ROOM_19684","APPL_122156","Idylis","AC-2154(ITEM#797600)","Unknown","No","No"
"SITE_1562","ROOM_31242","APPL_172844","Winix","D480","Unknown","Yes","No"
"SITE_1562","ROOM_7951","APPL_104750","Idylis","AC-2063(ITEM#560732)","Unknown","No","No"
"SITE_1565","ROOM_19208","APPL_88672","Filtrete","FAP-T03-A2","Unknown","Unknown","Unknown"
"SITE_157","ROOM_1285","APPL_81154","Levoit","LV-PUR131","Unknown","No","No"
"SITE_1571","ROOM_28790","APPL_143896","Envion","CA-500","Unknown","No","No"
"SITE_1578","ROOM_10433","APPL_20461","Holmes","HTF3110A","Unknown","Unknown","Unknown"
"SITE_1578","ROOM_11544","APPL_151762","Coway","AP-1512HH","2020","Unknown","No"
"SITE_1578","ROOM_19155","APPL_1385","Coway","AP-1512HH(W)","2020","Unknown","No"
"SITE_1594","ROOM_28585","APPL_96267","Levoit","CORE 300","Unknown","Yes","No"
"SITE_1594","ROOM_11365","APPL_105914","Winix","C535","Unknown","No","No"
"SITE_1594","ROOM_8096","APPL_22375","Winix","C535","Unknown","No","No"
"SITE_160","ROOM_2348","APPL_75114","Shop Fox","Unknown","Unknown","Unknown","Unknown"
"SITE_1601","ROOM_3906","APPL_27043","Honeywell","HPA300","Unknown","No","No"
"SITE_1601","ROOM_36855","APPL_18224","Honeywell","HPA5100W","Unknown","Yes","No"
"SITE_1601","ROOM_802","APPL_1557","Levoit","LV-PUR131","Unknown","No","No"
"SITE_1612","ROOM_19787","APPL_127763","Blueair","Unknown","Unknown","No","No"
"SITE_1614","ROOM_8288","APPL_115444","Winix","D480","Unknown","No","No"
