"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","Audio_Wifi_Enabled","Audio_Voice_Assistant","Audio_Connected_to_TV","Contains_Subwoofer","Does_Subwoofer_have_indicator_light_or_warm_to_touch"
"SITE_1","ROOM_28473","APPL_35695","Samsung","WAM1500","2016","Unknown","Yes","Unknown","No","No",NA
"SITE_1","ROOM_44685","APPL_54759","Polk Audio","SIGNA S2 SOUND BAR","Unknown","Yes","Unknown","Unknown","Yes","No",NA
"SITE_1001","ROOM_13091","APPL_134492","Vizio","#10602142241","Unknown","Yes","Yes","Unknown","Yes","No",NA
"SITE_1002","ROOM_15852","APPL_95963","Yamaha","Unknown","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_1003","ROOM_31860","APPL_60688","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Unknown","Unknown"
"SITE_1003","ROOM_43906","APPL_97219","Pioneer","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1003","ROOM_4816","APPL_151832","Pioneer","TANNOY","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1003","ROOM_23950","APPL_133499","Klipsch","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1003","ROOM_16109","APPL_101335","Klipsch","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1003","ROOM_20068","APPL_29593","Pioneer","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","No",NA
"SITE_1007","ROOM_9972","APPL_69230","Vizio","V51X-J6","Unknown","No","Unknown","No","Yes","No",NA
"SITE_101","ROOM_40893","APPL_112433","Bose","47788-WMS","Unknown","No","No","No","No","No",NA
"SITE_1014","ROOM_27296","APPL_61360","Denon","PMA-880R","Unknown","Unknown","No","No","No","Yes","No"
"SITE_1014","ROOM_27296","APPL_43712","Polk Audio","Unknown","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_1018","ROOM_3755","APPL_53915","Samsung","HW-A430","Unknown","Yes","No","No","Yes","No",NA
"SITE_1022","ROOM_42561","APPL_78240","Vizio","SB2020N-G6","Unknown","Yes","No","No","Yes","No",NA
"SITE_1023","ROOM_20433","APPL_148948","Bose","#418775","Unknown","No","No","No","Yes","No",NA
"SITE_1024","ROOM_8232","APPL_158401","Sony","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1025","ROOM_23312","APPL_150766","Amazon","Unknown","Unknown","No","Yes","Yes","No","No",NA
"SITE_1025","ROOM_23312","APPL_139923","Sony","Unknown","Unknown","No","Unknown","No","Yes","Yes","Yes"
"SITE_1025","ROOM_9421","APPL_88274","Amazon","ECHO DOT","Unknown","No","Yes","Yes","No","No",NA
"SITE_1027","ROOM_25549","APPL_21651","Yamaha","ATS-1080","Unknown","No","No","No","Yes","No",NA
"SITE_1028","ROOM_43990","APPL_17075","LG","Unknown","Unknown","No","No","No","No","Yes","No"
"SITE_1028","ROOM_27545","APPL_93724","LG","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_1028","ROOM_7492","APPL_1128","Hisense","Unknown","Unknown","No","No","No","Yes","Yes","No"
"SITE_1032","ROOM_11630","APPL_141379","Vizio","SB2920-C6","Unknown","Yes","No","No","Yes","No",NA
"SITE_1033","ROOM_28195","APPL_106224","Samsung","HE-JM45C","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1036","ROOM_8344","APPL_134018","Proficient","PROTEGE FS8","Unknown","No","Unknown","No","Unknown","No",NA
"SITE_1038","ROOM_38879","APPL_53204","Polk Audio","DSB1","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No"
"SITE_1039","ROOM_618","APPL_96087","Sony","Unknown","Unknown","Yes","Unknown","No","Yes","Yes","Unknown"
"SITE_1043","ROOM_35869","APPL_56663","Sonos","S19","Unknown","No","No","No","Yes","Yes","No"
"SITE_1043","ROOM_20225","APPL_17192","Sonos","S14","Unknown","No","No","No","Yes","No",NA
"SITE_1049","ROOM_38376","APPL_98479","Vizio","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","No"
"SITE_105","ROOM_11614","APPL_6232","Altec-Lansing","ATP3","Unknown","No","No","No","No","No",NA
"SITE_1050","ROOM_7369","APPL_119174","Polk Audio","DBRX1 SOUND BAR","Unknown","No","Unknown","No","Yes","Yes","No"
"SITE_1052","ROOM_20232","APPL_72880","Samsung","Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Yes","Yes"
"SITE_1054","ROOM_44816","APPL_134729","Yamaha","YAS-108","Unknown","No","Unknown","Unknown","Yes","No",NA
"SITE_1058","ROOM_3289","APPL_33321","Onkyo","SKC-550C","Unknown","No","No","No","Yes","Yes","No"
"SITE_106","ROOM_36159","APPL_103988","Polk Audio","DSS1","Unknown","No","No","No","Yes","No",NA
"SITE_106","ROOM_3716","APPL_22595","JVC","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1060","ROOM_43545","APPL_10064","Amazon","RS03QR","Unknown","No","Yes","Yes","No","No",NA
"SITE_1061","ROOM_15995","APPL_87017","Polk Audio","DSB1 SOUND BAR","Unknown","Yes","No","No","Yes","Yes","Yes"
"SITE_1062","ROOM_28148","APPL_79336","Sony","Unknown","Unknown","Unknown","No","No","Yes","Yes","Yes"
"SITE_1068","ROOM_26117","APPL_73670","Amazon","ALEXA","Unknown","Unknown","Yes","Yes","Yes","No",NA
"SITE_1069","ROOM_43298","APPL_165890","Samsung","HW-KM45","2017","Yes","No","No","Yes","Yes","Yes"
"SITE_1070","ROOM_16173","APPL_134176","JBL","Unknown","Unknown","No","No","No","Yes","No",NA
"SITE_1072","ROOM_24609","APPL_158566","Amazon","Unknown","Unknown","No","Yes","Yes","Unknown","No",NA
"SITE_1072","ROOM_36703","APPL_150275","Amazon","Unknown","Unknown","No","Yes","Yes","No","No",NA
"SITE_1072","ROOM_24609","APPL_89400","TaoTronics","Unknown","Unknown","Unknown","Unknown","No","Yes","No",NA
"SITE_1074","ROOM_22727","APPL_74366","ZVOX","#320","Unknown","No","No","No","Yes","No",NA
"SITE_1075","ROOM_31353","APPL_68392","Amazon","36EBT3","Unknown","No","Yes","Yes","No","No",NA
"SITE_1079","ROOM_46315","APPL_40485","Vizio","V21X-J8","Unknown","No","No","No","Yes","Yes","No"
"SITE_1081","ROOM_23335","APPL_160425","Vizio","SB2020N-J6","Unknown","No","No","No","Yes","No",NA
"SITE_1086","ROOM_20698","APPL_35080","Vizio","SB36512-F6","Unknown","Yes","Yes","Yes","Yes","Yes","No"
"SITE_1087","ROOM_17778","APPL_92009","Samsung","HW-T650","Unknown","No","Unknown","No","Yes","No",NA
"SITE_1091","ROOM_4106","APPL_30885","Vizio","SB4051-D","Unknown","No","Unknown","No","Yes","Yes","No"
"SITE_1093","ROOM_3264","APPL_137944","Bose","VCS-10","Unknown","No","No","No","Yes","Yes","Yes"
"SITE_1093","ROOM_37121","APPL_84019","TCL","Unknown","Unknown","Yes","No","No","Yes","No",NA
"SITE_1094","ROOM_23930","APPL_11948","Monster power","HTS 1650","Unknown","No","No","No","Yes","Yes","No"
"SITE_1098","ROOM_662","APPL_75446","Vizio","#SB3621N-E8","Unknown","No","No","No","Yes","No",NA
"SITE_11","ROOM_45221","APPL_9818","Altec-Lansing","VS2120","Unknown","No","No","No","Yes","No",NA
"SITE_11","ROOM_19267","APPL_1682","Samsung","HW-N450","Unknown","No","Yes","No","Yes","No",NA
"SITE_11","ROOM_43134","APPL_111489","Bose","Unknown","Unknown","No","Yes","No","No","Yes","No"
"SITE_11","ROOM_24523","APPL_90658","Bose","418775D","Unknown","No","No","No","Yes","No",NA
"SITE_11","ROOM_24523","APPL_163242","JVC","HR-XVC26U","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1104","ROOM_17956","APPL_29009","Polk Audio","DBRX1","2021","No","No","Yes","Yes","Yes","No"
"SITE_1105","ROOM_38966","APPL_128037","Bose","SOLO SOUNDBAR II","Unknown","No","No","No","Yes","No",NA
"SITE_1105","ROOM_3662","APPL_76677","Bose","#418775","Unknown","No","No","No","Yes","No",NA
"SITE_1108","ROOM_45782","APPL_116742","LG","SL3D","2019","No","Yes","No","Yes","Yes","Yes"
"SITE_1110","ROOM_38229","APPL_11282","Sony","STR-K850P","Unknown","No","No","No","Yes","Yes","No"
"SITE_1111","ROOM_24896","APPL_17997","Samsung","HW-MM55C","2018","Yes","No","No","Yes","Yes","No"
"SITE_1115","ROOM_46183","APPL_38697","Vizio","Unknown","Unknown","Unknown","No","No","Yes","No",NA
"SITE_1115","ROOM_30765","APPL_109515","Sony","Unknown","Unknown","Unknown","No","No","Yes","Yes","No"
"SITE_1116","ROOM_23638","APPL_38142","Unknown","Unknown","Unknown","No","Unknown","No","Yes","No",NA
