"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Vintage","Model","Energy_Star","Primary_Computer","Computer_Wifi","Internet_Access","Computer_Number_of_Screens","Computer_Primary_External_Monitor","Primary_Monitor_Size","Primary_Monitor_Size_Is_Estimated","Primary_Monitor_Type","Secondary_Monitor_External","Secondary_Monitor_Size","Secondary_Monitor_Size_Is_Estimated","Secondary_Monitor_Type","Third_Monitor_Size","Third_Monitor_Size_Is_Estimated","Computer_Printer","Computer_External_Drive","Computer_Number_of_Modems_Routers_Switches","Computer_Number_of_Other_Accessories","Computer_Other_Accessory_Description","Computer_In_single_strip","Computer_Uninterruptible_Power","Uninterruptible_Power_Size_kW","Room_Type","Computer_Hours_of_Use","Computer_Is_Left_On"
"SITE_1","ROOM_7516","APPL_142753","Desktop","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","2","Yes","17","Measured or Known","Unknown","Yes","27","Measured or Known","Unknown",NA,NA,"Yes","Yes","1","3","Unknown","No","Unknown","Unknown","Office","8","Yes"
"SITE_10","ROOM_16318","APPL_36053","Laptop","Samsung",NA,"Unknown","NP300E5C-A06US","No","Yes","Yes","Yes","1","No","16","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","1","0",NA,"No","No","Unknown","Kitchen","1","Yes"
"SITE_10","ROOM_12340","APPL_108149","Desktop","Acer",NA,"Unknown","ASPIRE X1200","No","No","Yes","Yes","1","Yes","18","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"Yes","No","1","2","Mouse, keyboard","Yes","No","Unknown","Bedroom","1","No"
"SITE_100","ROOM_41134","APPL_68373","Laptop","Dell",NA,"Unknown","Unknown","No","Unknown","Yes","Yes","1","No","14","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","1","0",NA,"No","No","Unknown","Bedroom","0","Unknown"
"SITE_100","ROOM_41134","APPL_55078","Desktop","Dell",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Yes","2","Yes","25","Measured or Known","LCD – LED","No","22","Measured or Known","LCD – LED",NA,NA,"Yes","No","1","3","Mouse,  keyboard,  microphone","Yes","No","Unknown","Bedroom","0","No"
"SITE_1000","ROOM_26711","APPL_151325","Desktop","Silver Stone",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","2","Yes","20","Measured or Known","LCD – LED","Yes","20","Measured or Known","LCD – LED",NA,NA,"Yes","No","1","2","Mouse,  keyboard","Yes","No","Unknown","Bedroom","6","Yes"
"SITE_1001","ROOM_20496","APPL_135394","Desktop","Dell",NA,"Unknown","CORE 17 V PRO","Unknown","Yes","Yes","Yes","2","Yes","23","Measured or Known","LCD – LED","No","14","Measured or Known","LCD – LED",NA,NA,"Yes","Yes","3","5","Mouse,  lcd screen (small),  2 small lights off usb,  keyboard","Yes","No","Unknown","Office","9","Yes"
"SITE_1002","ROOM_6779","APPL_140405","Desktop","Apple",NA,"Unknown","Unknown","No","Yes","Yes","Yes","1","Yes","24","Estimated","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","1","Unknown","Unknown","Yes","No","Unknown","Bedroom","1","No"
"SITE_1002","ROOM_6779","APPL_36963","Desktop","Apple",NA,"Unknown","Unknown","No","No","Yes","Yes","1","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,"No","No","Unknown","Unknown","Unknown","Yes","No","Unknown","Bedroom","1","No"
"SITE_1003","ROOM_29099","APPL_168908","Integrated","Apple",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","1","No","14","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","2","2","Mouse, keyboard","No","No","Unknown","Office","1","No"
"SITE_1003","ROOM_43906","APPL_28017","Laptop","Dell",NA,"2018","XPS","No","Unknown","Yes","Yes","1","Unknown","13","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"No","No","1","0",NA,"No","No","Unknown","Bedroom","1","Yes"
"SITE_1004","ROOM_46126","APPL_41312","Desktop","Dell",NA,"Unknown","OPTIPLEX 9020","No","Yes","Yes","Yes","1","Yes","24","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","1","1","Unknown","Yes","No","Unknown","Office","1","No"
"SITE_1007","ROOM_6444","APPL_69828","Integrated","Apple",NA,"Unknown","MACBOOK","No","Yes","Yes","Yes","1","No","27","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","0","0",NA,"Yes","No","Unknown","Family Room","0","No"
"SITE_1008","ROOM_2533","APPL_57037","Laptop","Dell",NA,"2017","P56F","No","Yes","Yes","Yes","1","No","15","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,"No","No","0","0",NA,"No","No","Unknown","Dining Room","3","Yes"
"SITE_101","ROOM_43023","APPL_157796","Desktop","Apple",NA,"Unknown","Unknown","No","Yes","Yes","Yes","2","Yes","17","Measured or Known","LCD – LED","No","17","Measured or Known","LCD – LED",NA,NA,"Yes","No","1","0",NA,"Yes","Yes","0","Office","4","No"
"SITE_1011","ROOM_9690","APPL_99367","Laptop","HP",NA,"Unknown","Unknown","Unknown","Yes","Yes","Yes","3","Yes","24","Measured or Known","LCD – LED","Yes","24","Measured or Known","LCD – LED","17","Measured or Known","Yes","Unknown","1","Unknown","Unknown","Yes","No","Unknown","Office","8","No"
"SITE_1011","ROOM_20532","APPL_142715","Laptop","Sony",NA,"2011","PCG-71914L","No","No","Yes","Yes","1","No","17","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","1","Unknown","Unknown","No","No","Unknown","Living Room","2","No"
"SITE_1013","ROOM_27272","APPL_60011","Desktop","Other","Gigabyte","Unknown","GB-BXI5-4570R","No","Yes","Yes","Yes","1","Yes","27","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","No","1","0",NA,"Yes","Yes","0.6","Family Room","2","No"
"SITE_1013","ROOM_30927","APPL_142268","Desktop","Other","Gigabyte","Unknown","GB-BXI5-4570R","No","No","Yes","Yes","1","Yes","27","Measured or Known","LCD – Fluorescent",NA,NA,NA,NA,NA,NA,"Yes","No","0","0",NA,"Yes","Yes","0.45","Bedroom","1","No"
"SITE_1014","ROOM_6215","APPL_142851","Laptop","Apple",NA,"Unknown","A1502","No","Yes","Yes","Yes","1","No","13","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","1","1","Speakers","Yes","No","Unknown","Bedroom","2","No"
"SITE_1015","ROOM_18624","APPL_22890","Laptop","HP",NA,"Unknown","Unknown","No","Yes","Yes","Yes","1","No","14","Measured or Known","LCD – LED",NA,NA,NA,NA,NA,NA,"Yes","No","2","0",NA,"No","No","Unknown","Bedroom","5","Yes"
