"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Vintage","Serial","Energy_Star","WiFi_Capable","Room_Type","Dishwasher_Missing_Model_Reason","Dishwasher_Missing_Model_Reason_Other"
"SITE_1","ROOM_30594","APPL_45177","Standard (approx 24in.)","Samsung",NA,"DW80R7061US","2021","0GGYGDAR600585J","Yes","No","Kitchen",NA,NA
"SITE_10","ROOM_16318","APPL_165642","Standard (approx 24in.)","Frigidaire",NA,"FFCD2418UW34","Unknown","TH20747881","Yes","No","Kitchen",NA,NA
"SITE_100","ROOM_3098","APPL_79043","Standard (approx 24in.)","Maytag",NA,"MDB8989SHZ0","Unknown","F94417463","No","No","Kitchen",NA,NA
"SITE_1000","ROOM_32964","APPL_70580","Standard (approx 24in.)","Bosch",NA,"SHEM63W55N/10FD980701441","Unknown","Unknown","No","No","Kitchen",NA,NA
"SITE_1001","ROOM_8213","APPL_154543","Standard (approx 24in.)","Kenmore",NA,"66512789K311","Unknown","F34601703","No","No","Kitchen",NA,NA
"SITE_1003","ROOM_30245","APPL_5593","Standard (approx 24in.)","Jenn Air",NA,"JDB3600AWP5","Unknown","F12601274","Yes","No","Kitchen",NA,NA
"SITE_1004","ROOM_10328","APPL_153223","Standard (approx 24in.)","KitchenAid",NA,"KUDC10IXWH7","Unknown","F24511730","Yes","No","Kitchen",NA,NA
"SITE_1005","ROOM_6312","APPL_75203","Standard (approx 24in.)","General Electric",NA,"GDT545SYN0FS","Unknown","AR861388B","No","No","Kitchen",NA,NA
"SITE_1006","ROOM_9134","APPL_132397","Standard (approx 24in.)","LG",NA,"LOFS54SSS","2021","010KWYQ2S655","Yes","Unknown","Kitchen",NA,NA
"SITE_1007","ROOM_24901","APPL_67340","Standard (approx 24in.)","KitchenAid",NA,"KDTE304DSSO","Unknown","F42410500","Yes","No","Kitchen",NA,NA
"SITE_101","ROOM_16774","APPL_19653","Standard (approx 24in.)","Kenmore",NA,"66513859K601","Unknown","FT3903199","No","No","Kitchen",NA,NA
"SITE_1010","ROOM_44408","APPL_148221","Standard (approx 24in.)","Frigidaire",NA,"FDB421RFR4","Unknown","TH00259755","No","No","Kitchen",NA,NA
"SITE_1011","ROOM_35445","APPL_5882","Standard (approx 24in.)","Frigidaire",NA,"PLD2560LCC1","Unknown","TH40926985","No","No","Kitchen",NA,NA
"SITE_1013","ROOM_23628","APPL_80296","Standard (approx 24in.)","Whirlpool",NA,"DU930PWSBO","Unknown","FW4947318","No","No","Kitchen",NA,NA
