"SiteID","RoomID","ApplianceID","Make","Make_Other","Model","Vintage","Serial","WiFi_Capable","Motor_Power","Motor_Power_Units","Disposal_Missing_Model_Reason","Disposal_Missing_Model_Reason_Other"
"SITE_10","ROOM_16318","APPL_44972","InSinkErator",NA,"BADGER 500-3","Unknown","#21081301321","No","0.5","HP",NA,NA
"SITE_100","ROOM_3098","APPL_166834","InSinkErator",NA,"SELECT-6","Unknown","#22083010267","No","0.625","HP",NA,NA
"SITE_1000","ROOM_32964","APPL_153572","InSinkErator",NA,"CONTRACTOR 333","Unknown","#09081637061","No","0.75","HP",NA,NA
"SITE_1001","ROOM_8213","APPL_115215","InSinkErator",NA,"SELECT PLUS 8","Unknown","#21013026305","No","0.75","HP",NA,NA
"SITE_1003","ROOM_30245","APPL_169211","InSinkErator",NA,"CONTRACTOR 333","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_1004","ROOM_10328","APPL_116997","InSinkErator",NA,"BADGER 5-81","Unknown","#04064917912","No","0.5","HP",NA,NA
"SITE_1005","ROOM_6312","APPL_169199","InSinkErator",NA,"EVERGRIND E202-2A","Unknown","#19071104956","No","0.5","HP",NA,NA
"SITE_1007","ROOM_24901","APPL_30352","InSinkErator",NA,"#5-84A","Unknown","#14041852988","No","0.5","HP",NA,NA
"SITE_101","ROOM_16774","APPL_159114","InSinkErator",NA,"COMPACT-P-1","Unknown","#11111525776","No","0.75","HP",NA,NA
"SITE_1010","ROOM_44408","APPL_21995","Kenmore",NA,"#175605721","Unknown","#10041004953","No","0.75","HP",NA,NA
"SITE_1011","ROOM_35445","APPL_29704","Other","Evergrind","E202-2","Unknown","#17011085111","No","0.5","HP",NA,NA
"SITE_1014","ROOM_21794","APPL_150095","InSinkErator",NA,"E303-2","Unknown","#18103106172","No","0.625","HP",NA,NA
"SITE_1015","ROOM_41236","APPL_20307","Waste King",NA,"GXP33C","2020","Unknown","No","0.33","HP",NA,NA
"SITE_1016","ROOM_8156","APPL_6432","InSinkErator",NA,"#1-83","Unknown","#06061720873","No","0.33","HP",NA,NA
"SITE_1018","ROOM_10704","APPL_32516","InSinkErator",NA,"BADGER 10S-2","Unknown","#10071518976","No","0.75","HP",NA,NA
"SITE_1019","ROOM_34863","APPL_55292","InSinkErator",NA,"BADGER 1","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1021","ROOM_41289","APPL_82538","InSinkErator",NA,"COMPACT-2","Unknown","#190730550089","No","Unknown",NA,NA,NA
"SITE_1022","ROOM_45248","APPL_83402","InSinkErator",NA,"#1-87A","Unknown","#16071055269","No","0.33","HP",NA,NA
"SITE_1026","ROOM_18850","APPL_114803","Other","American Standard","CGWD93","Unknown","Unknown","No","1.25","HP",NA,NA
"SITE_1027","ROOM_30027","APPL_168860","InSinkErator",NA,"#5-75","Unknown","WE 76771614","No","0.5","HP",NA,NA
"SITE_1028","ROOM_38264","APPL_80538","InSinkErator",NA,"BADGER 5","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1030","ROOM_32047","APPL_74538","Waste King",NA,"Unknown","Unknown","Unknown","No","0.75","HP","NO NAMEPLATE",NA
