"SiteID","RoomID","ApplianceID","Model","Vintage","Wifi_Enabled","Used_for_DVD_or_Bluray","Room_Type"
"SITE_1","ROOM_14159","APPL_116250","MICROSOFT XBOX ONE","2016","Yes","Unknown","Bedroom"
"SITE_1005","ROOM_45688","APPL_153585","SONY PLAYSTATION4","2013","Yes","Yes","Family Room"
"SITE_1008","ROOM_34874","APPL_123883","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_1008","ROOM_37983","APPL_9615","MICROSOFT XBOX ONE","2015","Yes","No","Living Room"
"SITE_1017","ROOM_2309","APPL_15961","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1017","ROOM_2309","APPL_56915","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1017","ROOM_1365","APPL_66694","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Bedroom"
"SITE_1026","ROOM_6545","APPL_31956","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1028","ROOM_43990","APPL_112381","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_1028","ROOM_3528","APPL_141178","MICROSOFT XBOX SERIES S","Unknown","Yes","Yes","Bedroom"
"SITE_1028","ROOM_7492","APPL_138550","MICROSOFT XBOX SERIES S","Unknown","Yes","Yes","Bedroom"
"SITE_1033","ROOM_28195","APPL_122097","NINTENDO WII","Unknown","Yes","No","Living Room"
"SITE_1038","ROOM_18560","APPL_99885","NINTENDO SWITCH","Unknown","Yes","No","Living Room"
"SITE_1038","ROOM_38879","APPL_16690","NINTENDO WII","Unknown","Yes","Yes","Family Room"
"SITE_1039","ROOM_618","APPL_23169","SONY PLAYSTATION5","Unknown","Yes","Yes","Living Room"
"SITE_104","ROOM_18763","APPL_8655","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1043","ROOM_14958","APPL_152267","NINTENDO WII","Unknown","Yes","No","Bedroom"
"SITE_1044","ROOM_3030","APPL_95431","MICROSOFT XBOX 360","Unknown","Yes","No","Family Room"
"SITE_1044","ROOM_16072","APPL_104635","MICROSOFT XBOX ONE","Unknown","Yes","Unknown","Bedroom"
"SITE_1048","ROOM_17583","APPL_91347","SONY PLAYSTATION4","Unknown","Yes","Unknown","Living Room"
"SITE_1048","ROOM_17583","APPL_134069","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Living Room"
"SITE_1048","ROOM_17583","APPL_30416","MICROSOFT XBOX 360","Unknown","Yes","Unknown","Living Room"
"SITE_1048","ROOM_8869","APPL_26445","SONY PLAYSTATION4","Unknown","Yes","Unknown","Bedroom"
"SITE_1048","ROOM_8869","APPL_54688","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1054","ROOM_44816","APPL_136395","NINTENDO WII-U","Unknown","Yes","No","Family Room"
"SITE_1054","ROOM_44816","APPL_55732","NINTENDO SWITCH","Unknown","Yes","No","Family Room"
"SITE_1054","ROOM_44816","APPL_17302","NINTENDO WII","Unknown","Yes","No","Family Room"
"SITE_1058","ROOM_14360","APPL_107589","NINTENDO WII","Unknown","Yes","No","Basement"
"SITE_1060","ROOM_24199","APPL_112642","NINTENDO WII-U","Unknown","Yes","No","Living Room"
"SITE_1065","ROOM_492","APPL_155343","SONY PLAYSTATION2","Unknown","No","No","Living Room"
"SITE_1068","ROOM_26117","APPL_19701","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
"SITE_1069","ROOM_43298","APPL_20713","SONY PLAYSTATION3","2012","Yes","Yes","Living Room"
"SITE_1069","ROOM_3466","APPL_34569","NINTENDO WII","Unknown","Yes","No","Bedroom"
"SITE_1069","ROOM_3466","APPL_138287","NINTENDO SWITCH","Unknown","Yes","No","Bedroom"
"SITE_1069","ROOM_3466","APPL_20902","SONY PLAYSTATION4","Unknown","Yes","Yes","Bedroom"
"SITE_107","ROOM_41927","APPL_74859","MICROSOFT XBOX ONE","Unknown","Yes","Yes","Living Room"
