"SiteID","RoomID","ApplianceID","Type","Type_Other","Make","Model","Vintage","Energy_Star","Room_Type"
"SITE_1007","ROOM_33557","APPL_43631","Other","Pressure tank","Amtrol","CA10050","2003","No","Mechanical"
"SITE_1014","ROOM_36478","APPL_48341","Sauna",NA,"Solarus","Unknown","Unknown","Unknown","Garage"
"SITE_1019","ROOM_3273","APPL_51495","Hot Tub",NA,"Viking Spas","Unknown","2022","No","Outside"
"SITE_102","ROOM_44764","APPL_48407","Garage door opener","Garage door opener","Overhead Door","ODYSSEY 1000","Unknown","Unknown","Garage"
"SITE_1020","ROOM_22469","APPL_34810","Other","Pump tank","Utilitech","LPT86","Unknown","No","Basement"
"SITE_1025","ROOM_14614","APPL_142984","Irrigation Pump",NA,"Unknown","Unknown","Unknown","Unknown","Garage"
"SITE_1025","ROOM_14614","APPL_74390","Water Circulator Pump",NA,"Diversitech","CP-22","2019","No","Garage"
"SITE_1040","ROOM_23138","APPL_119659","Hot Tub",NA,"Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_1042","ROOM_16171","APPL_11388","Hot Tub",NA,"HotSpring","Unknown","Unknown","No","Outside"
"SITE_1044","ROOM_23089","APPL_102232","Hot Tub",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_1045","ROOM_35999","APPL_13547","Sauna",NA,"Unknown","Unknown","Unknown","No","Outbuilding / Addition"
"SITE_105","ROOM_16896","APPL_103494","Garage door opener","Garage door opener","LiftMaster","Unknown","Unknown","Unknown","Garage"
"SITE_1050","ROOM_45367","APPL_87472","Hot Tub",NA,"HotSpring","Unknown","Unknown","Unknown","Outside"
"SITE_1050","ROOM_26834","APPL_105466","Other","Pressure tank","FLEXcon","PJR 6","2009","No","Mechanical"
"SITE_1050","ROOM_26834","APPL_77953","Other","Water pressure controller","Franklin Electric","#5870203380","Unknown","No","Mechanical"
"SITE_1053","ROOM_2882","APPL_161359","Hot Tub",NA,"Saluspa","HAWAII","Unknown","No","Outside"
"SITE_1056","ROOM_28411","APPL_19863","Power Tool","Miter saw","DeWalt","Unknown","Unknown","No","Other"
"SITE_1056","ROOM_28411","APPL_46117","Power Tool","Table Saw","Ridgid","EM1334 46892","Unknown","No","Other"
"SITE_1058","ROOM_28236","APPL_32903","Hot Tub",NA,"Bullfrog Spas","R7","Unknown","Unknown","Outside"
"SITE_1058","ROOM_26144","APPL_154062","Exercise Equipment","Treadmill","Weslo","DX12","Unknown","No","Basement"
"SITE_1058","ROOM_35517","APPL_51333","Exercise Equipment","Exercise equipment","Schwinn","270, JOURNEY 25","Unknown","No","Bedroom"
"SITE_1058","ROOM_26144","APPL_102468","Exercise Equipment","Exercise equipment","ProForm","CARDIO HIIT","Unknown","Unknown","Basement"
"SITE_1067","ROOM_34379","APPL_57811","Water feature",NA,"Pond Pump","Unknown","Unknown","No","Outside"
"SITE_1073","ROOM_12429","APPL_150035","Sauna",NA,"Finlandia Sauna","Unknown","Unknown","Unknown","Laundry"
"SITE_1078","ROOM_24888","APPL_25111","Other","Rooftop snow melting system","Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_1085","ROOM_16010","APPL_12276","Sauna",NA,"Dynamic","Unknown","Unknown","No","Bedroom"
"SITE_1085","ROOM_1426","APPL_96688","Hot Tub",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_1089","ROOM_2061","APPL_16219","Water feature",NA,"Pro Source Plus","PSP50-T50","Unknown","No","Outbuilding / Addition"
"SITE_1089","ROOM_36432","APPL_96120","Water Circulator Pump",NA,"Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_1089","ROOM_2061","APPL_56914","Stock tank heaters",NA,"RHEEM","#ME85","Unknown","No","Outbuilding / Addition"
"SITE_1089","ROOM_2061","APPL_96371","Power Tool","Feed Grinder","Unknown","Unknown","Unknown","No","Outbuilding / Addition"
"SITE_1089","ROOM_2061","APPL_64224","Other","Milk Tank","Surge","Unknown","Unknown","No","Outbuilding / Addition"
"SITE_1089","ROOM_2061","APPL_111117","Other","Milk Tank","Surge","#80712","Unknown","No","Outbuilding / Addition"
"SITE_109","ROOM_35300","APPL_74066","Garage door opener","Garage door opener","Chamberlain","B4505","Unknown","Unknown","Garage"
"SITE_109","ROOM_35300","APPL_14254","Garage door opener","Garage door opener","Chamberlain","B4505","Unknown","Unknown","Garage"
"SITE_109","ROOM_35300","APPL_122582","Garage door opener","Garage door opener","Chamberlain","B4505","Unknown","Unknown","Garage"
"SITE_1097","ROOM_980","APPL_171274","Water Circulator Pump",NA,"Taco","007-BF4-JW","Unknown","No","Mechanical"
"SITE_1097","ROOM_26288","APPL_116605","Hot Tub",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_11","ROOM_19101","APPL_107267","Power Tool","Table Saw","Delta","PROFESSIONAL SERIES 10” HEAVY DUTY TABLE SAW","Unknown","Unknown","Garage"
"SITE_11","ROOM_19101","APPL_151993","Garage door opener","Garage door opener","BlueMax","Unknown","Unknown","Unknown","Garage"
"SITE_1100","ROOM_15943","APPL_139916","Other","Hydroponic pump","Little Giant","Unknown","Unknown","No","Living Room"
"SITE_1105","ROOM_40380","APPL_126982","Hot Tub",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_1106","ROOM_42162","APPL_118057","Sauna",NA,"Health Mate","HMV 13","Unknown","No","Other"
"SITE_1110","ROOM_21803","APPL_129037","Other","Floor heat","Unknown","Unknown","Unknown","No","Bathroom"
"SITE_1110","ROOM_21803","APPL_37777","Other","Jacuzzi","Unknown","Unknown","Unknown","No","Bathroom"
"SITE_1112","ROOM_15189","APPL_170867","Water Circulator Pump",NA,"Unknown","15SD1S4-PE","2016","No","Outside"
"SITE_1135","ROOM_35358","APPL_8878","Hot Tub",NA,"Unknown","HOLL ELT MID BW TL OZ SP ABU CHA","Unknown","No","Outside"
"SITE_1137","ROOM_7918","APPL_2029","Other","Crawlspace fan","Fantech","FR 100","Unknown","No","Crawlspace"
"SITE_1140","ROOM_46297","APPL_101657","Hot Tub",NA,"Marquis","Unknown","Unknown","Unknown","Outside"
"SITE_1147","ROOM_24206","APPL_60905","Water Circulator Pump",NA,"Taco","007-F5","Unknown","No","Laundry"
"SITE_1147","ROOM_24206","APPL_147997","Water Circulator Pump",NA,"Taco","007-F5","Unknown","No","Laundry"
"SITE_1153","ROOM_27670","APPL_155924","Hot Tub",NA,"Fusion pacific","#ECO SPA E4","Unknown","No","Outside"
"SITE_1154","ROOM_15437","APPL_77202","Sauna",NA,"Health Mate","Unknown","Unknown","No","Other"
"SITE_1158","ROOM_14036","APPL_131456","Power Tool","Bandsaw","Delta","Unknown","Unknown","No","Office"
"SITE_1162","ROOM_26780","APPL_151554","Water feature",NA,"Unknown","Unknown","Unknown","Unknown","Bedroom"
"SITE_1170","ROOM_3194","APPL_109259","Irrigation Pump",NA,"X Core","Unknown","Unknown","Unknown","Garage"
"SITE_1178","ROOM_33941","APPL_152586","Whole House Vacuum","Central Vacuum","Vacuflo","#260","Unknown","No","Mechanical"
"SITE_1180","ROOM_14950","APPL_112989","Welder (electric)",NA,"Chicago Electric","#95136","Unknown","No","Garage"
"SITE_1181","ROOM_6878","APPL_81247","Hot Tub",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_1181","ROOM_21393","APPL_161361","Water Circulator Pump",NA,"Powerflo","PFWRC 3032C1F","Unknown","Unknown","Mechanical"
"SITE_1181","ROOM_21393","APPL_161361","Water Circulator Pump",NA,"Powerflo","PFWRC 3032C1F","Unknown","Unknown","Mechanical"
"SITE_1181","ROOM_21393","APPL_161361","Water Circulator Pump",NA,"Powerflo","PFWRC 3032C1F","Unknown","Unknown","Mechanical"
"SITE_1181","ROOM_21393","APPL_161361","Water Circulator Pump",NA,"Powerflo","PFWRC 3032C1F","Unknown","Unknown","Mechanical"
"SITE_1181","ROOM_21393","APPL_161361","Water Circulator Pump",NA,"Powerflo","PFWRC 3032C1F","Unknown","Unknown","Mechanical"
"SITE_1181","ROOM_21393","APPL_161361","Water Circulator Pump",NA,"Powerflo","PFWRC 3032C1F","Unknown","Unknown","Mechanical"
"SITE_1181","ROOM_21393","APPL_80828","Whole House Vacuum","Central Vacuum","Modern Day","M615H 120V TS","Unknown","No","Mechanical"
"SITE_119","ROOM_26536","APPL_144167","Garage door opener","Garage door opener","Wayne Dalton","PRODRIVE","Unknown","Unknown","Garage"
"SITE_12","ROOM_9793","APPL_47843","Exercise Equipment","Stairmaster","Unknown","Unknown","Unknown","Unknown","Bedroom"
"SITE_12","ROOM_30064","APPL_80528","Garage door opener","Garage door opener","LiftMaster","41D7675","Unknown","Unknown","Garage"
"SITE_1209","ROOM_1434","APPL_108207","Power Tool","Drill Press","WEN","Unknown","Unknown","Unknown","Office"
"SITE_1216","ROOM_22546","APPL_132306","Water Circulator Pump",NA,"Grundfos","UPML 25-104 165F","Unknown","No","Mechanical"
"SITE_1236","ROOM_8847","APPL_15656","Chicken heat lamp",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_1241","ROOM_20100","APPL_172871","Water feature",NA,"Unknown","Unknown","Unknown","Unknown","Living Room"
"SITE_1249","ROOM_23563","APPL_45161","Water Circulator Pump",NA,"Taco","007-F5","Unknown","Unknown","Crawlspace"
"SITE_1251","ROOM_31081","APPL_129621","Hot Tub",NA,"Maax Spas","54107 MIDNIGHT","Unknown","No","Outside"
"SITE_1256","ROOM_7756","APPL_64978","Hot Tub",NA,"HotSpring","Unknown","Unknown","No","Outside"
"SITE_1271","ROOM_25395","APPL_171829","Hot Tub",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_1280","ROOM_12746","APPL_66779","Hot Tub",NA,"Dupree Bay","Unknown","Unknown","No","Basement"
"SITE_1285","ROOM_13941","APPL_162801","Other","Elevator","The National Wheel-O-Vator","BC-108","2007","No","Basement"
"SITE_1288","ROOM_36697","APPL_135435","Power Tool","Wood drill","Cummins","C114","Unknown","No","Office"
"SITE_1288","ROOM_36697","APPL_169443","Power Tool","Bandsaw","Bett-Marr","Unknown","Unknown","No","Office"
"SITE_129","ROOM_2167","APPL_146552","Water feature",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_129","ROOM_2167","APPL_131754","Water feature",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_1297","ROOM_43540","APPL_3990","Exercise Equipment","Treadmill","Sole","Unknown","Unknown","Unknown","Bedroom"
"SITE_13","ROOM_20241","APPL_38603","Garage door opener","Garage door opener","Craftsman","Unknown","Unknown","Unknown","Garage"
"SITE_13","ROOM_20241","APPL_123304","Exercise Equipment","Treadmill","NordicTrack","Unknown","Unknown","Unknown","Garage"
"SITE_1301","ROOM_44823","APPL_18717","Water Circulator Pump",NA,"Grundfos","UPS15-58 FC","Unknown","Unknown","Basement"
"SITE_131","ROOM_32223","APPL_138403","Other","Oxygen Machine","Invacare","1164905 REV B","Unknown","Unknown","Bathroom"
"SITE_1310","ROOM_19340","APPL_19887","Whole House Vacuum","Central house vac","Vacuflo","DB9000","Unknown","No","Basement"
"SITE_1310","ROOM_18532","APPL_122575","Water Circulator Pump",NA,"Grundfos","Unknown","Unknown","Unknown","Mechanical"
"SITE_1310","ROOM_18532","APPL_152369","Freshwater Pump (i.e. House supply)",NA,"Permeate pump","ERP 500","Unknown","Unknown","Mechanical"
"SITE_1310","ROOM_5008","APPL_155604","Exercise Equipment","Treadmill","NordicTrack","Unknown","Unknown","Unknown","Basement"
"SITE_1311","ROOM_19765","APPL_64575","Power Tool","Miter saw","DeWalt","DWS780","Unknown","No","Garage"
"SITE_1319","ROOM_42477","APPL_137846","Welder (electric)",NA,"Weldpro","MIG200GDSV","Unknown","No","Garage"
"SITE_1319","ROOM_42477","APPL_22616","Power Tool","Air compressor","Unknown","Unknown","Unknown","Unknown","Garage"
"SITE_1319","ROOM_42477","APPL_59170","Other","Motorhome","Winnebago","SIGHTSEER","Unknown","No","Garage"
"SITE_1338","ROOM_1466","APPL_133575","Other","Motorhome","Unknown","Unknown","Unknown","Unknown","Garage"
"SITE_1343","ROOM_16047","APPL_71550","Sauna",NA,"Finlandia Sauna","Unknown","Unknown","Unknown","Bathroom"
"SITE_135","ROOM_20235","APPL_97279","Garage door opener","Garage door","Genie","Unknown","Unknown","Unknown","Garage"
"SITE_1351","ROOM_17242","APPL_53055","Hot Tub",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_1352","ROOM_17586","APPL_24039","Water feature",NA,"Unknown","Unknown","Unknown","Unknown","Outside"
"SITE_1354","ROOM_9293","APPL_148783","Sauna",NA,"SUNLIGHT","Unknown","Unknown","Unknown","Bathroom"
"SITE_1358","ROOM_1595","APPL_135937","Water feature",NA,"Unknown","TURTLE TANK","Unknown","No","Living Room"
"SITE_136","ROOM_36061","APPL_161525","Water Circulator Pump",NA,"Precision","PCES7000","Unknown","Unknown","Outside"
"SITE_136","ROOM_14838","APPL_42649","Garage door opener","Garage door opener","Chamberlain","045ACT","Unknown","Unknown","Garage"
"SITE_1365","ROOM_21711","APPL_41425","Exercise Equipment","Bicycle Treadmill","Diamondback","910SR","Unknown","No","Garage"
"SITE_1365","ROOM_21711","APPL_159400","Exercise Equipment","Treadmill","NordicTrack","ELITE 900","Unknown","No","Garage"
"SITE_137","ROOM_45714","APPL_146981","Exercise Equipment","Exercise equipment","Bowflex","Unknown","Unknown","Unknown","Other"
"SITE_137","ROOM_5479","APPL_109257","Garage door opener","Garage door opener","Linear","Unknown","Unknown","Unknown","Garage"
"SITE_137","ROOM_5479","APPL_136158","Exercise Equipment","Electric bike","Lectric","Unknown","Unknown","Unknown","Garage"
"SITE_137","ROOM_45714","APPL_22051","Exercise Equipment","Treadmill","ProForm","Unknown","Unknown","Unknown","Other"
"SITE_1382","ROOM_7076","APPL_55609","Hot Tub",NA,"Bullfrog Spas","Unknown","Unknown","No","Outside"
"SITE_139","ROOM_5944","APPL_101604","Garage door opener","Garage door","Genie","Unknown","Unknown","Unknown","Garage"
"SITE_139","ROOM_5944","APPL_54750","Garage door opener","Garage door","Genie","Unknown","Unknown","Unknown","Garage"
"SITE_1396","ROOM_4354","APPL_142266","Exercise Equipment","Treadmill","Peloton","745CS","Unknown","No","Basement"
"SITE_1408","ROOM_375","APPL_5960","Hot Tub",NA,"Unknown","Unknown","Unknown","No","Outside"
"SITE_141","ROOM_18938","APPL_39389","Garage door opener","Garage door opener","Chamberlain","Unknown","Unknown","Unknown","Garage"
"SITE_141","ROOM_38014","APPL_58174","Exercise Equipment","Stationary bicycle","Excel","#396","Unknown","Unknown","Bedroom"
"SITE_1416","ROOM_41260","APPL_173675","Exercise Equipment","Treadmill","NordicTrack","NTL290160","Unknown","No","Bedroom"
"SITE_142","ROOM_1376","APPL_100869","Exercise Equipment","Treadmill","Weslo","CADENCE G-40","Unknown","Unknown","Basement"
"SITE_1421","ROOM_11369","APPL_40620","Other","Jacuzzi","Unknown","Unknown","Unknown","No","Bathroom"
"SITE_1421","ROOM_31639","APPL_75063","Exercise Equipment","Stationary Bike","Peloton","Unknown","Unknown","No","Laundry"
