"SiteID","RoomID","ApplianceID","Application","Application_Other","Smart_Power_Strip","Power_Strip_Device_Qty","Wifi_Enabled","Room_Type"
"SITE_10","ROOM_12340","APPL_165802","Home Office",NA,"No","2","No","Bedroom"
"SITE_100","ROOM_41134","APPL_94498","Home Office",NA,"No","3","No","Bedroom"
"SITE_1000","ROOM_26711","APPL_33027","Home Office",NA,"No","Unknown","No","Bedroom"
"SITE_1001","ROOM_5711","APPL_71503","Home Office",NA,"No","4","No","Garage"
"SITE_1001","ROOM_5711","APPL_119555","Home Office",NA,"No","6","No","Garage"
"SITE_1001","ROOM_13091","APPL_39500","Entertainment Center",NA,"No","5","No","Living Room"
"SITE_1001","ROOM_37556","APPL_149211","Entertainment Center",NA,"No","2","No","Family Room"
"SITE_1001","ROOM_37556","APPL_161079","Entertainment Center",NA,"No","1","No","Family Room"
"SITE_1001","ROOM_20496","APPL_50930","Home Office",NA,"No","4","No","Office"
"SITE_1001","ROOM_20496","APPL_155481","Home Office",NA,"No","Unknown","No","Office"
"SITE_1001","ROOM_37556","APPL_45238","Entertainment Center",NA,"No","Unknown","No","Family Room"
"SITE_1002","ROOM_6779","APPL_12522","Home Office",NA,"No","3","No","Bedroom"
"SITE_1002","ROOM_6779","APPL_89785","Home Office",NA,"No","3","No","Bedroom"
"SITE_1002","ROOM_6779","APPL_2341","Other","General","No","4","No","Bedroom"
"SITE_1002","ROOM_6779","APPL_53423","Home Office",NA,"No","Unknown","No","Bedroom"
"SITE_1003","ROOM_29099","APPL_133407","Home Office",NA,"No","2","No","Office"
"SITE_1003","ROOM_29099","APPL_110304","Home Office",NA,"No","2","No","Office"
"SITE_1004","ROOM_46126","APPL_60649","Home Office",NA,"No","5","No","Office"
"SITE_1005","ROOM_29214","APPL_22924","Other","Tools and refrigerators","No","5","No","Garage"
"SITE_1005","ROOM_11678","APPL_144832","Other","Chargers","No","2","No","Bedroom"
"SITE_1005","ROOM_11678","APPL_151658","Other","Chargers,  fan","No","5","No","Bedroom"
"SITE_1005","ROOM_43606","APPL_70896","Home Office",NA,"No","1","No","Bedroom"
"SITE_1007","ROOM_9972","APPL_167588","Entertainment Center",NA,"No","4","No","Living Room"
"SITE_1007","ROOM_6444","APPL_98884","Home Office",NA,"No","3","No","Family Room"
"SITE_1007","ROOM_6444","APPL_5304","Other","Routers","No","2","No","Family Room"
"SITE_1008","ROOM_37983","APPL_157074","Entertainment Center",NA,"No","5","No","Living Room"
"SITE_1010","ROOM_42769","APPL_72990","Other","Utility","No","2","No","Mechanical"
"SITE_1010","ROOM_19249","APPL_173004","Entertainment Center",NA,"No","3","No","Living Room"
"SITE_1010","ROOM_38099","APPL_828","Entertainment Center",NA,"No","0","No","Bedroom"
"SITE_1010","ROOM_38099","APPL_146529","Entertainment Center",NA,"No","2","No","Bedroom"
"SITE_1014","ROOM_27296","APPL_119333","Other","Miscellaneous gadgets","No","4","No","Living Room"
"SITE_1014","ROOM_27296","APPL_84738","Entertainment Center",NA,"Yes","5","No","Living Room"
"SITE_1014","ROOM_6215","APPL_141688","Home Office",NA,"No","1","No","Bedroom"
"SITE_1014","ROOM_6215","APPL_70968","Home Office",NA,"No","2","No","Bedroom"
"SITE_1014","ROOM_6215","APPL_135121","Entertainment Center",NA,"No","2","No","Bedroom"
"SITE_1014","ROOM_13782","APPL_78825","Home Office",NA,"Yes","2","No","Office"
"SITE_1014","ROOM_13782","APPL_98010","Home Office",NA,"No","4","No","Office"
"SITE_1018","ROOM_2199","APPL_71132","Home Office",NA,"No","6","No","Bedroom"
"SITE_1018","ROOM_3755","APPL_45050","Other","General use","No","2","No","Living Room"
"SITE_1018","ROOM_3755","APPL_125297","Other","General use","No","5","No","Living Room"
"SITE_1018","ROOM_20149","APPL_44452","Other","Hair equipment","No","5","No","Closet"
"SITE_1019","ROOM_17325","APPL_76922","Home Office",NA,"No","6","No","Office"
"SITE_102","ROOM_1756","APPL_85031","Home Office",NA,"No","3","No","Bedroom"
"SITE_1021","ROOM_41289","APPL_59064","Entertainment Center",NA,"No","3","No","Kitchen"
"SITE_1021","ROOM_31503","APPL_56426","Other","General use","No","5","No","Entry/Entryway"
"SITE_1021","ROOM_36567","APPL_1264","Other","General use","No","4","No","Bedroom"
"SITE_1021","ROOM_11816","APPL_26674","Other","Garage","No","2","No","Garage"
"SITE_1021","ROOM_45478","APPL_8486","Other","General use","No","Unknown","No","Living Room"
"SITE_1022","ROOM_11536","APPL_9196","Other","Shop","No","3","No","Garage"
