"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Refrigerator_Freezer_Missing_Model_Reason","Vintage","Serial","Energy_Star","Wifi_Enabled","Primary","Size_Cubic_Feet","Size_Is_Estimated","Percent_of_Year_Used","Door_in_Door","Integrated_Screen","Icemaker_Present","Icemaker_type","Icemaker_Working","Room_Type"
"SITE_1","ROOM_30594","APPL_36890","Side by Side w/ Bottom Freezer","Samsung",NA,"RF28M9580SR",NA,"2017","096Z43BJ900898M","Unknown","Yes","Yes","28","Measured or Known","100","Yes","Yes","Yes","Through door","Yes","Kitchen"
"SITE_1","ROOM_16359","APPL_173879","Side by Side Refrigerator/Freezer","General Electric",NA,"GSH25JSTA SS",NA,"Unknown","SL211830","Unknown","No","No","23.5","Measured or Known","100","Yes","No","Yes","Through door","Unknown","Garage"
"SITE_10","ROOM_16318","APPL_119576","Side by Side Refrigerator/Freezer","Kenmore",NA,"#79551832412",NA,"Unknown","802MRCJ0Z667","No","No","Yes","32","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_100","ROOM_22003","APPL_161869","Side by Side Refrigerator/Freezer","Frigidaire",NA,"FRS26R4CWB",NA,"2004","LA44213226","No","No","No","26","Measured or Known","100","No","No","Yes","Through door","Unknown","Garage"
"SITE_100","ROOM_3098","APPL_158143","R/F Bottom Freezer","Whirlpool",NA,"WRF555SDFZ08",NA,"Unknown","K91013164","No","No","Yes","25","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_100","ROOM_22003","APPL_108265","Chest Freezer","Kelvinator",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","21","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1000","ROOM_32964","APPL_137522","Side by Side w/ Bottom Freezer","Samsung",NA,"RE263BEAESR",NA,"2018","JKJ44BBKA02901V","No","No","Yes","26","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1000","ROOM_20428","APPL_150681","Chest Freezer","Danby",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","No","7.3","Measured or Known","100",NA,"No","No",NA,NA,"Laundry"
"SITE_1001","ROOM_8213","APPL_74942","Side by Side Refrigerator/Freezer","KitchenAid",NA,"SUPERBA 42","Unknown","Unknown","Unknown","Unknown","No","Yes","25","Measured or Known","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1002","ROOM_35185","APPL_63610","Chest Freezer","Frigidaire",NA,"LFFN15M5HWF",NA,"2014","WB41554412","Yes","No","No","10","Estimated","100",NA,"No","No",NA,NA,"Outbuilding / Addition"
"SITE_1002","ROOM_4473","APPL_150174","R/F Top Freezer","Whirlpool",NA,"WRT318FZDM02",NA,"Unknown","VS81955020","No","No","Yes","18","Measured or Known","100","No","No","No",NA,NA,"Kitchen"
"SITE_1002","ROOM_42232","APPL_144491","Side by Side w/ Bottom Freezer","Whirlpool",NA,"WRX735SDHZ03",NA,"Unknown","KX4406028","No","No","No","22","Estimated","100","No","No","Yes","Through door","Yes","Outbuilding / Addition"
"SITE_1003","ROOM_35109","APPL_103264","Side by Side Refrigerator/Freezer","Whirlpool",NA,"ED20ZKXBN00",NA,"1995","#SE0310024","No","No","No","20","Measured or Known","50","No","No","No",NA,NA,"Garage"
"SITE_1003","ROOM_30245","APPL_70192","Side by Side Refrigerator/Freezer","Sub-Zero",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","Yes","23","Estimated","100","No","No","Yes","In freezer","Yes","Kitchen"
"SITE_1004","ROOM_7703","APPL_2896","Chest Freezer","Frigidaire",NA,"AFFC2027DW2",NA,"2004","WB45044697","No","No","No","37","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1004","ROOM_10328","APPL_25771","Side by Side Refrigerator/Freezer","General Electric",NA,"LSHF6LGZBEWI",NA,"Unknown","MV 452183","No","No","Yes","42","Measured or Known","100","No","No","Yes","Through door","Yes","Kitchen"
"SITE_1004","ROOM_7703","APPL_74589","Chest Freezer","III Woods",NA,"C07HDA",NA,"Unknown","07511520GG","No","No","No","14","Measured or Known","100",NA,"No","No",NA,NA,"Garage"
"SITE_1004","ROOM_7703","APPL_53966","Side by Side Refrigerator/Freezer","General Electric",NA,"Unknown","NO NAMEPLATE","Unknown","Unknown","Unknown","No","No","41","Measured or Known","100","No","No","Yes","Through door","Unknown","Garage"
"SITE_1005","ROOM_6312","APPL_17395","Side by Side Refrigerator/Freezer","General Electric",NA,"GSS25LSLLCSS",NA,"Unknown","VM419289","No","No","Yes","23","Estimated","100","No","Yes","Yes","Through door","Yes","Kitchen"
"SITE_1005","ROOM_29214","APPL_40487","Chest Freezer","Danby",NA,"Unknown","Unknown","Unknown","Unknown","Yes","No","No","13","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1005","ROOM_29214","APPL_47643","Mini-Fridge","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","No","No","No","7.5","Estimated","100",NA,"No","No",NA,NA,"Garage"
"SITE_1006","ROOM_9134","APPL_86492","Side by Side w/ Bottom Freezer","LG",NA,"LFC22770ST/06",NA,"2021","102MRRNE1K879","Yes","Unknown","Yes","27","Measured or Known","100","No","No","Unknown",NA,NA,"Kitchen"
