"SiteID","RoomID","ApplianceID","Type","Make","Make_Other","Model","Stove_Oven_Missing_Model_Reason","Stove_Oven_Missing_Model_Reason_Other","Vintage","Serial","Wifi_Enabled","Primary","Stove_Fuel","Stove_Type","Stove_Type_Other","Stove_Number_Burners","Oven_Fuel","Oven_Fuel_Other","Oven_Type","Oven_Single_Or_Double","Room_Type"
"SITE_1","ROOM_30594","APPL_113895","Oven (standalone / wall)","Whirlpool",NA,"GBD307PRS01",NA,NA,"Unknown","XT3207863","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Double Oven","Kitchen"
"SITE_1","ROOM_30594","APPL_55983","Stovetop","Whirlpool",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_10","ROOM_16318","APPL_134261","Stovetop","General Electric",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Electric","Coils",NA,"4",NA,NA,NA,NA,"Kitchen"
"SITE_10","ROOM_16318","APPL_123181","Oven (standalone / wall)","General Electric",NA,"J RP20WOJ1WW",NA,NA,"Unknown","FL6 111350","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_100","ROOM_3098","APPL_11954","Stovetop","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,"Kitchen"
"SITE_100","ROOM_3098","APPL_28849","Oven (standalone / wall)","General Electric",NA,"JKP25S0H4SS",NA,NA,"Unknown","TH608149Q","No","Yes",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1000","ROOM_32964","APPL_112597","Oven (standalone / wall)","General Electric",NA,"P T925S N2SS",NA,NA,"Unknown","MT612974Q","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Double Oven","Kitchen"
"SITE_1000","ROOM_32964","APPL_169706","Stovetop","General Electric",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1001","ROOM_8213","APPL_51845","Oven (standalone / wall)","KitchenAid",NA,"KEMS308GBL0",NA,NA,"Unknown","XJ4101019","No","Yes","Electric",NA,NA,NA,"Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_1001","ROOM_8213","APPL_174109","Stovetop","Jenn-Air",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"5",NA,NA,NA,NA,"Kitchen"
"SITE_1002","ROOM_4473","APPL_114177","Stove / Oven combo","Wolf",NA,"DR468G-LP",NA,NA,"Unknown","#18611375","No","Yes","Propane","Combustion",NA,"6","Propane",NA,"Both","Single Oven","Kitchen"
"SITE_1003","ROOM_30245","APPL_122027","Stovetop","Viking",NA,"Unknown","NAMEPLATE IS ILLEGIBLE",NA,"Unknown","Unknown","No","Yes","Propane","Combustion",NA,"6",NA,NA,NA,NA,"Kitchen"
"SITE_1003","ROOM_30245","APPL_21280","Oven (standalone / wall)","Viking",NA,"VESO5302SS",NA,NA,"Unknown","072011C00028863","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1003","ROOM_30245","APPL_71659","Oven (standalone / wall)","Viking",NA,"VESO5302SS",NA,NA,"Unknown","072011C00028864","No","Yes",NA,NA,NA,NA,"Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1004","ROOM_10328","APPL_55431","Stove / Oven combo","Maytag",NA,"MER57550AW",NA,NA,"Unknown","15190601EJ","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1004","ROOM_7703","APPL_28935","Stove / Oven combo","General Electric",NA,"JM250DF3BB",NA,NA,"Unknown","GM0666220","No","No","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Garage"
"SITE_1005","ROOM_6312","APPL_118782","Stove / Oven combo","General Electric",NA,"JS645SL3SS",NA,NA,"Unknown","AR109301Q","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1006","ROOM_9134","APPL_92436","Stove / Oven combo","LG",NA,"LREL6323S/00",NA,NA,"2021","102MMTJ0N977","Unknown","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1006","ROOM_1141","APPL_157365","Stove / Oven combo","Kenmore",NA,"790 94172316",NA,NA,"Unknown","VF83828821","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1007","ROOM_24901","APPL_115008","Stove / Oven combo","KitchenAid",NA,"KESS908SPS06",NA,NA,"Unknown","D40912534","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Convection","Single Oven","Kitchen"
"SITE_1007","ROOM_24901","APPL_141561","Oven (standalone / wall)","KitchenAid",NA,"KEBK101BSS01",NA,NA,"Unknown","D42906821","No","No",NA,NA,NA,NA,"Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1008","ROOM_6608","APPL_65094","Stove / Oven combo","Whirlpool",NA,"WEE745H0LZ3",NA,NA,"Unknown","RB3415996","No","Yes","Electric","Glass Top",NA,"5","Electric",NA,"Both","Single Oven","Kitchen"
"SITE_1009","ROOM_42596","APPL_72349","Stove / Oven combo","Amana",NA,"ACR4503SFW3",NA,NA,"Unknown","R85012350","No","Yes","Electric","Coils",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_101","ROOM_16774","APPL_138934","Stove / Oven combo","Magic Chef",NA,"6498XVB",NA,NA,"1993","13749282MK","No","Yes","Natural Gas","Combustion",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1010","ROOM_44408","APPL_173458","Stove / Oven combo","Amana",NA,"AER5715QAW",NA,NA,"Unknown","15063204EJ","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1011","ROOM_35445","APPL_71537","Stove / Oven combo","Frigidaire",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","Unknown","Yes","Natural Gas","Combustion",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1012","ROOM_23330","APPL_132722","Stove / Oven combo","Frigidaire",NA,"FFGF3023LWG",NA,NA,"Unknown","VF63419969","No","Yes","Propane","Combustion",NA,"4","Propane",NA,"Radiant","Single Oven","Living Room"
"SITE_1013","ROOM_23628","APPL_89073","Stove / Oven combo","Samsung",NA,"NX60A6511SS/AA",NA,NA,"Unknown","0J4V7DAR800786M","No","Yes","Propane","Combustion",NA,"5","Propane",NA,"Convection","Single Oven","Kitchen"
"SITE_1014","ROOM_21794","APPL_92633","Stove / Oven combo","General Electric",NA,"CGS990SET3SS",NA,NA,"Unknown","AA134319P","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_1015","ROOM_41236","APPL_6492","Stove / Oven combo","General Electric",NA,"JGB645SEK2SS",NA,NA,"2020","FR210822P","No","Yes","Propane","Combustion",NA,"4","Propane",NA,"Radiant","Single Oven","Kitchen"
"SITE_1016","ROOM_8156","APPL_102507","Stove / Oven combo","General Electric",NA,"JBS55SM2SS",NA,NA,"Unknown","TR216045Q","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1017","ROOM_22219","APPL_166536","Stove / Oven combo","Whirlpool",NA,"WFG320M0BS3",NA,NA,"2021","VEA1694930","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Radiant","Single Oven","Kitchen"
"SITE_1018","ROOM_10704","APPL_171128","Stove / Oven combo","Frigidaire",NA,"FGF366BCC",NA,NA,"Unknown","VF30919259","No","Yes","Natural Gas","Combustion",NA,"4","Natural Gas",NA,"Unknown","Single Oven","Kitchen"
"SITE_1019","ROOM_34863","APPL_162013","Stove / Oven combo","General Electric",NA,"JGS750SEF 6SS",NA,NA,"Unknown","VG198599P","No","Yes","Natural Gas","Combustion",NA,"5","Natural Gas",NA,"Both","Single Oven","Kitchen"
"SITE_102","ROOM_31576","APPL_1530","Stove / Oven combo","General Electric",NA,"JD630DF4WW",NA,NA,"Unknown","DG400949Q","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1020","ROOM_21532","APPL_118264","Stove / Oven combo","General Electric",NA,"J B8500 T1BB",NA,NA,"Unknown","TV2 842930","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1021","ROOM_41289","APPL_25721","Stove / Oven combo","Kenmore",NA,"#79093012310",NA,NA,"Unknown","VF44374496","No","Yes","Electric","Glass Top",NA,"4","Electric",NA,"Radiant","Single Oven","Kitchen"
"SITE_1022","ROOM_45248","APPL_161367","Stovetop","Whirlpool",NA,"Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","Yes","Natural Gas","Combustion",NA,"4",NA,NA,NA,NA,"Kitchen"
