"SiteID","RoomID","ApplianceID","Type","Make","Model","Vintage","Serial","Energy_Star","Programmed","Thermostat_Wifi_Controls_Used","System_Controlled","Room_Type"
"SITE_1","ROOM_28473","APPL_139159","Smart thermostat","Google Nest","UNKNOWN","Unknown","UNKNOWN","Unknown","Yes","Yes","Central System","Living Room"
"SITE_10","ROOM_14882","APPL_139042","Programmable thermostat","White Rodgers","UNKNOWN","Unknown","UNKNOWN","No","Yes",NA,"Central System","Hallway"
"SITE_100","ROOM_9969","APPL_90073","Programmable thermostat","Bryant","UNKNOWN","Unknown","UNKNOWN","Unknown","Unknown",NA,"Central System","Hallway"
"SITE_1000","ROOM_31486","APPL_122565","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","Unknown","No",NA,"Central System","Hallway"
"SITE_1001","ROOM_5711","APPL_106127","Smart/Wi-Fi thermostat","Honeywell","HZ322","Unknown","UNKNOWN","Unknown","Yes","Yes","Central System","Garage"
"SITE_1001","ROOM_44320","APPL_148381","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","Unknown","Yes",NA,"Zonal System","Hallway"
"SITE_1001","ROOM_41219","APPL_37356","Programmable thermostat","Honeywell","UNKNOWN","Unknown","UNKNOWN","Unknown","Yes",NA,"Zonal System","Hallway"
"SITE_1003","ROOM_37800","APPL_23933","Additional Thermostat Temperature Sensor","Honeywell","HZ432","Unknown","UNKNOWN","Unknown",NA,NA,"Central System","Mechanical"
"SITE_1003","ROOM_37800","APPL_155280","Additional Thermostat Temperature Sensor","Honeywell","HZ322","Unknown","UNKNOWN","Unknown",NA,NA,"Central System","Mechanical"
"SITE_1003","ROOM_31860","APPL_144958","Smart/Wi-Fi thermostat","Hai","OMNISTAT 2","Unknown","UNKNOWN","Unknown","Yes","Yes","Central System","Family Room"
"SITE_1003","ROOM_37219","APPL_106310","Manual thermostat - Digital","SunTouch","SUNTOUCH FLOOR WARMING SYSTEM","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_1003","ROOM_43906","APPL_11866","Smart/Wi-Fi thermostat","Hai","UNKNOWN","Unknown","UNKNOWN","Unknown","Yes","Yes","Central System","Bedroom"
"SITE_1003","ROOM_21166","APPL_57867","Programmable thermostat","SunTouch","SUNTOUCH","Unknown","UNKNOWN","Unknown","Yes",NA,"Zonal System","Bathroom"
"SITE_1003","ROOM_30332","APPL_35535","Smart/Wi-Fi thermostat","Hai","UNKNOWN","Unknown","UNKNOWN","Unknown","Yes","Yes","Unknown","Entry/Entryway"
"SITE_1003","ROOM_30245","APPL_110055","Smart/Wi-Fi thermostat","Hai","OMNITOUCH","Unknown","UNKNOWN","Unknown","Yes","Yes","Central System","Kitchen"
"SITE_1003","ROOM_29099","APPL_37102","Programmable thermostat","Hai","OMNISTAT 2","Unknown","UNKNOWN","Unknown","Yes",NA,"Central System","Office"
"SITE_1003","ROOM_29099","APPL_57750","Smart/Wi-Fi thermostat","Hai","UNKNOWN","Unknown","UNKNOWN","Unknown","Unknown","Yes","Central System","Office"
"SITE_1003","ROOM_46422","APPL_134605","Programmable thermostat","Hai","OMNISTAT 2","Unknown","UNKNOWN","Unknown","Yes",NA,"Central System","Other"
"SITE_1003","ROOM_23950","APPL_162153","Programmable thermostat","Hai","OMNISTAT 2","Unknown","UNKNOWN","Unknown","Yes",NA,"Central System","Bedroom"
"SITE_1003","ROOM_40919","APPL_133218","Manual thermostat - Digital","SunTouch","SUNTOUCH","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Bathroom"
"SITE_1003","ROOM_16109","APPL_110830","Programmable thermostat","Hai","OMNISTAT 2","Unknown","UNKNOWN","Unknown","Yes",NA,"Central System","Bedroom"
"SITE_1003","ROOM_34087","APPL_85299","Manual thermostat - Digital","SunTouch","SUNTOUCH","Unknown","UNKNOWN","No",NA,NA,"Zonal System","Laundry"
"SITE_1003","ROOM_20068","APPL_33452","Programmable thermostat","Hai","OMNISTAT 2","Unknown","UNKNOWN","Unknown","Yes",NA,"Central System","Bedroom"
