"SiteID","Interior_or_Exterior","Door_Type","Door_Construction","Door_Mechanism","Door_Window_Type","Door_Window_Type_Other","Door_Height_Inches","Door_Width_Inches","Door_Dimensions_Are_Estimated","Door_Area","Door_U_Value","Door_UA"
"SITE_1","Exterior","Wood Solid Core","Single","Hinge","Decorative window (arch, etc.)",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_1","Exterior","Fiberglass","Single","Hinge","None",NA,"80","32","Measured or Known","2560","0.853333333333333","15.1703703703704"
"SITE_1","Exterior","Metal","Single","Hinge","> 80% window (glass French door)",NA,"80","32","Measured or Known","2560","1.22666666666666","21.8074074074073"
"SITE_10","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","35","Measured or Known","2800","0.4","7.77777777777778"
"SITE_10","Exterior","Wood Solid Core","Single","Hinge","Half window",NA,"80","30","Measured or Known","2400","0.4","6.66666666666667"
"SITE_100","Exterior","Metal","Single","Hinge","None",NA,"80","32","Measured or Known","2560","1.22666666666666","21.8074074074073"
"SITE_100","Exterior","Fiberglass","Single","Hinge","> 80% window (glass French door)",NA,"82","36","Measured or Known","2952","0.853333333333333","17.4933333333333"
"SITE_100","Exterior","Metal","Single","Hinge","> 80% window (glass French door)",NA,"96","36","Measured or Known","3456","1.22666666666666","29.4399999999998"
"SITE_100","Exterior","Metal","Single","Hinge","> 80% window (glass French door)",NA,"82","32","Measured or Known","2624","1.22666666666666","22.3525925925925"
"SITE_100","Exterior","Fiberglass","Double","Hinge","> 80% window (glass French door)",NA,"80","70","Measured or Known","5600","0.853333333333333","33.1851851851852"
"SITE_1000","Exterior","Vinyl","Single","Slider","> 80% window (glass French door)",NA,"95","104","Measured or Known","9880","0.853","58.5252777777778"
"SITE_1000","Exterior","Fiberglass","Single","Hinge","Half window",NA,"80","36","Measured or Known","2880","0.853333333333333","17.0666666666667"
"SITE_1000","Exterior","Vinyl","Double","Hinge","> 80% window (glass French door)",NA,"92","142","Measured or Known","13064","0.853","77.3860555555556"
"SITE_1001","Exterior","Fiberglass","Single","Hinge","> 80% window (glass French door)",NA,"80","36","Measured or Known","2880","0.853333333333333","17.0666666666667"
"SITE_1001","Exterior","Fiberglass","Double","Hinge","> 80% window (glass French door)",NA,"78","72","Measured or Known","5616","0.853333333333333","33.28"
"SITE_1001","Exterior","Fiberglass","Double","Hinge","> 80% window (glass French door)",NA,"78","72","Measured or Known","5616","0.853333333333333","33.28"
"SITE_1001","Exterior","Fiberglass","Double","Hinge","> 80% window (glass French door)",NA,"78","72","Measured or Known","5616","0.853333333333333","33.28"
"SITE_1001","Exterior","Fiberglass","Double","Hinge","> 80% window (glass French door)",NA,"78","72","Measured or Known","5616","0.853333333333333","33.28"
"SITE_1002","Exterior","Fiberglass","Single","Hinge","Half window",NA,"80","33","Measured or Known","2640","0.853333333333333","15.6444444444444"
"SITE_1002","Exterior","Wood Solid Core","Single","Hinge","Half window",NA,"80","36","Measured or Known","2880","0.4","8"
