"SiteID","System_Type","Evidence_of_Duct_Sealing","Duct_Sealing_Material","Duct_Sealing_Material_Other","Cavity_Used_for_Air_Transport","Duct_Location_Supply","Duct_Location_Return","Percentage_of_Supply_Ducts_in_Conditioned_Space","Percentage_of_Return_Ducts_in_Conditioned_Space","Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp","Percentage_Ducts_In_Good_Condition","Crossover_Present","Crossover_Condition","Flex_Run_Insulation_Type","Insulation_Present","Insulation_Type","Insulation_Thickness","Insulation_Condition","Ductboard_P_Thickness"
"SITE_1","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic, Crawlspace / Basement, Garage, In Walls and Ceilings","Attic, Garage, In Walls and Ceilings","25","50","0","90","No","Unknown","Unknown","No","Unknown","Unknown","Unknown",NA
"SITE_10","All Metal","No",NA,NA,"Unknown","Crawlspace / Basement","Attic","0","90","0","75","No","Unknown",NA,"Yes","Fiberglass batts","3","75",NA
"SITE_100","All Metal","No",NA,NA,"No","Crawlspace / Basement, In Walls and Ceilings, Attic","In Walls and Ceilings","0","Unknown","100","Unknown","No","Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA
"SITE_1000","Metal Plenum, Flex Runs","No",NA,NA,"No","Attic, Garage","Attic, Garage","0","0","0","100","No","Unknown","Unknown","Yes","Fiberglass batts","1","100",NA
"SITE_1001","90 Flex (spider system)","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","In Walls and Ceilings","0","100","0","100","No","Unknown","R6","Yes",NA,NA,"100",NA
"SITE_1003","Metal Plenum, Flex Runs","Yes","Mortite, Other","Some spray foam where plenum meets flex","No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","100","100","0","100","No","Connected","R8","Yes","Foil-faced fiberglass","0","100",NA
"SITE_1004","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","Attic, In Walls and Ceilings","25","25","0","90","No","Unknown","R8","Yes","Fiberglass batts","2","90",NA
"SITE_1005","Metal Plenum, Flex Runs","Yes","Mortite",NA,"No","Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","0","50","0","100","Yes","Connected","R6","Yes","Unknown","0","Unknown",NA
"SITE_1006","All Metal","No",NA,NA,"Unknown","Crawlspace / Basement","Attic","100","90","0","90","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1008","All Metal","No",NA,NA,"No","Crawlspace / Basement","Crawlspace / Basement, In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
