"SiteID","Number_Of_EV_Charging_Stations","EV_Charging_Station_Type","EV_Charging_Station_Type_Other"
"SITE_1036",1,"Level 2 - 6.6kW (30A Service)",NA
"SITE_104",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_105",1,"Other","40 amps"
"SITE_1057",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1073",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_1131",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1168",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1208",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_124",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_1267",1,"Other","12kW"
"SITE_13",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_132",1,"Unknown","Unknown"
"SITE_1342",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1343",1,"Level 2 - 6.6kW (30A Service)",NA
"SITE_1352",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_1358",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1378",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_1408",2,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_147",1,"Level 2 - 6.6kW (30A Service)",NA
"SITE_150",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_150",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_153",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1555",1,"Level 2 - 19.2kW (100A service)",NA
"SITE_1579",1,"Other","Possibly 40A"
"SITE_1583",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1599",1,"Level 2 - 6.6kW (30A Service)",NA
"SITE_1632",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_1637",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_1646",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1738",1,"Level 2 - 3.3kW (15A service)",NA
"SITE_1757",1,"Unknown","Unknown"
"SITE_1759",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1760",1,"Unknown","Unknown"
"SITE_1802",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_188",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_1905",2,"Level 2 - 6.6kW (30A Service)",NA
"SITE_1916",1,"Other","220 watt"
"SITE_192",1,"Other","72A"
"SITE_2007",1,"Level 2 - 6.6kW (30A Service)",NA
"SITE_2011",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_2015",1,"Other","240 v 60 Amp"
"SITE_2017",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_2022",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_2031",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_2033",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_2035",1,"Level 2 - 6.6kW (30A Service)",NA
"SITE_2036",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_2037",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_2041",1,"Level 2 - 6.6kW (30A Service)",NA
"SITE_211",1,"Level 2 - 3.3kW (15A service)",NA
"SITE_235",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_288",1,"Level 2 - 6.6kW (30A Service)",NA
"SITE_294",1,"Level 2 - 9.6kW (50A service)",NA
"SITE_30",1,"Other","Level 3-220V"
"SITE_311",1,"Unknown","Unknown"
"SITE_316",2,"Level 2 - 9.6kW (50A service)",NA
"SITE_339",1,"Level 2 - 6.6kW (30A Service)",NA
"SITE_350",1,"Unknown","Unknown"
"SITE_358",1,"Unknown","Unknown"
"SITE_36",1,"Level 1 - 1.3kW -110V (standard wall outlet)",NA
"SITE_41",1,"Level 2 - 9.6kW (50A service)",NA
