"SiteID","Primary_Panel","Electrical_Panel_Label","Electrical_Panel_Type","Electrical_Panel_Brand","Electrical_Panel_Brand_Other","Electrical_Panel_Vintage","Electrical_Panel_Capacity"
"SITE_1","Primary",NA,"Breaker Panel","Square D",NA,"2006","200"
"SITE_10","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","125"
"SITE_100","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","200"
"SITE_1000","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2010","200"
"SITE_1001","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1002","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1002","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1003","Unknown","3","Breaker Panel","Square D",NA,"2011","100"
"SITE_1003","Unknown","1","Breaker Panel","Square D",NA,"2011","200"
"SITE_1003","Unknown","2","Breaker Panel","Square D",NA,"2011","200"
"SITE_1004","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1005","Primary",NA,"Breaker Panel","Square D",NA,"2020","200"
"SITE_1006","Primary",NA,"Breaker Panel","I-T-E/Imperial/Siemens",NA,"1989","200"
"SITE_1007","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1007","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","125"
"SITE_1008","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_1009","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_101","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1010","Primary",NA,"Breaker Panel","Bryant",NA,"Unknown","200"
"SITE_1010","Primary",NA,"Breaker Panel","Federal Pacific/FPE/Noark",NA,"Unknown","100"
"SITE_1011","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1012","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1013","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1013","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1013","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1014","Primary",NA,"Breaker Panel","Square D",NA,"1991","125"
"SITE_1014","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1015","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2020","200"
"SITE_1016","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2008","200"
"SITE_1017","Primary",NA,"Breaker Panel","Siemens",NA,"2021","200"
"SITE_1018","Primary",NA,"Unknown","Square D",NA,"Unknown","200"
"SITE_1018","Secondary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","Unknown"
"SITE_1019","Primary",NA,"Breaker Panel","Square D",NA,"2017","200"
"SITE_102","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","200"
"SITE_1020","Primary",NA,"Breaker Panel","Square D",NA,"2012","200"
"SITE_1021","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2019","Unknown"
"SITE_1022","Primary",NA,"Breaker Panel","Square D",NA,"2016","200"
"SITE_1023","Primary",NA,"Breaker Panel","Square D",NA,"1984","225"
"SITE_1023","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1023","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","125"
"SITE_1024","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_1025","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","225"
"SITE_1026","Primary",NA,"Breaker Panel","Square D",NA,"2005","200"
"SITE_1027","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","200"
"SITE_1028","Primary",NA,"Breaker Panel","Square D",NA,"1974","200"
"SITE_1029","Primary",NA,"Breaker Panel","Siemens",NA,"Unknown","Unknown"
"SITE_103","Unknown","Main 1","Breaker Panel","Square D",NA,"2011","200"
"SITE_103","Unknown","Main 2","Breaker Panel","Square D",NA,"Unknown","200"
"SITE_103","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1030","Primary",NA,"Breaker Panel","Westinghouse",NA,"1992","125"
"SITE_1031","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2020","200"
"SITE_1032","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","Unknown"
"SITE_1033","Secondary",NA,"Breaker Panel","Siemens",NA,"Unknown","125"
"SITE_1033","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1035","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1035","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1036","Primary",NA,"Breaker Panel","Square D",NA,"2015","200"
"SITE_1037","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1038","Primary",NA,"Breaker Panel","Square D",NA,"1999","150"
"SITE_1039","Primary",NA,"Breaker Panel","Square D",NA,"2019","200"
"SITE_104","Primary",NA,"Breaker Panel","Westinghouse",NA,"Unknown","200"
"SITE_1040","Primary",NA,"Breaker Panel","Crouse-Hinds",NA,"Unknown","200"
"SITE_1040","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","100"
"SITE_1042","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2013","200"
"SITE_1043","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2021","Unknown"
"SITE_1044","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1044","Primary",NA,"Breaker Panel","Square D",NA,"2018","100"
"SITE_1045","Primary",NA,"Breaker Panel","Unknown",NA,"Unknown","100"
"SITE_1045","Primary",NA,"Breaker Panel","Square D",NA,"Unknown","Unknown"
"SITE_1046","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","125"
"SITE_1047","Primary",NA,"Breaker Panel","Square D",NA,"2010","200"
"SITE_1048","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"Unknown","200"
"SITE_1049","Primary",NA,"Breaker Panel","Square D",NA,"2007","200"
"SITE_105","Primary",NA,"Breaker Panel","General Electric",NA,"Unknown","200"
"SITE_1050","Primary",NA,"Breaker Panel","General Electric",NA,"2009","200"
"SITE_1051","Primary",NA,"Breaker Panel","Square D",NA,"2021","200"
"SITE_1051","Secondary",NA,"Breaker Panel","Square D",NA,"Unknown","100"
"SITE_1052","Primary",NA,"Breaker Panel","Eaton/Cutler Hammer",NA,"2018","200"
"SITE_1053","Primary",NA,"Breaker Panel","Gould",NA,"Unknown","200"
