"SiteID","Pct_Windows_Facing_North","Pct_Windows_Facing_NorthEast","Pct_Windows_Facing_East","Pct_Windows_Facing_SouthEast","Pct_Windows_Facing_South","Pct_Windows_Facing_SouthWest","Pct_Windows_Facing_West","Pct_Windows_Facing_NorthWest","Pct_Windows_Facing_Unknown"
"SITE_1","33.3%","0.0%","26.7%","0.0%","13.3%","0.0%","26.7%","0.0%","0.0%"
"SITE_10","13.3%","0.0%","40.0%","0.0%","20.0%","0.0%","26.7%","0.0%","0.0%"
"SITE_100","11.1%","11.1%","27.8%","0.0%","5.6%","5.6%","22.2%","16.7%","0.0%"
"SITE_1000","0.0%","23.5%","0.0%","17.6%","0.0%","17.6%","0.0%","41.2%","0.0%"
"SITE_1001","12.0%","0.0%","44.0%","0.0%","8.0%","0.0%","24.0%","12.0%","0.0%"
"SITE_1002","16.7%","0.0%","41.7%","0.0%","33.3%","0.0%","8.3%","0.0%","0.0%"
"SITE_1003","20.8%","0.0%","29.2%","0.0%","8.3%","0.0%","37.5%","0.0%","4.2%"
"SITE_1004","50.0%","0.0%","12.5%","0.0%","25.0%","0.0%","12.5%","0.0%","0.0%"
"SITE_1005","25.0%","0.0%","50.0%","0.0%","12.5%","0.0%","12.5%","0.0%","0.0%"
"SITE_1006","27.8%","0.0%","16.7%","0.0%","33.3%","0.0%","22.2%","0.0%","0.0%"
"SITE_1007","33.3%","0.0%","25.0%","0.0%","25.0%","0.0%","8.3%","8.3%","0.0%"
"SITE_1008","0.0%","28.6%","0.0%","28.6%","0.0%","42.9%","0.0%","0.0%","0.0%"
"SITE_1009","0.0%","0.0%","0.0%","0.0%","25.0%","50.0%","25.0%","0.0%","0.0%"
"SITE_101","40.0%","0.0%","20.0%","0.0%","26.7%","0.0%","13.3%","0.0%","0.0%"
"SITE_1010","0.0%","20.0%","0.0%","40.0%","0.0%","10.0%","0.0%","30.0%","0.0%"
"SITE_1011","23.5%","0.0%","29.4%","0.0%","17.6%","0.0%","29.4%","0.0%","0.0%"
"SITE_1012","12.5%","0.0%","12.5%","0.0%","37.5%","0.0%","37.5%","0.0%","0.0%"
"SITE_1013","16.7%","0.0%","22.2%","0.0%","38.9%","0.0%","22.2%","0.0%","0.0%"
"SITE_1014","0.0%","8.3%","25.0%","8.3%","16.7%","0.0%","33.3%","8.3%","0.0%"
"SITE_1015","20.0%","0.0%","40.0%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1016","33.3%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1017","45.5%","0.0%","0.0%","0.0%","54.5%","0.0%","0.0%","0.0%","0.0%"
"SITE_1018","27.8%","0.0%","22.2%","0.0%","27.8%","0.0%","16.7%","5.6%","0.0%"
"SITE_1019","8.7%","0.0%","30.4%","0.0%","34.8%","0.0%","26.1%","0.0%","0.0%"
"SITE_102","30.0%","0.0%","20.0%","0.0%","20.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1020","23.1%","0.0%","23.1%","0.0%","23.1%","0.0%","30.8%","0.0%","0.0%"
"SITE_1021","20.0%","0.0%","40.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1022","33.3%","0.0%","25.0%","0.0%","33.3%","0.0%","8.3%","0.0%","0.0%"
"SITE_1023","12.5%","0.0%","31.2%","0.0%","31.2%","0.0%","25.0%","0.0%","0.0%"
"SITE_1024","33.3%","0.0%","25.0%","0.0%","16.7%","0.0%","25.0%","0.0%","0.0%"
"SITE_1025","27.3%","0.0%","0.0%","0.0%","36.4%","0.0%","36.4%","0.0%","0.0%"
"SITE_1026","44.4%","0.0%","5.6%","0.0%","33.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_1027","28.6%","0.0%","28.6%","0.0%","28.6%","0.0%","14.3%","0.0%","0.0%"
"SITE_1028","25.0%","0.0%","8.3%","0.0%","41.7%","0.0%","25.0%","0.0%","0.0%"
"SITE_1029","46.2%","0.0%","15.4%","0.0%","15.4%","0.0%","23.1%","0.0%","0.0%"
"SITE_103","12.5%","0.0%","33.3%","0.0%","20.8%","0.0%","33.3%","0.0%","0.0%"
"SITE_1030","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1031","22.2%","0.0%","33.3%","0.0%","22.2%","0.0%","22.2%","0.0%","0.0%"
"SITE_1032","33.3%","0.0%","0.0%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1033","33.3%","9.5%","9.5%","4.8%","33.3%","0.0%","9.5%","0.0%","0.0%"
"SITE_1034","18.8%","0.0%","25.0%","0.0%","31.2%","0.0%","25.0%","0.0%","0.0%"
"SITE_1035","17.6%","0.0%","29.4%","0.0%","11.8%","0.0%","41.2%","0.0%","0.0%"
"SITE_1036","6.2%","6.2%","31.2%","0.0%","25.0%","0.0%","25.0%","6.2%","0.0%"
"SITE_1037","9.1%","18.2%","9.1%","18.2%","0.0%","27.3%","0.0%","18.2%","0.0%"
"SITE_1038","30.8%","0.0%","38.5%","0.0%","0.0%","0.0%","30.8%","0.0%","0.0%"
"SITE_1039","33.3%","0.0%","20.0%","0.0%","26.7%","0.0%","20.0%","0.0%","0.0%"
"SITE_104","28.6%","0.0%","32.1%","0.0%","21.4%","0.0%","17.9%","0.0%","0.0%"
"SITE_1040","40.0%","0.0%","0.0%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1041","18.8%","0.0%","12.5%","0.0%","6.2%","0.0%","56.2%","0.0%","6.2%"
"SITE_1042","7.7%","0.0%","53.8%","0.0%","7.7%","0.0%","30.8%","0.0%","0.0%"
"SITE_1043","35.7%","0.0%","14.3%","0.0%","21.4%","0.0%","28.6%","0.0%","0.0%"
"SITE_1044","33.3%","0.0%","25.0%","0.0%","8.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1045","44.4%","0.0%","33.3%","0.0%","11.1%","0.0%","11.1%","0.0%","0.0%"
"SITE_1046","50.0%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1047","0.0%","37.5%","0.0%","25.0%","0.0%","12.5%","0.0%","25.0%","0.0%"
"SITE_1048","12.5%","0.0%","18.8%","0.0%","25.0%","6.2%","25.0%","6.2%","6.2%"
"SITE_1049","0.0%","0.0%","35.7%","0.0%","35.7%","0.0%","21.4%","7.1%","0.0%"
"SITE_105","35.3%","2.9%","2.9%","2.9%","47.1%","2.9%","2.9%","0.0%","2.9%"
"SITE_1050","41.2%","0.0%","11.8%","0.0%","35.3%","0.0%","11.8%","0.0%","0.0%"
"SITE_1051","16.7%","0.0%","27.8%","0.0%","27.8%","0.0%","27.8%","0.0%","0.0%"
"SITE_1052","44.4%","0.0%","16.7%","0.0%","22.2%","0.0%","16.7%","0.0%","0.0%"
"SITE_1053","60.0%","0.0%","0.0%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1054","0.0%","25.0%","0.0%","37.5%","0.0%","25.0%","0.0%","12.5%","0.0%"
"SITE_1055","9.1%","0.0%","27.3%","0.0%","36.4%","0.0%","27.3%","0.0%","0.0%"
"SITE_1056","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1057","33.3%","0.0%","0.0%","0.0%","66.7%","0.0%","0.0%","0.0%","0.0%"
"SITE_1058","0.0%","43.3%","0.0%","26.7%","0.0%","16.7%","0.0%","13.3%","0.0%"
"SITE_1059","20.0%","0.0%","20.0%","0.0%","20.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_106","17.6%","0.0%","29.4%","0.0%","17.6%","5.9%","29.4%","0.0%","0.0%"
"SITE_1060","13.3%","0.0%","26.7%","0.0%","26.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1061","0.0%","36.4%","0.0%","18.2%","0.0%","27.3%","0.0%","18.2%","0.0%"
"SITE_1062","33.3%","0.0%","0.0%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1063","0.0%","30.0%","0.0%","30.0%","0.0%","20.0%","10.0%","10.0%","0.0%"
"SITE_1064","36.4%","0.0%","27.3%","0.0%","9.1%","0.0%","27.3%","0.0%","0.0%"
"SITE_1065","14.3%","0.0%","33.3%","0.0%","23.8%","0.0%","28.6%","0.0%","0.0%"
