"SiteID","Ceiling_Type","Ceiling_Type_Other","Ceiling_Area","Ceiling_Accessible","Type_of_Area_Above_Ceiling","Ceiling_Framing_Size","Ceiling_Framing_Material","Ceiling_Framing_Material_Other","Ceiling_Framing_Spacing","Ceiling_Framing_Spacing_Other","Ceiling_Insulated","Ceiling_Insulation_Type_1","Ceiling_Insulation_Thickness_1","Ceiling_Insulation_Condition_1","Ceiling_Insulation_Type_2","Ceiling_Insulation_Thickness_2","Ceiling_Insulation_Condition_2","Ceiling_Insulation_Type_3","Ceiling_Insulation_Thickness_3","Ceiling_Insulation_Condition_3","Ceiling_Insulation_Source","Ceiling_Insulation_Source_Other","Ceiling_Insulation_U-Value","Ceiling_Insulation_R-Value","Ceiling_U-Value_for_Heat_Loss","Ceiling_Heat_Loss_Rate_UA"
"SITE_1","Attic",NA,"1334","Yes",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Blown fiberglass","9","0.9",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0393313667649951","25.425","0.0904882869198317","120.711374751056"
"SITE_10","Attic",NA,"990","Yes",NA,"Unknown","Wood",NA,"Other","46","Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA
"SITE_100","Attic",NA,"1240","Yes",NA,"2x4","Wood",NA,"30 inches on center",NA,"Yes","Blown cellulose","6","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0487757291971515","20.502","0.0495365467164008","61.4253179283371"
"SITE_100","Sloped / Vaulted (no Attic)",NA,"1640","No",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Unknown","Unknown","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1000","Attic",NA,"3064","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Blown fiberglass","10","1",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0353982300884956","28.25","0.0394332650335426","120.823524062775"
"SITE_1001","Attic",NA,"1820","No",NA,"Unknown","Wood",NA,"30 inches on center",NA,"Yes","Fiberglass batts","6","0.9","Blown fiberglass","8","0.9",NA,NA,NA,"Other","Owner query","0.02322340919647","43.06","0.0793011709144702","144.328131064336"
"SITE_1002","Sloped / Vaulted (no Attic)",NA,"1332","No",NA,"2x8","Wood",NA,"30 inches on center",NA,"Yes","Blown fiberglass","7","0.5",NA,NA,NA,NA,NA,NA,"Other","Homeowner discussion from recent work","0.0505689001264222","19.775","0.0487749630027339","64.9682507196415"
"SITE_1003","Sloped / Vaulted (no Attic)",NA,"1800","No",NA,"Unknown","Wood",NA,"Other","Timber frame","Yes","Blown mineral wool","15","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"0.0231240605850387","43.245","0.0488201804473523","87.8763248052341"
"SITE_1004","Attic",NA,"2706","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Blown mineral wool","12","0.9","None","0","Unknown","None","0","Unknown","Visual inspection",NA,"0.0289050757312984","34.596","0.0833170320859907","225.455888824691"
"SITE_1005","Attic",NA,"1560","No",NA,"Open web truss","Wood",NA,"Unknown",NA,"Yes","Blown mineral wool","13","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"0.0266816083673524","37.479","0.032863040865147","51.2663437496293"
"SITE_1006","Attic",NA,"1500","Yes",NA,"2x6","Wood",NA,"24 inches on center",NA,"Yes","Blown mineral wool","3.5","0.5","Blown fiberglass","6","0.75",NA,NA,NA,"Visual inspection",NA,"0.036981564690002","27.0405","0.16116933976083","241.754009641245"
"SITE_1007","Attic",NA,"2105","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","14","0.9",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0209467951403435","47.74","0.0772766432359141","162.667334011599"
"SITE_1008","Attic",NA,"724","No",NA,"Unknown","Wood",NA,"24 inches on center",NA,"Yes","Unknown","Unknown","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1009","Attic",NA,"1980","No",NA,"Unknown","Wood",NA,"Unknown",NA,"Yes","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_101","Sloped / Vaulted (no Attic)",NA,"1344","No",NA,"2x4","Wood",NA,"16 inches on center",NA,"Yes","Fiberglass batts","3.5","0.9",NA,NA,NA,NA,NA,NA,NA,NA,"0.0837871805613741","11.935","0.0956333509466148","128.53122367225"
"SITE_1010","Attic",NA,"1268","No",NA,"Unknown","Wood",NA,"16 inches on center",NA,"Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","IR Camera",NA,"Unknown","Unknown",NA,NA
"SITE_1011","Attic",NA,"1431","Yes",NA,"2x8","Wood",NA,"16 inches on center",NA,"Yes","Blown fiberglass","16","1","Blown fiberglass","Unknown","Unknown",NA,NA,NA,"Visual inspection",NA,"Unknown","Unknown","0.0298751659537939","42.7513624798791"
"SITE_1012","Sloped / Vaulted (no Attic)",NA,"1048","No",NA,"2x8","Wood",NA,"24 inches on center",NA,"Yes","Fiberglass batts","8","1",NA,NA,NA,NA,NA,NA,"IR Camera",NA,"0.0366568914956012","27.28","0.0376445685823718","39.4515078743257"
"SITE_1013","Sloped / Vaulted (no Attic)",NA,"945","No",NA,"Unknown","Wood",NA,"Unknown",NA,"Unknown","Unknown","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA
"SITE_1014","Attic",NA,"1039.5","Yes",NA,"2x4","Wood",NA,"24 inches on center",NA,"Yes","Blown mineral wool","6","0.9",NA,NA,NA,NA,NA,NA,"Visual inspection",NA,"0.0578101514625968","17.298","0.103629126441104","107.722476935527"
