"SiteID","Construction_Type","Framing_Type","Framing_Type_Other","Foundation_Type","Foundation_Type_Other","Total_Building_Levels","Area","Average_Height","Volume"
"SITE_1","Frame","Wood",NA,">90% Crawlspace",NA,"2","2348","9.07752245113576","21314.0227152668"
"SITE_10","Frame","Wood",NA,">90% Crawlspace",NA,"1.5","1800","8.96822610196109","16142.80698353"
"SITE_100","Frame","Wood",NA,">90% Crawlspace",NA,"2","2700","9.77797880202838","26400.5427654766"
"SITE_1000","Frame","Wood",NA,">90% Crawlspace",NA,"1","2500","10.2064075192782","25516.0187981956"
"SITE_1001","Frame","Wood",NA,">90% Crawlspace",NA,"2","3500","9.70850264460063","33979.7592561022"
"SITE_1002","Frame","Wood",NA,">90% Crawlspace",NA,"1.5","1100","9.38487474100584","10323.3622151064"
"SITE_1003","Frame","Wood",NA,"Mixed Crawlspace and Conditioned Basement",NA,"2","5500","9.82102043319011","54015.6123825456"
"SITE_1004","Frame","Wood",NA,">90% Crawlspace",NA,"1.5","2300","9.61930005912956","22124.390135998"
"SITE_1005","Frame","Wood",NA,">90% Crawlspace",NA,"1","1500","9.71866073486378","14577.9911022957"
"SITE_1006","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","3120","8","24960"
"SITE_1007","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","3000","8.36783968487495","25103.5190546248"
"SITE_1008","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","1449","8.26134083542634","11970.6828705328"
"SITE_1009","Frame","Wood",NA,">90% Unconditioned Basement",NA,"1","660","8.66836926638692","5721.12371581537"
"SITE_101","Frame","Wood",NA,">90% Crawlspace",NA,"2","1344","7.79397930385701","10475.1081843838"
"SITE_1010","Frame","Wood",NA,">90% Crawlspace",NA,"1","1300","7.72781837730028","10046.1638904904"
"SITE_1011","Frame","Wood",NA,">90% Unconditioned Basement",NA,"2","3100","9.23063247494882","28614.9606723413"
"SITE_1012","Frame","Wood",NA,"Mixed Crawlspace and Slab",NA,"1.5","1048","9.29912245123705","9745.48032889643"
"SITE_1013","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","2000","9.89653117896474","19793.0623579295"
"SITE_1014","Frame","Wood",NA,">90% Crawlspace",NA,"2","1978","9.74227292427714","19270.2158442202"
"SITE_1015","Frame","Wood",NA,">90% Crawlspace",NA,"1","1574","8.75","13772.5"
"SITE_1016","Frame","Wood",NA,"Mixed Crawlspace and Slab",NA,"1","847","7.7","6521.9"
"SITE_1017","Frame","Wood",NA,">90% Crawlspace",NA,"1","2400","9","21600"
"SITE_1018","Frame","Wood",NA,">90% Conditioned Basement",NA,"2.5","2300","7.3748012718601","16962.0429252782"
"SITE_1019","Frame","Wood",NA,"Mixed Conditioned Basement and Slab",NA,"2","4200","8.50206489675516","35708.6725663717"
"SITE_102","Frame","Wood",NA,">90% Crawlspace",NA,"1","1500","7.59976376521897","11399.6456478285"
"SITE_1020","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","3400","9.39953864345668","31958.4313877527"
"SITE_1021","Frame","Wood",NA,">90% Slab",NA,"1","1100","8","8800"
"SITE_1022","Frame","Wood",NA,">90% Crawlspace",NA,"1","1904","9.3293038060409","17762.9944467019"
"SITE_1023","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","2700","8.46820698629787","22864.1588630043"
"SITE_1024","Frame","Wood",NA,">90% Crawlspace",NA,"2","1200","7.26959748498288","8723.51698197945"
"SITE_1025","Frame","Wood",NA,">90% Crawlspace",NA,"1","2300","9.85077507690452","22656.7826768804"
"SITE_1026","Frame","Wood",NA,">90% Slab",NA,"2","2735","9.30967772016104","25461.9685646404"
"SITE_1027","Frame","Wood",NA,">90% Crawlspace",NA,"2","2000","10.8870757801835","21774.151560367"
"SITE_1028","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","1850","8.07664562669071","14941.7944093778"
"SITE_1029","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","1729","7.9274269112496","13706.5211295506"
"SITE_103","Frame","Wood",NA,">90% Conditioned Basement",NA,"2","3600","9.45010691646818","34020.3848992854"
"SITE_1030","Frame","Wood",NA,">90% Crawlspace",NA,"1","1175","8.30606270259189","9759.62367554548"
"SITE_1031","Frame","Wood",NA,">90% Crawlspace",NA,"1","1860","9.24242483943418","17190.9102013476"
"SITE_1032","Frame","Wood",NA,">90% Slab",NA,"2","1050","8.04928307450921","8451.74722823467"
"SITE_1033","Frame","Wood",NA,"Mixed Crawlspace and Conditioned Basement",NA,"1.5","3686","8.70092345146983","32071.6038421178"
"SITE_1034","Frame","Wood",NA,"Other","Unfinished basement and crawl space","1","1400","7.56199273001342","10586.7898220188"
"SITE_1035","Frame","Wood",NA,">90% Conditioned Basement",NA,"2.5","2500","8.10802236354878","20270.0559088719"
"SITE_1036","Frame","Wood",NA,">90% Crawlspace",NA,"1","1800","9","16200"
"SITE_1037","Solid masonry","Masonry",NA,">90% Crawlspace",NA,"1","800","7.60696611440369","6085.57289152295"
"SITE_1038","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","1599","7.66143597937032","12250.6361310131"
"SITE_1039","Unknown","Unknown",NA,"Unknown",NA,"Unknown","2100","8","16800"
"SITE_104","Frame","Wood",NA,">90% Conditioned Basement",NA,"2.5","3803","8.33333333333333","31691.6666666667"
"SITE_1040","Frame","Wood",NA,">90% Crawlspace",NA,"1","1868","8.13207136640557","15190.7093124456"
"SITE_1041","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","4200","9","37800"
"SITE_1042","Frame","Wood",NA,">90% Slab",NA,"2","1934","8.44000707209671","16322.973677435"
"SITE_1043","Frame","Wood",NA,">90% Crawlspace",NA,"1","2205","10.5008183062548","23154.3043652919"
"SITE_1044","Frame","Wood",NA,">90% Conditioned Basement",NA,"2.5","2800","8.53232677461872","23890.5149689324"
"SITE_1045","Frame","Unknown",NA,">90% Crawlspace",NA,"1","1100","7.5","8250"
"SITE_1046","Unknown","Unknown",NA,"Unknown",NA,"Unknown","717","8","5736"
"SITE_1047","Frame","Wood",NA,">90% Crawlspace",NA,"1","1800","9.28126743205552","16706.2813776999"
"SITE_1048","Frame","Wood",NA,">90% Crawlspace",NA,"1","1500","9.1124929803175","13668.7394704762"
"SITE_1049","Frame","Wood",NA,">90% Crawlspace",NA,"1","1700","9","15300"
"SITE_105","Frame","Wood",NA,">90% Crawlspace",NA,"2","3400","10.0647079114502","34220.0068989307"
"SITE_1050","Frame","Wood",NA,"Mixed Crawlspace and Conditioned Basement",NA,"2.5","2500","12.0839960064457","30209.9900161143"
"SITE_1051","Frame","Wood",NA,">90% Crawlspace",NA,"2","1200","9.93093427317134","11917.1211278056"
"SITE_1052","Frame","Wood",NA,"Mixed Crawlspace and Slab",NA,"1","3100","10.0731215854089","31226.6769147677"
"SITE_1053","Frame","Wood",NA,">90% Crawlspace",NA,"1","1500","7.6","11400"
"SITE_1054","Frame","Wood",NA,"Other","Mixed slab, unconditioned basement,  and unconditioned crawlspace.","1.5","2400","7.63086350445899","18314.0724107016"
"SITE_1055","Frame","Wood",NA,">90% Crawlspace",NA,"1","2760","9.891193081539","27299.6929050476"
"SITE_1056","Frame","Wood",NA,">90% Slab",NA,"2","4900","9.37203221089412","45922.9578333812"
"SITE_1057","Solid masonry","Wood",NA,">90% Crawlspace",NA,"1","2250","7.75","17437.5"
"SITE_1058","Frame","Wood",NA,">90% Conditioned Basement",NA,"2","4200","8.50917171052024","35738.521184185"
"SITE_1059","Frame","Wood",NA,">90% Crawlspace",NA,"1","2500","10.2453877251011","25613.4693127527"
"SITE_106","Frame","Wood",NA,">90% Crawlspace",NA,"1","2252","7.47183759680826","16826.5782680122"
"SITE_1060","Frame","Wood",NA,">90% Slab",NA,"2","1700","9.12215669755687","15507.6663858467"
"SITE_1061","Frame","Wood",NA,">90% Crawlspace",NA,"1","1700","9.09258009200032","15457.3861564006"
"SITE_1062","Frame","Wood",NA,">90% Crawlspace",NA,"1","1650","8","13200"
"SITE_1063","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","3720","8","29760"
"SITE_1064","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","3800","7.74060298861168","29414.2913567244"
"SITE_1065","Frame","Wood",NA,">90% Crawlspace",NA,"1.5","1460","9.84489176605747","14373.5419784439"
"SITE_1066","Frame","Wood",NA,"Other","Mixed crawlspace and unconditioned basement","1.5","2046","8.69372395883428","17787.3592197749"
"SITE_1067","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","2300","8.31433159120962","19122.9626597821"
"SITE_1068","Frame","Wood",NA,"Mixed Crawlspace and Conditioned Basement",NA,"2","1487","7.27740051370465","10821.4945638788"
"SITE_1069","Frame","Wood",NA,">90% Crawlspace",NA,"2","2500","8.73489708078097","21837.2427019524"
"SITE_107","Frame","Wood",NA,">90% Crawlspace",NA,"2","1900","7.78497106813324","14791.4450294532"
"SITE_1070","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","2000","7.66165071057078","15323.3014211416"
"SITE_1071","Frame","Wood",NA,">90% Crawlspace",NA,"1","1686","8.55261237890641","14419.7044708362"
"SITE_1072","Frame","Wood",NA,">90% Conditioned Basement",NA,"2","3000","8.51893720878633","25556.811626359"
"SITE_1073","Frame","Wood",NA,"Mixed Crawlspace and Conditioned Basement",NA,"1.5","1500","7.90768500442076","11861.5275066311"
"SITE_1074","Frame","Wood",NA,"Mixed Basement and Slab",NA,"2","1725","8.63574451465167","14896.6592877741"
"SITE_1075","Frame","Wood",NA,">90% Conditioned Basement",NA,"2","2600","7.36314032513997","19144.1648453639"
"SITE_1076","Frame","Wood",NA,">90% Crawlspace",NA,"1","1345","6.95409930269309","9353.2635621222"
"SITE_1077","Frame","Wood",NA,">90% Conditioned Basement",NA,"2","1000","7.49009632224168","7490.09632224168"
"SITE_1078","Frame","Wood",NA,">90% Conditioned Basement",NA,"2.5","3200","8.96656963417989","28693.0228293756"
"SITE_1079","Frame","Wood",NA,">90% Crawlspace",NA,"1.5","1168","7.54139670377908","8808.35135001397"
"SITE_108","Frame","Wood",NA,">90% Conditioned Basement",NA,"2.5","2700","7.62545342286023","20588.7242417226"
"SITE_1080","Frame","Wood",NA,">90% Crawlspace",NA,"1","1206","7.5","9045"
"SITE_1081","Frame","Wood",NA,">90% Crawlspace",NA,"1","915","8","7320"
"SITE_1082","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","3600","8.11064097271738","29198.3075017826"
"SITE_1083","Frame","Wood",NA,">90% Crawlspace",NA,"1","1700","8.16527671543833","13880.9704162452"
"SITE_1084","Frame","Wood",NA,">90% Crawlspace",NA,"1","1640","8.00046398204497","13120.7609305538"
"SITE_1085","Frame","Wood",NA,">90% Slab",NA,"1","1500","7.7","11550"
"SITE_1086","Frame","Wood",NA,"Mixed Conditioned Basement and Slab",NA,"1","1687","7.4141786967449","12507.7194614086"
"SITE_1087","Frame","Wood",NA,">90% Crawlspace",NA,"2","1996","8","15968"
"SITE_1088","Frame","Wood",NA,"Mixed Crawlspace and Conditioned Basement",NA,"1","2600","7.9916205897841","20778.2135334387"
"SITE_1089","Frame","Wood",NA,">90% Crawlspace",NA,"2","1300","7.97852935401531","10372.0881602199"
"SITE_109","Frame","Wood",NA,">90% Crawlspace",NA,"2","4050","8.43585805334699","34165.2251160553"
"SITE_1090","Frame","Wood",NA,">90% Crawlspace",NA,"1","1000","7.87767934312878","7877.67934312878"
"SITE_1091","Frame","Wood",NA,">90% Conditioned Basement",NA,"2","2660","8.45177888687928","22481.7318390989"
"SITE_1092","Frame","Wood",NA,">90% Crawlspace",NA,"1","1600","8.76148052838052","14018.3688454088"
"SITE_1093","Frame","Wood",NA,">90% Crawlspace",NA,"1","1800","8","14400"
"SITE_1094","Frame","Wood",NA,">90% Crawlspace",NA,"2","2400","12.0907923043199","29017.9015303678"
"SITE_1095","Frame","Wood",NA,">90% Crawlspace",NA,"1.5","2222","9.21809723791088","20482.612062638"
"SITE_1096","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","1700","7.89994940295487","13429.9139850233"
"SITE_1097","Frame","Wood",NA,"Mixed Basement and Slab",NA,"1","2500","8.79672978696898","21991.8244674224"
"SITE_1098","Frame","Wood",NA,">90% Slab",NA,"1.5","1974","8","15792"
"SITE_1099","Frame","Wood",NA,">90% Conditioned Basement",NA,"1","3680","8.24602863783971","30345.3853872501"
"SITE_11","Frame","Wood",NA,">90% Crawlspace",NA,"2.5","3100","8.42980705256154","26132.4018629408"
"SITE_110","Frame","Wood",NA,">90% Crawlspace",NA,"1","850","8.25","7012.5"
"SITE_1100","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","1900","7.23627271222091","13748.9181532197"
"SITE_1101","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","2242","8.49631129633987","19048.729926394"
"SITE_1102","Frame","Wood",NA,">90% Crawlspace",NA,"1","1400","8.24644549763033","11545.0236966825"
"SITE_1103","Frame","Wood",NA,"Unknown",NA,"1","600","8","4800"
"SITE_1104","Frame","Wood",NA,">90% Crawlspace",NA,"1","1758","9.30286202203333","16354.4314347346"
"SITE_1105","Frame","Wood",NA,">90% Crawlspace",NA,"2","1738","8","13904"
"SITE_1106","Frame","Wood",NA,">90% Crawlspace",NA,"1","3040","10.8649225276634","33029.3644840966"
"SITE_1107","Frame","Wood",NA,">90% Crawlspace",NA,"1","1340","8.71734450174795","11681.2416323422"
"SITE_1108","Frame","Wood",NA,">90% Slab",NA,"1.5","1201","7.68823143417093","9233.56595243928"
"SITE_1109","Frame","Wood",NA,">90% Crawlspace",NA,"1","1029","8.17915643240103","8416.35196894065"
"SITE_111","Frame","Wood",NA,">90% Crawlspace",NA,"1","1166","7.5","8745"
"SITE_1110","Frame","Wood",NA,"Mixed Basement and Slab",NA,"2.5","2700","9.34843872411863","25240.7845551203"
"SITE_1111","Frame","Wood",NA,">90% Crawlspace",NA,"1","2700","10.279385466424","27754.3407593448"
"SITE_1112","Frame","Wood",NA,">90% Crawlspace",NA,"2","1850","7.92737114615204","14665.6366203813"
"SITE_1113","Frame","Wood",NA,">90% Crawlspace",NA,"1","1137","8.5766289911887","9751.62716298155"
"SITE_1114","Frame","Wood",NA,">90% Crawlspace",NA,"1","1419","9.0732886376984","12874.996576894"
"SITE_1115","Frame","Wood",NA,">90% Crawlspace",NA,"2","3600","8.77281794934993","31582.1446176597"
"SITE_1116","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","2400","7.50113012298198","18002.7122951568"
"SITE_1117","Frame","Other","Wood and Concrete",">90% Slab",NA,"2","1600","8.37533854928342","13400.5416788535"
"SITE_1118","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","2600","7.45038129605105","19370.9913697327"
"SITE_1119","Frame","Wood",NA,">90% Slab",NA,"2","775","9.42392757424486","7303.54387003977"
"SITE_112","Frame","Wood",NA,">90% Unconditioned Basement",NA,"2","2020","7.60281323426684","15357.682733219"
"SITE_1120","Frame","Wood",NA,">90% Crawlspace",NA,"1","870","8.8078692295055","7662.84622966979"
"SITE_1121","Frame","Wood",NA,">90% Conditioned Basement",NA,"1.5","1300","7.80919023136247","10151.9473007712"
"SITE_1122","Frame","Wood",NA,"Other","Mixed unconditioned basement and crawlspace","2","3000","8.2669192137748","24800.7576413244"
"SITE_1123","Frame","Wood",NA,">90% Crawlspace",NA,"2","2230","7.29872782627606","16276.1630525956"
"SITE_1124","Frame","Wood",NA,">90% Crawlspace",NA,"1.5","1500","7.40170576989333","11102.55865484"
