"SiteID","Floor_Type","Floor_Area","Is_Space_Conditioned","Floor_Area_Is_Estimated","Perimeter","Perimeter_Is_Estimated","Type_of_Area_Below","Area_Below_Heated","Framing_Type","Framing_Size","Framing_Spacing","Framing_Spacing_Other","Crawlspace_Vents_Present","Crawlspace_Vents_Blocked","Basement_Percent_Below_Grade","Central_Heating_Equipment_in_Basement","Ducting_in_Basement","Slab_Heated","Slab_Insulated","Slab_Insulation_Position","Slab_Insulation_Type","Slab_Insulation_Thickness","Slab_Insulation_Condition","Slab_Insulation_Source","Slab_Insulation_Source_Other","Floor_Insulated","Floor_Insulation_Type","Floor_Insulation_Thickness","Floor_Insulation_Condition","Crawlspace_Walls_Insulated","Crawlspace_Wall_Insulation_Type","Crawlspace_Wall_Insulation_Condition","Crawlspace_Wall_Insulation_Thickness","Crawlspace_Wall_Insulation_Source","Crawlspace_Wall_Insulation_Source_Other","Crawlspace_Wall_Exteriors_Insulated","Crawlspace_Wall_Exterior_Insulation_Type","Crawlspace_Wall_Exterior_Insulation_Thickness","Crawlspace_Wall_Exterior_Insulation_Condition","Crawlspace_Wall_Exterior_Insulation_Source","Crawlspace_Wall_Exterior_Insulation_Source_Other","Basement_Floor_Above_Insulated","Basement_Floor_Above_Insulation_Type","Basement_Floor_Above_Insulation_Thickness","Basement_Floor_Above_Insulation_Condition","Floor_Above_Insulation_Source","Floor_Above_Insulation_Source_Other","Basement_Floor_Above_Insulation_Source","Basement_Floor_Above_Insulation_Source_Other","Floor_Insulation_U-Value","Floor_Insulation_R-Value","Floor_U-Value_for_Heat_Loss","Slab_F-Value_for_Heat_Loss","Floor_Heat_Loss_Rate_UA"
"SITE_1","Crawlspace","998","No","Unknown","152","Unknown",NA,NA,"Joist","2x10 or 4x10","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","7","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0587349808411355","21.483","0.0587349808411355",NA,"58.6175108794532"
"SITE_1","Floor over other - Frame","382",NA,"Measured or Known",NA,NA,"Garage","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","7","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IR Camera",NA,NA,NA,"0.0465484336452078","21.483","0",NA,"17.7815016524694"
"SITE_10","Crawlspace","990","No","Estimated","125","Estimated",NA,NA,"Post and Beam","2x6 or 4x6","Unknown",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_100","Crawlspace","2237.4","No","Measured or Known","191.9","Measured or Known",NA,NA,"Joist","2x10 or 4x10","12 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","10","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0487459383800359","30.69","0.0487459383800359",NA,"109.064162531492"
"SITE_1000","Slab","783",NA,"Measured or Known","112","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.73","81.76"
"SITE_1000","Crawlspace","2281","No","Measured or Known","191","Estimated",NA,NA,"Post and Beam","2x12 or 4x12","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","12","1","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0261612761498626","40.92","0.0261612761498626",NA,"59.6738708978367"
"SITE_1001","Crawlspace","1820","No","Estimated","173","Estimated",NA,NA,"Post and Beam","2x10 or 4x10","30 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","9","0.9","Yes","Fiberglass batts","0.9","10","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0362043372796061","27.621","0.0305696478268621",NA,"55.636759044889"
"SITE_1002","Crawlspace","1332","No","Measured or Known","146","Unknown",NA,NA,NA,"Unknown","Unknown",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SITE_1002","Floor over other - Other","468",NA,"Measured or Known",NA,NA,"Residential Occupancy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA
"SITE_1003","Basement","660","Yes","Measured or Known","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","Yes","Insulated","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","Unknown"
"SITE_1003","Crawlspace","1150","No","Estimated","138","Estimated",NA,NA,"Post and Beam","2x8 or 4x8","16 inches on center",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Mineral wool batts","6","0.9","Yes","Extruded polystyrene foam board (pink or blue)","1","2","Visual inspection",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.051440329218107","19.44","0.0412146079715232",NA,"47.3967991672517"
"SITE_1004","Crawlspace","1904","No","Estimated","178","Estimated",NA,NA,"Joist","2x6 or 4x6","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fiberglass batts","6","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0638650043593839","18.414","0.0638650043593839",NA,"121.598968300267"
"SITE_1005","Crawlspace","1560","No","Measured or Known","196","Estimated",NA,NA,"Post and Beam","2x12 or 4x12","16 inches on center",NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Mineral wool batts","10","0.9","No",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Visual inspection",NA,NA,NA,"0.0477009149339971","32.4","0.0477009149339971",NA,"74.4134272970354"
"SITE_1006","Basement","1500","Yes","Measured or Known","172","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,"75","Yes","Uninsulated","No","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0.73","79.12"
"SITE_1007","Basement","1500","Yes","Measured or Known","160","Measured or Known",NA,NA,NA,NA,NA,NA,NA,NA,"50","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"0.198711022272987",NA,"0","0.73","84.8"
