"Building_ID","Type_of_Ceiling","Data_Collection_Type"
"BLDG_0001","Sloped / Vaulted (no attic)","Full Survey"
"BLDG_0002","Roof Deck","Full Survey"
"BLDG_0003","Roof Deck","Full Survey"
"BLDG_0004","Roof Deck","Partial/Remote Survey"
"BLDG_0005","Roof Deck","Full Survey"
"BLDG_0006","Adiabatic","Full Survey"
"BLDG_0007","Roof Deck","Full Survey"
"BLDG_0008","Sloped / Vaulted (no attic)","Full Survey"
"BLDG_0009","Roof Deck","Full Survey"
"BLDG_0011","Roof Deck","Full Survey"
"BLDG_0012","Roof Deck","Partial/Remote Survey"
"BLDG_0013","Roof Deck","Full Survey"
"BLDG_0014","Roof Deck","Full Survey"
"BLDG_0015","Roof Deck","Partial/Remote Survey"
"BLDG_0017","Roof Deck","Full Survey"
"BLDG_0018","Roof Deck","Partial/Remote Survey"
"BLDG_0021","Roof Deck","Full Survey"
"BLDG_0023","Roof Deck","Partial/Remote Survey"
"BLDG_0024","Attic","Partial/Remote Survey"
"BLDG_0025","Attic","Partial/Remote Survey"
"BLDG_0026","Attic","Partial/Remote Survey"
"BLDG_0027","Roof Deck","Partial/Remote Survey"
"BLDG_0028","Attic","Partial/Remote Survey"
"BLDG_0029","Roof Deck","Partial/Remote Survey"
"BLDG_0030","Attic","Partial/Remote Survey"
"BLDG_0031","Attic","Partial/Remote Survey"
"BLDG_0032","Attic","Partial/Remote Survey"
"BLDG_0033","Attic","Partial/Remote Survey"
"BLDG_0034","Attic","Partial/Remote Survey"
"BLDG_0035","Attic","Partial/Remote Survey"
"BLDG_0036","Roof Deck","Partial/Remote Survey"
"BLDG_0037","Roof Deck","Partial/Remote Survey"
"BLDG_0038","Roof Deck","Partial/Remote Survey"
"BLDG_0039","Roof Deck","Partial/Remote Survey"
"BLDG_0040","Roof Deck","Partial/Remote Survey"
"BLDG_0041","Roof Deck","Partial/Remote Survey"
"BLDG_0041","Sloped / Vaulted (no attic)","Partial/Remote Survey"
"BLDG_0042","Attic","Partial/Remote Survey"
"BLDG_0043","Roof Deck","Partial/Remote Survey"
"BLDG_0044","Roof Deck","Partial/Remote Survey"
"BLDG_0045","Roof Deck","Partial/Remote Survey"
"BLDG_0047","Attic","Partial/Remote Survey"
"BLDG_0047","Roof Deck","Partial/Remote Survey"
"BLDG_0048","Roof Deck","Partial/Remote Survey"
"BLDG_0049","Attic","Partial/Remote Survey"
"BLDG_0050","Roof Deck","Partial/Remote Survey"
"BLDG_0051","Roof Deck","Partial/Remote Survey"
"BLDG_0052","Roof Deck","Partial/Remote Survey"
"BLDG_0053","Attic","Partial/Remote Survey"
"BLDG_0054","Attic","Partial/Remote Survey"
"BLDG_0055","Attic","Partial/Remote Survey"
"BLDG_0056","Attic","Partial/Remote Survey"
"BLDG_0057","Attic","Partial/Remote Survey"
"BLDG_0058","Roof Deck","Partial/Remote Survey"
"BLDG_0059","Roof Deck","Partial/Remote Survey"
"BLDG_0060","Attic","Partial/Remote Survey"
"BLDG_0061","Attic","Partial/Remote Survey"
"BLDG_0062","Sloped / Vaulted (no attic)","Partial/Remote Survey"
"BLDG_0064","Roof Deck","Partial/Remote Survey"
"BLDG_0065","Attic","Partial/Remote Survey"
"BLDG_0066","Attic","Partial/Remote Survey"
"BLDG_0067","Roof Deck","Partial/Remote Survey"
"BLDG_0068","Attic","Partial/Remote Survey"
"BLDG_0069","Attic","Partial/Remote Survey"
"BLDG_0070","Attic","Partial/Remote Survey"
"BLDG_0071","Attic","Partial/Remote Survey"
"BLDG_0072","Attic","Partial/Remote Survey"
"BLDG_0073","Attic","Partial/Remote Survey"
"BLDG_0074","Roof Deck","Partial/Remote Survey"
"BLDG_0075","Roof Deck","Partial/Remote Survey"
"BLDG_0076","Sloped / Vaulted (no attic)","Full Survey"
"BLDG_0076","Roof Deck","Full Survey"
"BLDG_0077","Roof Deck","Partial/Remote Survey"
"BLDG_0078","Roof Deck","Partial/Remote Survey"
"BLDG_0080","Roof Deck","Partial/Remote Survey"
"BLDG_0081","Roof Deck","Partial/Remote Survey"
"BLDG_0082","Roof Deck","Partial/Remote Survey"
"BLDG_0083","Roof Deck","Partial/Remote Survey"
"BLDG_0084","Attic","Partial/Remote Survey"
"BLDG_0085","Roof Deck","Partial/Remote Survey"
"BLDG_0086","Roof Deck","Partial/Remote Survey"
"BLDG_0087","Roof Deck","Partial/Remote Survey"
"BLDG_0088","Roof Deck","Partial/Remote Survey"
"BLDG_0089","Roof Deck","Partial/Remote Survey"
"BLDG_0090","Roof Deck","Partial/Remote Survey"
"BLDG_0091","Roof Deck","Partial/Remote Survey"
"BLDG_0092","Roof Deck","Partial/Remote Survey"
"BLDG_0093","Attic","Partial/Remote Survey"
"BLDG_0093","Sloped / Vaulted (no attic)","Partial/Remote Survey"
"BLDG_0094","Sloped / Vaulted (no attic)","Partial/Remote Survey"
"BLDG_0095","Roof Deck","Partial/Remote Survey"
"BLDG_0096","Attic","Partial/Remote Survey"
"BLDG_0098","Attic","Full Survey"
"BLDG_0099","Roof Deck","Full Survey"
"BLDG_0100","Attic","Full Survey"
"BLDG_0101","Attic","Full Survey"
"BLDG_0102","Attic","Full Survey"
"BLDG_0104","Roof Deck","Partial/Remote Survey"
"BLDG_0105","Attic","Full Survey"
"BLDG_0106","Other","Full Survey"
"BLDG_0107","Attic","Full Survey"
"BLDG_0109","Attic","Full Survey"
"BLDG_0110","Roof Deck","Full Survey"
"BLDG_0111","Roof Deck","Full Survey"
"BLDG_0113","Roof Deck","Partial/Remote Survey"
