"Building_ID","Building_construction_type","Type_of_frame","Type_of_frame_Other","Foundation_type","Data_Collection_Type"
"BLDG_0001","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0002","Rigid frame (concrete or steel)","Concrete",NA,"Parking/enclosed garage","Full Survey"
"BLDG_0003","Frame","Wood",NA,"Parking/enclosed garage","Full Survey"
"BLDG_0004","Podium","Wood",NA,"Unknown","Partial/Remote Survey"
"BLDG_0005","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0006","Podium","Wood",NA,"90% slab","Full Survey"
"BLDG_0007","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0008","Podium","Wood",NA,"90% slab","Full Survey"
"BLDG_0009","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0011","Podium","Wood",NA,"Parking/enclosed garage","Full Survey"
"BLDG_0012","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0013","Podium","Wood",NA,"Parking/enclosed garage","Full Survey"
"BLDG_0014","Rigid frame (concrete or steel)","Steel",NA,"90% slab","Full Survey"
"BLDG_0015","Frame","Unknown",NA,"90% slab","Partial/Remote Survey"
"BLDG_0017","Rigid frame (concrete or steel)","Steel",NA,"Parking/enclosed garage","Full Survey"
"BLDG_0018","Solid masonry","Masonry",NA,"Heated daylight basement Mixed basement and slab","Partial/Remote Survey"
"BLDG_0019","Podium","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0021","Solid masonry","Masonry",NA,">90% unheated basement","Full Survey"
"BLDG_0023","Frame","Steel",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0024","Frame","Wood",NA,"Unknown","Partial/Remote Survey"
"BLDG_0025","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0026","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0027","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0028","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0029","Podium","Steel",NA,"PT slab above nonresidential","Partial/Remote Survey"
"BLDG_0030","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0031","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0032","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0033","Frame","Wood",NA,">90% crawl","Partial/Remote Survey"
"BLDG_0034","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0035","Frame","Wood",NA,">90% crawl","Partial/Remote Survey"
"BLDG_0036","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0037","Frame","Steel",NA,"90% slab","Partial/Remote Survey"
"BLDG_0038","Rigid frame (concrete or steel)","Concrete",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0039","Rigid frame (concrete or steel)","Concrete",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0040","Frame","Steel",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0041","Solid masonry","Masonry",NA,"90% slab","Partial/Remote Survey"
"BLDG_0042","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0043","Podium","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0044","Podium","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0045","Solid masonry","Masonry",NA,"90% slab","Partial/Remote Survey"
"BLDG_0047","Frame","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0048","Podium","Unknown",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0049","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0050","Frame","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0051","Unknown","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0052","Rigid frame (concrete or steel)","Steel",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0053","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0054","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0055","Frame","Wood",NA,">90% crawl","Partial/Remote Survey"
"BLDG_0056","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0057","Frame","Wood",NA,">90% crawl","Partial/Remote Survey"
"BLDG_0058","Frame","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0059","Podium","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0060","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0061","Frame","Wood",NA,">90% heated basement","Partial/Remote Survey"
"BLDG_0062","Frame","Wood",NA,"Heated daylight basement Mixed basement and slab","Partial/Remote Survey"
"BLDG_0063","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0064","Solid masonry","Masonry",NA,"Unknown","Partial/Remote Survey"
"BLDG_0065","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0066","Frame","Wood",NA,">90% unheated basement","Partial/Remote Survey"
"BLDG_0067","Frame","Wood",NA,">90% crawl","Partial/Remote Survey"
"BLDG_0068","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0069","Frame","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0070","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0071","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0072","Frame","Wood",NA,">90% crawl","Partial/Remote Survey"
"BLDG_0073","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0074","Unknown","Unknown",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0075","Podium","Wood",NA,"Parking/open","Partial/Remote Survey"
"BLDG_0076","Frame","Wood",NA,">90% crawl","Full Survey"
"BLDG_0077","Podium","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0078","Frame","Wood",NA,"Unknown","Partial/Remote Survey"
"BLDG_0080","Frame","Steel",NA,"Unknown","Partial/Remote Survey"
"BLDG_0081","Solid masonry","Masonry",NA,"90% slab","Partial/Remote Survey"
"BLDG_0082","Solid masonry","Masonry",NA,">90% heated basement","Partial/Remote Survey"
"BLDG_0083","Frame","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0084","Frame","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0085","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0086","Podium","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0087","Unknown","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0088","Rigid frame (concrete or steel)","Concrete",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0089","Solid masonry","Masonry",NA,"Heated daylight basement Mixed basement and slab","Partial/Remote Survey"
"BLDG_0090","Frame","Wood",NA,">90% heated basement","Partial/Remote Survey"
"BLDG_0091","Podium","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0092","Frame","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0093","Frame","Wood",NA,">90% heated basement","Partial/Remote Survey"
"BLDG_0094","Solid masonry","Masonry",NA,"Heated daylight basement Mixed basement and slab","Partial/Remote Survey"
"BLDG_0095","Solid masonry","Masonry",NA,"90% slab","Partial/Remote Survey"
"BLDG_0096","Frame","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0097","Solid masonry","Masonry",NA,">90% heated basement","Partial/Remote Survey"
"BLDG_0098","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0099","Solid masonry","Concrete",NA,"90% slab","Full Survey"
"BLDG_0100","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0101","Frame","Wood",NA,">90% heated basement","Full Survey"
"BLDG_0102","Frame","Wood",NA,"Mixed crawl and slab","Full Survey"
"BLDG_0104","Solid masonry","Masonry",NA,">90% heated basement","Partial/Remote Survey"
"BLDG_0105","Solid masonry","Wood",NA,">90% unheated basement","Full Survey"
"BLDG_0106","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0107","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0109","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0110","Frame","Wood",NA,">90% crawl","Full Survey"
"BLDG_0111","Podium","Wood",NA,"Parking/enclosed garage","Full Survey"
"BLDG_0113","Solid masonry","Masonry",NA,"90% slab","Partial/Remote Survey"
"BLDG_0115","Frame","Wood",NA,">90% crawl","Full Survey"
"BLDG_0116","Podium","Wood",NA,">90% unheated basement","Full Survey"
"BLDG_0117","Podium","Wood",NA,"90% slab","Full Survey"
"BLDG_0118","Frame","Wood",NA,"Parking/open","Full Survey"
"BLDG_0119","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0120","Frame","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0121","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0122","Frame","Wood",NA,">90% crawl","Full Survey"
"BLDG_0123","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0124","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0125","Unknown","Wood",NA,"Parking/enclosed garage","Partial/Remote Survey"
"BLDG_0126","Podium","Wood",NA,"90% slab","Full Survey"
"BLDG_0127","Frame","Wood",NA,"Mixed crawl and slab","Full Survey"
"BLDG_0128","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0129","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0130","Frame","Wood",NA,"90% slab","Full Survey"
"BLDG_0131","Frame","Wood",NA,">90% crawl","Full Survey"
"BLDG_0132","Frame","Wood",NA,"Heated daylight basement Mixed basement and slab","Full Survey"
"BLDG_0133","Frame","Wood",NA,">90% unheated basement","Full Survey"
"BLDG_0134","Frame","Wood",NA,">90% crawl","Full Survey"
"BLDG_0135","Frame","Wood",NA,"Mixed crawl and slab","Full Survey"
"BLDG_0136","Frame","Wood",NA,">90% heated basement","Full Survey"
"BLDG_0137","Frame","Wood",NA,"90% slab","Partial/Remote Survey"
"BLDG_0138","Solid masonry","Wood",NA,">90% crawl","Full Survey"
"BLDG_0139","Frame","Wood",NA,">90% crawl","Full Survey"
"BLDG_0140","Frame","Wood",NA,">90% crawl","Full Survey"
"BLDG_0141","Solid masonry","Masonry",NA,">90% unheated basement","Full Survey"
"BLDG_0142","Frame","Wood",NA,">90% unheated basement","Full Survey"
"BLDG_0143","Frame","Wood",NA,">90% crawl","Full Survey"
"BLDG_0144","Frame","Wood",NA,"Unknown","Full Survey"
