"Building_ID","Common Areas Heated","Common Areas Cooled","Tenant Units Have Heating Equipment","Tenant Units Cooled","Tenant Units Have Cooling Equipment","COMMON AHU/RTU Cooling","COMMON AHU/RTU Heating","COMMON Boiler","COMMON Central AC","COMMON Central Air Source Heat Pump","COMMON Baseboard","COMMON Fireplace or Stove","COMMON Furnace","COMMON MAU","COMMON Ductless Mini-split AC","COMMON Ductless Mini-split Heat Pump","COMMON PTAC Packaged Terminal Air Conditioner","COMMON PTHP Packaged Terminal Heat Pump","COMMON Tower","COMMON Unit Heater","COMMON Wall Heater","COMMON Water Source Heat Pump","COMMON Unknown Heating","COMMON Unknown Cooling","TENANT AHU/RTU Cooling","TENANT Boiler","TENANT Central AC","TENANT Central Air Source Heat Pump","TENANT Baseboard","TENANT Fireplace or Stove","TENANT Furnace","TENANT Ductless Mini-split Heat Pump","TENANT PTAC Packaged Terminal Air Conditioner","TENANT PTHP Packaged Terminal Heat Pump","TENANT Portable AC","TENANT Portable Electric Heater","TENANT Portable Fossil Fuel Heater","TENANT Portable Heat Pump","TENANT Through-Wall AC","TENANT Through-Wall HP","TENANT Tower","TENANT Unit Heater","TENANT Wall Heater","TENANT Water Source Heat Pump","TENANT Window AC","TENANT Unknown Heating","TENANT Unknown Cooling","Tenant In-Unit HVAC Included","Heating Visable in Common Areas","Common and Tenant Heating Likely the Same","Cooling Visable in Common Areas","Common and Tenant Cooling Likely the Same","Common Space has Registers","Common Space has Radiators","Common Space has Evidence of Natural Gas Service","Common Space Natural Gas Service Evidence","Common Space has Evidence of Radiant Floor Heating","Common HVAC Other Evidence","Tenant Space has Registers","Tenant Space has Radiators","Tenant Space has Evidence of Natural Gas Service","Tenant Space Natural Gas Service Evidence","Tenant Space has Evidence of Radiant Floor Heating","Tenant HVAC Other Evidence","Remote Observation - Cooling Towers","Remote Observation - Split Units on Roof","Remote Observation - AHUs or RTUs","Remote Observation - Has Evidence of Natural Gas Service","Remote Observation - Evidence of Natural Gas Service","Remote Observation - Evidence of Radiant Floor","Remote Observation - Other Evidence","Data_Collection_Type"
"BLDG_0001","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Unknown","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0002","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0003","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Unknown","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0004","Yes","Unknown","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Unknown","Yes","No","Unknown","No","No","No","No","No","No","No","No","No","No","No","Yes","Unknown","No","No","No","Partial/Remote Survey"
"BLDG_0005","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Unknown","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0006","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","Yes","No","Unknown","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0007","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Unknown","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0008","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Unknown","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0009","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0011","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
