"Building_ID","Building_Type","Building_Category","City","County","State","Zip","Urban_Rural","Height_Class_MF_StrataVar","Strata_Population_Estimate","Electric_Utility","EIA_Electric_Utility_ID","Electric_Utility_BPA","Gas_Utility","Building_Strata","Building_Case_Weight","Part_of_MF_complex","Building_vintage","Building_vintage_is_estimated","Floors_above_ground","Floors_below_ground","Commercial_space_present","NonRes_floors_above_ground","Tenant_units_in_building","Tenant_units_in_building_is_estimated","Building_area_(sq_ft)","Building_area_(sq_ft)_is_estimated","Gym_Present","Laundry_Room_Present","Indoor_Pool_Present","Outdoor_Pool_Present","Hot_Tub_Present","Number_of_elevators","Presence_of_power_generation","Power_generation_types","Other_SPECIFY:","Parking_provided","Type_of_parking","Lighted_parking","Parking_Lamp_Type_1","Parking_Lamp_Style_1","Parking_Lamp_Count_1","Parking_Lamp_Type_2","Parking_Lamp_Style_2","Parking_Lamp_Count_2","Parking_Lamp_Type_3","Parking_Lamp_Style_3","Parking_Lamp_Count_3","Parking_Lamp_Type_4","Parking_Lamp_Style_4","Parking_Lamp_Count_4","Parking_Lamp_Type_5","Parking_Lamp_Style_5","Parking_Lamp_Count_5","Lighted_exterior","Exterior_Lamp_Type_1","Exterior_Lamp_Style_1","Exterior_Lamp_Count_1","Exterior_Lamp_Type_2","Exterior_Lamp_Style_2","Exterior_Lamp_Count_2","Exterior_Lamp_Type_3","Exterior_Lamp_Style_3","Exterior_Lamp_Count_3","Exterior_Lamp_Type_4","Exterior_Lamp_Style_4","Exterior_Lamp_Count_4","Exterior_Lamp_Type_5","Exterior_Lamp_Style_5","Exterior_Lamp_Count_5","Data_Collection_Type"
"BLDG_0001","Multi-family Residence","Apartment Building (3 or fewer floors)","PORTLAND","MULTNOMAH","OR",97202,"Urban","Low-Rise (1-3)",30246,"PORTLAND GENERAL ELECTRIC COMPANY",15248,"No","NW NATURAL GAS","Oregon Low-Rise Bldg",604.9,"No","2017","Measured / Known",3,0,"No",0,14,"Measured / Known",12096,"Estimated","No","No","No","No","No","0","No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LED","Reflector / Flood",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full Survey"
"BLDG_0002","Multi-family Residence","Apartment Building (More than 6 floors)","SEATTLE","KING","WA",98104,"Urban","High-Rise (7+)",1041,"SEATTLE CITY LIGHT",16868,"Yes","No Gas Utility","High-Rise Bldg",30.6,"Yes","2018","Measured / Known",17,4,"No",1,210,"Measured / Known",204100,"Estimated","No","No","No","No","No","3","No",NA,NA,"Yes","Closed Garage","Yes","LED","Integrated","82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full Survey"
"BLDG_0003","Multi-family Residence","Apartment Building (4 to 6 floors)","SEATTLE","KING","WA",98106,"Urban","Mid-Rise (4-6)",4300,"SEATTLE CITY LIGHT",16868,"Yes","No Gas Utility","Mid-Rise Bldg",56.6,"No","2021","Measured / Known",4,1,"No",0,32,"Measured / Known",43520,"Estimated","No","No","No","No","No","1","No",NA,NA,"Yes","Closed Garage","Yes","LED","Integrated","24","Unknown","Integrated","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown","Unknown",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full Survey"
"BLDG_0004","Multi-family Residence","Apartment Building (4 to 6 floors)","SEATTLE","KING","WA",98105,"Urban","Mid-Rise (4-6)",4300,"SEATTLE CITY LIGHT",16868,"Yes","No Gas Utility","Mid-Rise Bldg",56.6,"No","2017","Measured / Known",6,0,"Yes",1,133,"Measured / Known",110000,"Estimated","No","Yes","No","No","No","2","Yes","Solar / PV System",NA,"Yes","Open Garage","Yes","LED","T-8","60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","LED","Integrated",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial/Remote Survey"
"BLDG_0005","Multi-family Residence","Apartment Building (4 to 6 floors)","SEATTLE","KING","WA",98105,"Urban","Mid-Rise (4-6)",4300,"SEATTLE CITY LIGHT",16868,"Yes","No Gas Utility","Mid-Rise Bldg",56.6,"No","1957","Measured / Known",4,0,"No",0,18,"Measured / Known",15320,"Estimated","Yes","No","No","No","No","0","No",NA,NA,"Yes","Parking Lot, Covered Lot","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full Survey"
"BLDG_0006","Multi-family Residence","Apartment Building (4 to 6 floors)","SEATTLE","KING","WA",98115,"Urban","Mid-Rise (4-6)",4300,"SEATTLE CITY LIGHT",16868,"Yes","No Gas Utility","Mid-Rise Bldg",56.6,"No","1987","Measured / Known",4,0,"No",1,9,"Measured / Known",13121,"Estimated","Yes","No","No","No","No","0","No",NA,NA,"Yes","Open Garage","Yes","Unknown","Unknown","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full Survey"
"BLDG_0007","Multi-family Residence","Apartment Building (3 or fewer floors)","SEATTLE","KING","WA",98105,"Urban","Low-Rise (1-3)",45663,"SEATTLE CITY LIGHT",16868,"Yes","No Gas Utility","Washington Low-Rise Bldg",1113.7,"Yes","1956","Measured / Known",2,0,"No",0,8,"Measured / Known",4650,"Estimated","Yes","No","No","No","No","0","No",NA,NA,"Yes","Closed Garage","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Unknown","Standard A Lamp",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full Survey"
"BLDG_0008","Multi-family Residence","Apartment Building (3 or fewer floors)","SEATTLE","KING","WA",98105,"Urban","Low-Rise (1-3)",45663,"SEATTLE CITY LIGHT",16868,"Yes","No Gas Utility","Washington Low-Rise Bldg",1113.7,"Yes","1986","Measured / Known",3,1,"No",0,19,"Measured / Known",10343,"Estimated","No","No","No","No","No","0","No",NA,NA,"Yes","Open Garage","Yes","LED","Integrated","8","LED","Unknown","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full Survey"
"BLDG_0009","Multi-family Residence","Apartment Building (4 to 6 floors)","SEATTLE","KING","WA",98102,"Urban","Mid-Rise (4-6)",4300,"SEATTLE CITY LIGHT",16868,"Yes","No Gas Utility","Mid-Rise Bldg",56.6,"No","2018","Measured / Known",4,0,"No",0,41,"Measured / Known",24904,"Estimated","Yes","No","No","No","No","1","Yes","Solar / PV System",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Full Survey"
"BLDG_0011","Multi-family Residence","Apartment Building (4 to 6 floors)","PORTLAND","MULTNOMAH","OR",97212,"Urban","Mid-Rise (4-6)",4300,"PACIFICORP (PACIFIC POWER)",14354,"No","NW NATURAL GAS","Mid-Rise Bldg",56.6,"No","2017","Measured / Known",6,1,"No",0,68,"Measured / Known",78600,"Estimated","No","No","No","No","No","1","No",NA,NA,"Yes","Closed Garage","Yes","Fluorescent","T-8","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Fluorescent","T-8",16,"LED","Standard A Lamp","7","LED","Integrated",5,NA,NA,NA,NA,NA,NA,"Full Survey"
