"Building_ID","Wall_Type","Wall_Type_Other","Wall_Sub_Type","Wall_Sub_Type_Other","Wall_area_(sq_ft)","Data_Collection_Type"
"BLDG_0001","Framed 2x4",NA,NA,NA,"Unknown","Full Survey"
"BLDG_0002","Structural Steel",NA,NA,NA,"57800","Full Survey"
"BLDG_0003","Framed 2x6",NA,NA,NA,"15776","Full Survey"
"BLDG_0004","Framed 2x6",NA,NA,NA,"40000","Partial/Remote Survey"
"BLDG_0004","ICF",NA,NA,NA,"13000","Partial/Remote Survey"
"BLDG_0005","Framed 2x4",NA,NA,NA,"8608","Full Survey"
"BLDG_0006","Framed 2x4",NA,NA,NA,"6000","Full Survey"
"BLDG_0007","Framed 2x4",NA,NA,NA,"3040","Full Survey"
"BLDG_0008","Framed 2x4",NA,NA,NA,"6425","Full Survey"
"BLDG_0009","Framed 2x6",NA,NA,NA,"18919.5","Full Survey"
"BLDG_0011","Framed 2x6",NA,NA,NA,"Unknown","Full Survey"
"BLDG_0012","Framed 2x6",NA,NA,NA,"Unknown","Partial/Remote Survey"
"BLDG_0013","Framed 2x6",NA,NA,NA,"12000","Full Survey"
"BLDG_0014","Structural Steel",NA,NA,NA,"14760","Full Survey"
"BLDG_0015","Framed 2x4",NA,NA,NA,"22000","Partial/Remote Survey"
"BLDG_0017","Structural Steel",NA,NA,NA,"103032","Full Survey"
"BLDG_0018","Masonry",NA,"Brick",NA,"Unknown","Partial/Remote Survey"
"BLDG_0019","Framed 2x4",NA,NA,NA,"61000","Partial/Remote Survey"
"BLDG_0019","ICF",NA,NA,NA,"12000","Partial/Remote Survey"
"BLDG_0021","Masonry",NA,"Brick",NA,"15616","Full Survey"
"BLDG_0023","Other","2x4 or 2x6",NA,NA,"78500","Partial/Remote Survey"
"BLDG_0024","Framed 2x4",NA,NA,NA,"Unknown","Partial/Remote Survey"
"BLDG_0025","Framed 2x6",NA,NA,NA,"3840","Partial/Remote Survey"
"BLDG_0026","Framed 2x6",NA,NA,NA,"8415","Partial/Remote Survey"
"BLDG_0027","Other","Suspect wood framing of unknown size",NA,NA,"14000","Partial/Remote Survey"
"BLDG_0028","Framed 2x6",NA,NA,NA,"12960","Partial/Remote Survey"
"BLDG_0029","Structural Steel",NA,NA,NA,"51840","Partial/Remote Survey"
"BLDG_0030","Framed 2x6",NA,NA,NA,"9600","Partial/Remote Survey"
"BLDG_0031","Framed 2x4",NA,NA,NA,"9600","Partial/Remote Survey"
"BLDG_0032","Framed 2x4",NA,NA,NA,"22500","Partial/Remote Survey"
"BLDG_0033","Framed 2x4",NA,NA,NA,"3876","Partial/Remote Survey"
"BLDG_0034","Framed 2x4",NA,NA,NA,"9000","Partial/Remote Survey"
"BLDG_0035","Framed 2x6",NA,NA,NA,"126720","Partial/Remote Survey"
"BLDG_0036","Framed 2x6",NA,NA,NA,"32000","Partial/Remote Survey"
"BLDG_0037","Other","Could be brick,  but don’t know definitively",NA,NA,"26000","Partial/Remote Survey"
