"Building_ID","Common Areas Have Hot Water","Tenant Units Have Water Heating Equipment","COMMON Fossil Fuel Condensing Boiler","COMMON Fossil Fuel Non-Condensing Boiler","COMMON Electric Resistance Boiler","COMMON Unknown Boiler","COMMON Fossil Fuel Condensing Storage","COMMON Fossil Fuel Non-Condensing Storage","COMMON Electric Resistance Storage","COMMON Unknown Storage","COMMON Fossil Fuel Condensing Instantaneous","COMMON Electric Resistance Instantaneous","COMMON Converter/Indirect Water Heater","COMMON Unknown Water Heating","TENANT Fossil Fuel Condensing Boiler","TENANT Fossil Fuel Non-Condensing Boiler","TENANT Electric Resistance Boiler","TENANT Unknown Boiler","TENANT Fossil Fuel Condensing Storage","TENANT Fossil Fuel Non-Condensing Storage","TENANT Electric Resistance Storage","TENANT Unknown Storage","TENANT Fossil Fuel Condensing Instantaneous","TENANT Electric Resistance Instantaneous","TENANT Converter/Indirect Water Heater","TENANT Unknown Water Heating","Hot Water for Common Laundry","Hot Water for Common Bathrooms","Hot Water for Common Kitchens","Hot Water for Other Common Spaces","Other Common Spaces with Hot Water","Common Space has Radiators","Common Space has Evidence of Natural Gas Service","Common Space Natural Gas Service Evidence","Common Space has Evidence of Radiant Floor Heating","Tenant Space has Radiators","Tenant Space has Evidence of Natural Gas Service","Tenant Space Natural Gas Service Evidence","Tenant Space has Evidence of Radiant Floor Heating","Remote Observation - Has Evidence of Natural Gas Service","Remote Observation - Evidence of Natural Gas Service","Remote Observation - Evidence of Radiant Floor","Tenant In-Unit Water Heater Included","Data_Collection_Type"
"BLDG_0001","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0002","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0003","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0004","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Unknown","Yes","No","Unknown","No","Unknown","No","No","No","No","No","No","Unknown","No","No","No","Partial/Remote Survey"
"BLDG_0005","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0006","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","Yes","Full Survey"
"BLDG_0007","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","Yes","Full Survey"
"BLDG_0008","Unknown","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","Yes","Full Survey"
"BLDG_0009","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","No","Full Survey"
"BLDG_0011","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Unknown","Unknown","Unknown","No","No","No","No","No","No","No","No","No","No","Yes","Full Survey"
