"Building_ID","Window_Type","QTY_same_size_and_type","Window_Height_(in)","Window_Width_(in)","Window_Area_(sq_in)","Number_of_windows_facing_North","Number_of_windows_facing_South","Number_of_windows_facing_East","Number_of_windows_facing_West","Number_of_windows_facing_Northeast","Number_of_windows_facing_Northwest","Number_of_windows_facing_Southeast","Number_of_windows_facing_Southwest","Number_of_windows_facing_Unknown","Data_Collection_Type"
"BLDG_0001","Curtain Wall","60","58","36","2088",18,16,8,18,0,0,0,0,"0","Full Survey"
"BLDG_0002","Punched Opening","355","72","36","2592",0,0,0,0,105,43,102,105,"0","Full Survey"
"BLDG_0002","Punched Opening","442","60","12","720",0,0,0,0,161,105,98,78,"0","Full Survey"
"BLDG_0002","Punched Opening","442","12","12","144",0,0,0,0,161,105,98,78,"0","Full Survey"
"BLDG_0002","Punched Opening","346","72","12","864",0,0,0,0,98,105,78,65,"0","Full Survey"
"BLDG_0002","Punched Opening","39","60","30","1800",0,0,0,0,0,0,39,0,"0","Full Survey"
"BLDG_0002","Punched Opening","78","58","36","2088",0,0,0,0,0,0,78,0,"0","Full Survey"
"BLDG_0002","Punched Opening","26","50","12","600",0,0,0,0,0,0,26,0,"0","Full Survey"
"BLDG_0002","Punched Opening","13","58","12","696",0,0,0,0,0,0,13,0,"0","Full Survey"
"BLDG_0002","Punched Opening","15","58","18","1044",0,0,0,0,0,0,15,0,"0","Full Survey"
"BLDG_0002","Punched Opening","39","12","30","360",0,0,0,0,0,0,39,0,"0","Full Survey"
"BLDG_0002","Punched Opening","26","12","24","288",0,0,0,0,0,0,0,26,"0","Full Survey"
"BLDG_0002","Punched Opening","15","72","24","1728",0,0,0,0,15,0,0,0,"0","Full Survey"
"BLDG_0003","Punched Opening","28","64","118","7552",6,6,8,8,0,0,0,0,"0","Full Survey"
"BLDG_0003","Punched Opening","37","45","88","3960",14,15,0,8,0,0,0,0,"0","Full Survey"
"BLDG_0003","Punched Opening","16","45","28","1260",0,0,8,8,0,0,0,0,"0","Full Survey"
"BLDG_0003","Punched Opening","8","45","58","2610",0,0,8,0,0,0,0,0,"0","Full Survey"
"BLDG_0003","Punched Opening","24","45","16","720",8,8,4,4,0,0,0,0,"0","Full Survey"
"BLDG_0003","Punched Opening","3","54","32","1728",0,0,3,0,0,0,0,0,"0","Full Survey"
"BLDG_0003","Punched Opening","6","54","9","486",0,0,6,0,0,0,0,0,"0","Full Survey"
"BLDG_0003","Punched Opening","13","54","32","1728",0,0,0,13,0,0,0,0,"0","Full Survey"
"BLDG_0003","Punched Opening","2","96","9","864",0,0,2,0,0,0,0,0,"0","Full Survey"
"BLDG_0004","Punched Opening","28","96","40","3840",0,0,14,14,0,0,0,0,"0","Partial/Remote Survey"
