"SiteID","Mechanical_ID","Ventilation_Grade","Ventilation_Working","Ventilation_Controls","Ventilation_Use"
"SITE_1","MECH_161324","Builder Grade","Yes","On/off","0"
"SITE_1","MECH_62540","Builder Grade","Yes","On/off","0"
"SITE_1","MECH_141250","Builder Grade","Yes","Timer","0"
"SITE_1","MECH_53629","Builder Grade","Yes","Timer","1"
"SITE_10","MECH_21620","Builder Grade","Yes","On/off","0"
"SITE_100","MECH_172794","Panasonic or equivalent","Yes","Timer","1"
"SITE_100","MECH_35403","Panasonic or equivalent","Yes","On/off","1"
"SITE_100","MECH_121530","Builder Grade","Yes","On/off","0"
"SITE_100","MECH_132404","Panasonic or equivalent","Yes","On/off","0"
"SITE_1000","MECH_21308","Builder Grade","Yes","On/off","0"
"SITE_1000","MECH_81079","Panasonic or equivalent","Yes","On/off","0"
"SITE_1000","MECH_101447","Builder Grade","Yes","On/off","0"
"SITE_1000","MECH_93725","Panasonic or equivalent","Yes","On/off","0"
"SITE_1000","MECH_93725","Builder Grade","Yes","On/off","0"
"SITE_1001","MECH_52093","Builder Grade","Yes","On/off","1"
"SITE_1001","MECH_172751","Builder Grade","Yes","On/off","0.5"
"SITE_1001","MECH_170149","Builder Grade","Yes","On/off","0.1"
"SITE_1001","MECH_67857","Builder Grade","Yes","On/off","0.1"
"SITE_1003","MECH_132300","Builder Grade","Yes","On/off","0.02"
"SITE_1003","MECH_78074","Builder Grade","Yes","On/off","0.2"
"SITE_1003","MECH_99726","Builder Grade","Yes","On/off","0.1"
"SITE_1003","MECH_99726","Builder Grade","Yes","On/off","0.1"
"SITE_1003","MECH_101322","Builder Grade","Yes","On/off","0.2"
"SITE_1003","MECH_106717","Builder Grade","Yes","On/off","0.1"
"SITE_1003","MECH_103289","Builder Grade","Yes","On/off","0.2"
"SITE_1004","MECH_64241","Builder Grade","Yes","On/off","0"
"SITE_1004","MECH_147178","Builder Grade","Yes","On/off","0"
"SITE_1004","MECH_78118","Builder Grade","Yes","On/off","0"
"SITE_1004","MECH_113929","Builder Grade","Yes","On/off","0"
"SITE_1005","MECH_129440","Builder Grade","Yes","On/off","1"
"SITE_1005","MECH_97391","Builder Grade","Yes","On/off","0.5"
"SITE_1006","MECH_79065","Builder Grade","Yes","On/off","1"
"SITE_1006","MECH_42342","Builder Grade","Yes","On/off","1"
"SITE_1007","MECH_34370","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1007","MECH_105346","Panasonic or equivalent","Yes","On/off","0"
"SITE_1007","MECH_159606","Builder Grade","Yes","On/off","0"
"SITE_1008","MECH_126285","Builder Grade","Yes","On/off","0"
"SITE_1008","MECH_158834","Builder Grade","Yes","On/off","0"
"SITE_1009","MECH_146326","Builder Grade","Yes","On/off","0.1"
"SITE_101","MECH_145450","Builder Grade","Yes","On/off","1"
"SITE_101","MECH_155778","Builder Grade","Yes","Timer","1"
"SITE_1011","MECH_171288","Builder Grade","Yes","On/off","0"
"SITE_1011","MECH_91777","Builder Grade","Yes","On/off","0.5"
"SITE_1012","MECH_74667","Builder Grade","Yes","On/off","0.75"
"SITE_1013","MECH_149101","Builder Grade","Yes","On/off","1"
"SITE_1014","MECH_46925","Builder Grade","Yes","On/off","0.5"
"SITE_1014","MECH_174215","Builder Grade","Yes","On/off","0"
"SITE_1014","MECH_16595","Builder Grade","Yes","On/off","0"
"SITE_1014","MECH_92838","Builder Grade","Yes","On/off","0"
"SITE_1015","MECH_21250","Panasonic or equivalent","Yes","Timer","0"
"SITE_1015","MECH_163811","Panasonic or equivalent","Yes","Timer","0.5"
"SITE_1015","MECH_163811","Panasonic or equivalent","Yes","Timer","0.17"
"SITE_1016","MECH_63042","Unknown","No","On/off","0"
"SITE_1016","MECH_83553","Panasonic or equivalent","Yes","Timer","0.14"
"SITE_1017","MECH_58048","Builder Grade","Yes","On/off","0.5"
"SITE_1018","MECH_125488","Builder Grade","Yes","On/off","0"
"SITE_1018","MECH_174005","Builder Grade","Yes","On/off","0.5"
"SITE_1019","MECH_112974","Panasonic or equivalent","Yes","On/off","0.66"
"SITE_1019","MECH_112974","Builder Grade","Yes","On/off","1"
"SITE_1019","MECH_22549","Panasonic or equivalent","Yes","On/off","0.5"
"SITE_1019","MECH_47909","Panasonic or equivalent","Yes","On/off","0.09"
"SITE_1019","MECH_126727","Panasonic or equivalent","Yes","On/off","0"
"SITE_102","MECH_148705","Builder Grade","Yes","On/off","0.25"
"SITE_102","MECH_144848","Builder Grade","Yes","On/off","0"
"SITE_1020","MECH_105525","Builder Grade","Yes","On/off","0.25"
"SITE_1020","MECH_9235","Builder Grade","Yes","On/off","0.5"
