"SiteID","Mechanical_ID","Make","Model","Horsepower","Control_Type","Control_Type_Other"
"SITE_1003","MECH_131427","Grundfos","UP 26-99 F","0.166666667","Timer",NA
"SITE_1022","MECH_60981","Grundfos","UP15-10SU7P/TLC","0.04","Timer",NA
"SITE_1041","MECH_120052","Grundfos","UPS15-58FC","0.04","Other","controller"
"SITE_1047","MECH_94675","Grundfos","Unknown","Unknown","Timer",NA
"SITE_1047","MECH_2514","Grundfos","UPS 26-99FC","0.166666667","Always On",NA
"SITE_1060","MECH_112577","Grundfos","UP15-29SU","0.04","Unknown",NA
"SITE_108","MECH_167755","Unknown","Unknown","Unknown","Unknown",NA
"SITE_1091","MECH_149593","Grundfos","UP 15-10 B7/TLC","0.04","Timer",NA
"SITE_1092","MECH_103639","Grundfos","UP15-10SU7P/TLC","0.04","Always On",NA
"SITE_1093","MECH_30443","Grundfos","UPS15-58FC","0.04","Timer",NA
"SITE_1099","MECH_31880","Grundfos","59896343 P1","Unknown","Unknown",NA
"SITE_1111","MECH_25485","Grundfos","UP10-16BU/ATLC","0.0113987","Timer",NA
"SITE_1126","MECH_67687","Grundfos","UP 15-10 B5","0.04","Always On",NA
"SITE_1131","MECH_63355","Danfoss","Unknown","Unknown","Always On",NA
"SITE_1134","MECH_47328","Grundfos","59896155 P1","Unknown","Always On",NA
"SITE_1172","MECH_29919","Grundfos","Unknown","Unknown","Always On",NA
"SITE_1181","MECH_161361","Powerflo","PFWRC2017C1F","0.13","On-demand Push Button",NA
"SITE_1210","MECH_56402","Grundfos","UP10-16APM","0.0113987","Always On",NA
"SITE_1303","MECH_1669","Myers","SG102","Unknown","Unknown",NA
"SITE_1304","MECH_36145","Grundfos","UP10-16 A PM","0.0113987","Always On",NA
"SITE_1309","MECH_163393","Taco","Unknown","Unknown","Unknown",NA
"SITE_1310","MECH_148709","Taco","006-B4","Unknown","Unknown",NA
"SITE_1316","MECH_72938","Grundfos","UP15-10BUC7/TLC","0.04","Timer",NA
"SITE_1373","MECH_109705","Taco","006-BC4","0.025","Always On",NA
"SITE_1395","MECH_156278","Grundfos","UP15-18B5","0.04","Unknown",NA
"SITE_1410","MECH_114411","Taco","003-BC4","0.025","Always On",NA
"SITE_1420","MECH_146614","Taco","#006E3","Unknown","Unknown",NA
"SITE_1425","MECH_69016","Grundfos","UPS15-58FC","0.04","On-demand Push Button",NA
"SITE_1452","MECH_70325","Grundfos","#500800","0.5","Timer",NA
"SITE_1537","MECH_20393","Taco","006-BC4-PNP","0.25","Timer",NA
"SITE_1553","MECH_28641","Taco","006-1QB4","0.025","Always On",NA
"SITE_1560","MECH_59488","Taco","003-BC4-PNP","0.025","Timer",NA
"SITE_1579","MECH_137002","Wilo","Unknown","Unknown","Unknown",NA
"SITE_1617","MECH_81163","Taco","009-SF5","0.125","Other","Controlled electronically"
"SITE_1625","MECH_137977","Fasco","JB1R115NSW","0.1","Unknown",NA
"SITE_1634","MECH_118008","Challenger","Unknown","Unknown","Unknown",NA
"SITE_1647","MECH_15635","Watts","#500800","Unknown","Timer",NA
