SiteID,RoomID,Mechanical_ID,System_Type,Known_to_be_Variable_Speed,Provides_Heating,Provides_Cooling,Primary_Heating_System_SelfReport,Primary_Heating_System_Prescribed,Primary_Cooling_System_SelfReport,Primary_Cooling_System_Prescribed,Central_System_Number,Mini_Split_System_Number,Fuel,Distribution_Type,Mini_Split_Has_Ducts,Ducted_Mini_Split_Rooms_Served,Mini_Split_is_Multihead,Control_Type,Zones_Served,Zones_Served_Other,Make,Model,Model_Missing,Year_of_Manufacture,Serial_Number,Energy_Star_Label_Present,Cooling_Capacity_BTUh,SEER,SEER_is_Estimated,EER,EER_is_Estimated,Ignition_Type,Fuel_Valve_Type,Venting_Type,Heating_Size_kW,Heating_Size_kW_is_Est,Heating_Size_BTUh,Heating_Size_BTUh_is_Est,Baseboard_Length,Baseboard_Length_is_Est,HSPF,HSPF_is_Est,Single_Stage_Input_Heating_Capacity_BTUh,Single_Stage_Input_Heating_Capacity_BTUh_is_Est,Single_Stage_Output_Heating_Capacity_BTUh,Single_Stage_Output_Heating_Capacity_BTUh_is_Est,COP_or_AFUE,COP_or_AFUE_is_Est,High_Input_Heating_Capacity_BTUh,High_Input_Heating_Capacity_BTUh_is_Est,High_Output_Heating_Capacity_BTUh,High_Output_Heating_Capacity_BTUh_is_Est,High_Heating_Efficiency,High_Heating_Efficiency_is_Est,Low_Input_Heating_Capacity_BTUh,Low_Input_Heating_Capacity_BTUh_is_Est,Low_Output_Heating_Capacity_BTUh,Low_Output_Heating_Capacity_BTUh_is_Est,Low_Heating_Efficiency,Low_Heating_Efficiency_is_Est,Heat_Pump_Compressor_Works_in_Heating_Mode,Lockout_HeatPump_Heating_Temp_Determined,Lockout_HeatPump_Heating_Temp,Desuperheater_Present,System_on_same_Tstat_as_Heat_Pump,System_is_Backup_for_Heatpump,Fan_Type,Filter_Type,Dehumidifer_or_Economizer_Part_of_System,Economizer,Humidifier_Present,Equipment_Use,Equipment_Use_Frequency,Days_of_Use_Per_Year,WiFi_Capable,Fireplace_Type
SITE_1,ROOM_39531,MECH_73034,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Smart thermostat,Whole Home,NA,Coleman,ac3b048f1a,NA,Unknown,w0f6567451,NA,48000,13,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
SITE_1,ROOM_28473,MECH_110270,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Natural gas,NA,NA,NA,NA,On/off,NA,NA,Superior,ssdvr3530cnm,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,Standing pilot,Single Stage,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,23000,Known or from Nameplate,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Factory Built Insert
SITE_1,ROOM_16359,MECH_39139,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Natural gas,Ducts / Forced Air,NA,NA,NA,Smart thermostat,Whole Home,NA,Coleman,unknown,NA,Unknown,unknown,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,Unknown,Unknown,Unknown,Unknown,0.8,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,PSC,Disposable thin,No,NA,No,NA,NA,NA,No,NA
SITE_10,ROOM_9249,MECH_49486,Baseboard,No,Yes,No,Yes,No,NA,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Analog,NA,NA,Cadet,X102,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Measured or Known,NA,NA,1,Measured or Known,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,Seldom (1-2x per month),NA,No,NA
SITE_10,ROOM_16318,MECH_101836,Window AC,No,No,Yes,NA,No,Yes,Yes,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,Frigidaire,FHWW153WBE,NA,Unknown,KK20710036,No,15100,Unknown,Unknown,11.8,Known or from Nameplate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,No,NA
SITE_10,ROOM_8751,MECH_118324,Portable AC,No,No,Yes,NA,No,Yes,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,DeLonghi,PAC RAN125HPEKC 3A,NA,Unknown,Unknown,No,12500,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,No,NA
SITE_10,ROOM_32539,MECH_155534,Fireplace or Stove,No,Yes,No,No,No,NA,No,NA,NA,Wood (cord),NA,NA,NA,NA,On/off,NA,NA,Unknown,Unknown,No nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,"Manual (matches, lighter, etc)",Unknown,Atmospheric,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorative,Seldom (1-2x per month),NA,No,Open Hearth
SITE_10,ROOM_21851,MECH_25440,Furnace,No,Yes,No,Yes,Yes,NA,No,Central System #1,NA,Natural gas,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Goodman,GDS80703AMA,NA,Unknown,0601745361,NA,NA,NA,NA,NA,NA,Intermittent ignition,Single Stage,Draft Assist,NA,NA,Unknown,Unknown,NA,NA,NA,NA,70000,Known or from Nameplate,56000,Known or from Nameplate,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Unknown,Disposable thin,No,NA,No,NA,NA,NA,No,NA
SITE_100,ROOM_41134,MECH_33401,Portable AC,No,No,Yes,NA,No,No,No,NA,NA,Electric,NA,NA,NA,NA,Manual thermostat - Digital,NA,NA,Comfort-Cure,PSH-141D,NA,Unknown,340E2776705182902H0323,No,10000,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,No,NA
SITE_100,ROOM_40981,MECH_45999,Central AC,No,No,Yes,NA,No,Yes,Yes,Central System #1,NA,Electric,Ducts / Forced Air,NA,NA,NA,Programmable thermostat,Whole Home,NA,Bryant,280ANV048000EAAA,NA,Unknown,1416E16450,NA,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
