SiteID,Mechanical_ID,System_Type,Ventilation_Controls
SITE_1,MECH_96171,Small Capacity Exhaust,On/off
SITE_10,MECH_55068,Small Capacity Exhaust,Manual thermostat - Analog
SITE_100,MECH_14893,Small Capacity Exhaust,On/off
SITE_1000,MECH_53680,Recirculating Only,On/off
SITE_1001,MECH_95709,Recirculating Only,On/off
SITE_1002,MECH_14437,High Capacity Exhaust,On/off
SITE_1003,MECH_66872,Small Capacity Exhaust,Timer
SITE_1004,MECH_70328,Recirculating Only,On/off
SITE_1006,MECH_148624,High Capacity Exhaust,On/off
SITE_1007,MECH_151396,Small Capacity Exhaust,On/off
SITE_1008,MECH_5351,High Capacity Exhaust,On/off
SITE_1009,MECH_51790,High Capacity Exhaust,On/off
SITE_101,MECH_74790,Small Capacity Exhaust,On/off
SITE_1010,MECH_116520,Recirculating Only,On/off
SITE_1011,MECH_11009,Recirculating Only,On/off
SITE_1012,MECH_74085,High Capacity Exhaust,On/off
SITE_1013,MECH_125782,Recirculating Only,On/off
SITE_1014,MECH_41525,Small Capacity Exhaust,On/off
SITE_1015,MECH_38085,Recirculating Only,On/off
SITE_1016,MECH_150785,Recirculating Only,On/off
SITE_1017,MECH_11762,Recirculating Only,On/off
SITE_1018,MECH_104378,Recirculating Only,On/off
SITE_1019,MECH_126446,Recirculating Only,On/off
SITE_1019,MECH_126446,Small Capacity Exhaust,On/off
SITE_102,MECH_2625,Small Capacity Exhaust,On/off
SITE_1020,MECH_22783,Small Capacity Exhaust,On/off
SITE_1021,MECH_67448,Unknown,On/off
SITE_1022,MECH_161292,High Capacity Exhaust,On/off
SITE_1023,MECH_123303,Small Capacity Exhaust,On/off
SITE_1025,MECH_88355,Recirculating Only,On/off
SITE_1028,MECH_87515,Recirculating Only,On/off
SITE_1029,MECH_156669,Small Capacity Exhaust,On/off
SITE_103,MECH_47326,Small Capacity Exhaust,On/off
SITE_1030,MECH_60627,Small Capacity Exhaust,On/off
SITE_1031,MECH_51925,Recirculating Only,On/off
SITE_1032,MECH_73194,High Capacity Exhaust,On/off
SITE_1033,MECH_54131,Small Capacity Exhaust,Manual thermostat - Analog
SITE_1034,MECH_25388,Small Capacity Exhaust,On/off
SITE_1036,MECH_63284,Small Capacity Exhaust,On/off
SITE_1038,MECH_42130,Recirculating Only,On/off
SITE_1038,MECH_42130,Small Capacity Exhaust,On/off
SITE_1039,MECH_92331,Small Capacity Exhaust,On/off
SITE_104,MECH_136703,Small Capacity Exhaust,On/off
SITE_1040,MECH_1991,Small Capacity Exhaust,On/off
SITE_1041,MECH_88573,Small Capacity Exhaust,On/off
SITE_1042,MECH_139745,Small Capacity Exhaust,On/off
SITE_1043,MECH_146375,High Capacity Exhaust,On/off
SITE_1045,MECH_148625,Unknown,On/off
SITE_1048,MECH_127857,Recirculating Only,On/off
SITE_1050,MECH_85906,High Capacity Exhaust,On/off
SITE_1052,MECH_114281,Small Capacity Exhaust,On/off
SITE_1053,MECH_110356,Recirculating Only,On/off
SITE_1054,MECH_165104,High Capacity Exhaust,Manual thermostat - Analog
SITE_1055,MECH_115015,Small Capacity Exhaust,On/off
SITE_1056,MECH_12916,Recirculating Only,On/off
SITE_1056,MECH_97871,Recirculating Only,On/off
SITE_1058,MECH_74807,Recirculating Only,Manual thermostat - Analog
SITE_1059,MECH_89145,Small Capacity Exhaust,On/off
SITE_1061,MECH_137122,Small Capacity Exhaust,On/off
SITE_1063,MECH_122162,Recirculating Only,On/off
SITE_1064,MECH_158616,Small Capacity Exhaust,On/off
SITE_1065,MECH_28818,Recirculating Only,On/off
SITE_1066,MECH_154712,High Capacity Exhaust,On/off
SITE_1068,MECH_148640,Small Capacity Exhaust,On/off
SITE_1069,MECH_89661,Small Capacity Exhaust,On/off
SITE_107,MECH_72665,Small Capacity Exhaust,On/off
SITE_107,MECH_52001,Small Capacity Exhaust,On/off
SITE_1070,MECH_149489,Small Capacity Exhaust,On/off
SITE_1072,MECH_86253,Unknown,On/off
SITE_1073,MECH_44957,High Capacity Exhaust,On/off
SITE_1074,MECH_158908,Small Capacity Exhaust,On/off
SITE_1076,MECH_63639,High Capacity Exhaust,On/off
SITE_1078,MECH_155820,Small Capacity Exhaust,On/off
