"SiteID","Mechanical_ID","Technology_Description","Storage_Tankless","Fuel_Type","Make","Make_Other","Model","Water_Heater_Missing_Model_Reason","Size","Size_Is_Estimated","Year_Manufactured","Serial_Number","Wifi_Enabled","Serves_Whole_House","Location","Provided_by_Heating_System","Supplemental_Solar_Water_Heating","Capacity_BTUH","Capacity_BTUH_Is_Estimated","Capacity_kW","Capacity_kW_Is_Estimated","Water_Heater_Efficiency_Type","Water_Heater_Efficiency","Water_Heater_MEF","Tank_Wrap","Tank_Wrap_Thickness","Pipe_Wrap","Pipe_Wrap_Type","Pipe_Wrap_Type_Other","Pipe_Wrap_Length","Pipe_Wrap_Length_Is_Estimated","Pipe_Wrap_Thickness","Pipe_Wrap_Thickness_Is_Estimated","Circulator_Present","Space_Is_Conditioned","HPWH_Conditioned_Space_Size","Relation_to_Space_Heating_Unit","Air_Supply_From_Inside_House","HPWH_Ducting","Within_4_feet_of_a_drain","Drain_Type","Can_Exhaust_to_Garage_or_Get_Supply_Air_from_Home_Interior","In_A_Room_Greater_Than_1.000_Cubic_Feet","Eight_feet_of_Vertical_Space","HPWH_Current_Mode","HPWH_Port_Present","Indirect_Water_Heater_Fuel"
"SITE_1","MECH_5878","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","Unknown","PC39194525","No","Yes","Garage","No","No","40000","Measured or Known",NA,NA,"Unknown","0.58","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Same room","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_10","MECH_125531","Electric Resistance","Storage","Electric","Rheem",NA,"81VR52D",NA,"50","Measured or Known","Unknown","R 0688111265","No","Yes","Bedroom","Yes","No",NA,NA,"4","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","Yes",NA,NA,NA
"SITE_100","MECH_41791","Fossil Fuel Condensing","Tankless","Natural Gas","Rinnai",NA,"Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Yes","Garage","No","No","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Yes","Polyethylene Foam",NA,"8","Estimated","0.25","Estimated","Unknown","Unknown",NA,"Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Yes","Unknown",NA,NA,NA
"SITE_1000","MECH_10472","Fossil Fuel Non-Condensing","Storage","Natural Gas","Bradford White",NA,"RG250T6N",NA,"50","Measured or Known","Unknown","TL44210708","No","Yes","Garage","No","No","40000","Measured or Known",NA,NA,"Unknown","0.63","Unknown","No",NA,"Yes","Polyethylene Foam",NA,"7","Estimated","0.5","Estimated","No","No",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1001","MECH_159407","Fossil Fuel Condensing","Storage","Natural Gas","Rheem",NA,"PRO+G75-75N RH",NA,"75","Measured or Known","2014","RHLNM241410465","No","Yes","Garage","Unknown","No","75100","Measured or Known",NA,NA,"Unknown","0.67","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"Next to each other","Yes",NA,"No","Unknown","Yes","Yes","Yes",NA,NA,NA
"SITE_1002","MECH_163417","Electric Resistance","Storage","Electric","Rheem",NA,"XE30S0GST46UT",NA,"30","Measured or Known","2022","M20220GG88","No","Yes","Kitchen","No","Unknown",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","No",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1002","MECH_106977","Electric Resistance","Storage","Electric","Rheem",NA,"XE30S0GST45U1",NA,"30","Measured or Known","Unknown","M20220GG88","No","Yes","Outbuilding / Addition","No","No",NA,NA,"4.5","Measured or Known","Unknown","Unknown","Unknown","No",NA,"Unknown","Unknown",NA,NA,NA,NA,NA,"No","Yes",NA,"None of the above","Yes",NA,"No","Unknown","No","Yes","No",NA,NA,NA
"SITE_1003","MECH_131427","Electric Resistance","Storage","Electric","Bradford White",NA,"M250T6DS-1NCWW",NA,"50","Measured or Known","Unknown","#HE150111295","No","Unknown","Mechanical","Unknown","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.9","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Same room","Yes",NA,"Yes","Floor drain","Yes","No","Yes",NA,NA,NA
"SITE_1003","MECH_36623","Electric Resistance","Storage","Electric","Bradford White",NA,"M250T6DS-1NCWW",NA,"50","Measured or Known","Unknown","#HE15011272","No","Unknown","Mechanical","Unknown","No",NA,NA,"4.5","Measured or Known","Energy Factor (EF)","0.9","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"Yes – captured with previous water heater","Yes",NA,"Next to each other","Yes",NA,"Yes","Floor drain","Yes","No","Yes",NA,NA,NA
"SITE_1004","MECH_73243","Fossil Fuel Non-Condensing","Storage","Natural Gas","Rheem",NA,"PROG50-38N RH60",NA,"50","Measured or Known","2015","M201502917","No","Yes","Garage","Yes","No","38000","Measured or Known",NA,NA,"Unknown","Unknown","Unknown","No",NA,"No",NA,NA,NA,NA,NA,NA,"No","No",NA,"Next to each other","No",NA,"Unknown","Unknown","No","Yes","Yes",NA,NA,NA
