"SiteID","Mechanical_ID","Make","Model","Well_Pump_Missing_Model_Reason","Well_Pump_Missing_Model_Reason_Other","Vintage","Serial","Wifi_Enabled","Well_Pump_Controlled_by_VSD","Motor_Input","Units_of_Motor_Input"
"SITE_1002","MECH_26048","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","No","Unknown","1.5","HP"
"SITE_1007","MECH_4493","Grundfos","Unknown",NA,NA,"Unknown","Unknown","No","Unknown","Unknown","Unknown"
"SITE_1010","MECH_48695","Unknown","Unknown","NAMEPLATE IS INACCESSIBLE",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1010","MECH_159455","Everbilt","Dp550c",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1013","MECH_126263","Franklin Electric","7JS1554-3W230",NA,NA,"Unknown","Unknown","Unknown","Unknown","1.5","HP"
"SITE_1020","MECH_117407","Franklin Electric","#2801054915",NA,NA,"Unknown","Unknown","No","Unknown","0.5","HP"
"SITE_1023","MECH_161431","Unknown","18GS10412",NA,NA,"Unknown","Unknown","No","Unknown","1","HP"
"SITE_1031","MECH_62812","Pentair","M10432/100C313",NA,NA,"Unknown","Unknown","No","Yes","1","HP"
"SITE_1035","MECH_171369","Webtrol","Unknown",NA,NA,"Unknown","Unknown","No","Unknown","Unknown","Unknown"
"SITE_1035","MECH_23413","Unknown","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1050","MECH_165060","Unknown","Unknown","NAMEPLATE IS INACCESSIBLE",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1055","MECH_117210","Franklin Electric","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1056","MECH_3850","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_1060","MECH_34879","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1067","MECH_107794","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","No","Unknown","Unknown","Unknown"
"SITE_1077","MECH_92650","SPMA","9K427F",NA,NA,"Unknown","Unknown","No","No","0.33","HP"
"SITE_1077","MECH_98266","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","No","No","0.5","HP"
"SITE_1091","MECH_72772","Wellxtrol","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1097","MECH_75715","FPS","10FV07P4-3W230",NA,NA,"Unknown","Unknown","No","Unknown","0.75","HP"
"SITE_1099","MECH_238","Liberty Pumps","#P372LE51",NA,NA,"Unknown","B1084995","No","Unknown","0.5","HP"
"SITE_1106","MECH_152560","Franklin Electric","SubDrive75",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1112","MECH_57776","Franklin Electric","#2343159204",NA,NA,"Unknown","Unknown","No","Unknown","2","HP"
"SITE_1112","MECH_127451","Unknown","Unknown","NAMEPLATE IS ILLEGIBLE",NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1112","MECH_25335","Unknown","Unknown","NAMEPLATE IS ILLEGIBLE",NA,"Unknown","Unknown","Unknown","No","Unknown","Unknown"
"SITE_1128","MECH_100828","Square D","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","0.5","HP"
"SITE_1140","MECH_3857","Franklin Electric","#2823028310",NA,NA,"Unknown","Unknown","No","Unknown","3","HP"
"SITE_1140","MECH_4653","Central Machinery","ITEM 02955",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1153","MECH_11337","Franklin Electric","#2801084915",NA,NA,"Unknown","Unknown","Unknown","Yes","1","HP"
"SITE_1159","MECH_129082","Jacuzzi","5RM2C-S/A",NA,NA,"Unknown","SWD185409","No","No","0.5","HP"
"SITE_1169","MECH_56957","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","1.5","HP"
"SITE_1179","MECH_174964","Amtrol","WX-252",NA,NA,"2007","Unknown","No","Unknown","1","HP"
"SITE_1181","MECH_47932","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","No","Unknown","1","HP"
"SITE_1188","MECH_134640","Franklin Electric","#2801074915",NA,NA,"Unknown","Unknown","No","Unknown","0.75","HP"
"SITE_1190","MECH_30022","Goulds","3AS20",NA,NA,"Unknown","Unknown","No","Unknown","Unknown","Unknown"
"SITE_12","MECH_127693","Liberty Pumps","ALM-2",NA,NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_1203","MECH_59971","Unknown","Unknown","Unknown",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_1205","MECH_138259","Red Lion","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_1216","MECH_61430","Franklin Electric","2345149203G",NA,NA,"Unknown","Unknown","No","Unknown","1.5","HP"
"SITE_1224","MECH_33375","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Unknown","HP"
"SITE_1227","MECH_39185","Centripro","CB07412",NA,NA,"2017","Unknown","No","Unknown","0.55","kW"
"SITE_1230","MECH_117073","Franklin Electric","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","0.37","kW"
"SITE_1235","MECH_53313","Grundfos","A9010027",NA,NA,"Unknown","#10002682","No","No","3","HP"
"SITE_1240","MECH_116879","Franklin Electric","5870204150D",NA,NA,"Unknown","Unknown","No","Unknown","4.6","kW"
"SITE_1241","MECH_150858","Zoeller","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","1","HP"
"SITE_1248","MECH_67900","Grundfos","CU 301",NA,NA,"Unknown","#5880","No","No","0.33","HP"
"SITE_1251","MECH_68964","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_1258","MECH_156614","Goulds","C48K2DB11A4",NA,NA,"Unknown","Unknown","No","No","0.75","HP"
"SITE_1261","MECH_4689","Water worker","Unknown",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_127","MECH_155404","Flotec","FP4332-08",NA,NA,"Unknown","Unknown","No","No","1","HP"
"SITE_1280","MECH_123917","Grundfos","MS4000",NA,NA,"Unknown","Unknown","No","Unknown","2","HP"
"SITE_1283","MECH_161604","United","Unknown",NA,NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_1285","MECH_85642","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","0.75","HP"
"SITE_1293","MECH_79601","Franklin Electric","#2823028310",NA,NA,"1999","Unknown","No","No","3","HP"
"SITE_1295","MECH_170159","WELLXTROL","WX255",NA,NA,"2012","036-01812-00775","No","No","Unknown","Unknown"
"SITE_1300","MECH_114127","US Motors","C55CXKTC-5113",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1310","MECH_161990","Jet-rite 2","PJR 25",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1332","MECH_93984","Unknown","5510-22",NA,NA,"Unknown","Unknown","No","No","1","HP"
"SITE_1360","MECH_128178","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","1.5","HP"
"SITE_137","MECH_69313","Amtrol","WX255",NA,NA,"2011","036-25811-00860","No","Unknown","1","HP"
"SITE_1370","MECH_97341","Unknown","Unknown","NO NAMEPLATE",NA,"Unknown","Unknown","No","No","Unknown","Unknown"
"SITE_1373","MECH_97979","Franklin Electric","#2823008110",NA,NA,"Unknown","Unknown","No","Unknown","1.5","HP"
"SITE_1379","MECH_141465","Franklin Electric","#2823008110",NA,NA,"Unknown","Unknown","No","No","1.5","HP"
"SITE_1381","MECH_89819","Franklin Electric","2801084915",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1411","MECH_50538","Franklin Electric","2823018310",NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1418","MECH_71467","Berkeley","D7",NA,NA,"Unknown","#7141034","No","No","Unknown","Unknown"
