"SiteID","Outbuilding_Description","Outbuilding_Type","Is_Outbuilding_Occupied","Outbuilding_Occupants","Outbuilding_Sq_Ft","Outbuilding_Sq_Ft_is_Estimated","Outbuilding_Heating_Fuel_Type","Outbuilding_Heating_Fuel_Type_-_Other","Is_Outbuilding_Attached","Outbuilding_Meter_Shared_with_Home","Outbuilding_Meter_Shared_Type","Outbuilding_Meter_Shared_Type_-_Other"
"SITE_1002","Guesthouse","Other House","No",NA,"350","Estimated","Propane",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1002","Barn","Barn","No",NA,"1400","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric, Propane",NA
"SITE_1002","Garage","Garage","No",NA,"1200","Measured or Known","Electric",NA,"No","Meter shared with main residence","Propane, Electric",NA
"SITE_1004","Shop","Shop","No",NA,"1040","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric, Gas",NA
"SITE_1007","Shop","Shop","No",NA,"660","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1008","Garage","Garage","No",NA,"800","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_101","Detached garage","Garage","No",NA,"400","Measured or Known","Unknown",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1012","Shop","Shop","No",NA,"1344","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1012","Shed","Shed","No",NA,"50","Measured or Known","None",NA,"No","No meter/No power",NA,NA
"SITE_1013","Shop","Shop","No",NA,"1700","Estimated","Propane",NA,"No","Meter shared with main residence","Electric, Propane",NA
"SITE_1013","Garage/wood shop","Mixed Use","Yes","1","1000","Estimated","Propane",NA,"No","Meter shared with main residence","Electric, Propane",NA
"SITE_1014","Shed","Shed","No",NA,"50","Estimated","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1017","Barn","Barn","No",NA,"400","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1018","Detached garage","Garage","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1022","Shed","Shed","No",NA,"68","Measured or Known","Electric",NA,"Yes","Meter shared with main residence","Electric",NA
"SITE_1023","Studio","Other","No",NA,"300","Measured or Known","Electric",NA,"No","Own meter",NA,NA
"SITE_1023","Barn","Barn","No",NA,"3090","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1026","Shed","Shed","No",NA,"96","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1028","Shop","Shop","Yes","3","500","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1028","Garage","Garage","No",NA,"400","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1029","Garage","Garage","No",NA,"750","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1029","Shed","Shed","No",NA,"100","Estimated","None",NA,"No","No meter/No power",NA,NA
"SITE_103","Shed","Shed","No",NA,"180","Measured or Known","None",NA,"No","Meter shared with main residence","Electric",NA
"SITE_103","Tower","Other","No",NA,"300","Measured or Known","None",NA,"No","Meter shared with main residence","Electric",NA
"SITE_103","Old house","Other House","No",NA,"2100","Measured or Known","Electric",NA,"No","Own meter",NA,NA
"SITE_1032","Detached","Other","No",NA,"300","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1033","Shed","Shed","No",NA,"90","Estimated","None",NA,"No","No meter/No power",NA,NA
"SITE_1034","Shed","Shed","No",NA,"80","Estimated","None",NA,"No","No meter/No power",NA,NA
"SITE_1034","Shop","Shop","No",NA,"900","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1037","Chicken house","Coop","No",NA,"64","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1037","Shed 1","Shed","No",NA,"80","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1037","Shed 2","Shed","No",NA,"80","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1037","Shed 3","Shed","No",NA,"80","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1040","Detached garage","Garage","No",NA,"600","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1042","Detached","Other","No",NA,"600","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1044","Garage","Garage","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1044","Utility shed","Shed","No",NA,"Unknown",NA,"Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1045","Shed","Shed","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1045","Garage","Garage","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1048","Shed 2","Shed","No",NA,"336","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1048","Shed 1","Shed","No",NA,"192","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1048","Shed 3","Shed","No",NA,"1000","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_105","Poolhouse","Pool house","No",NA,"200","Measured or Known","Electric",NA,"No","Own meter",NA,NA
"SITE_1050","Barn + apt unit","Barn","Yes","1","1200","Estimated","Electric",NA,"No","Own meter",NA,NA
"SITE_1051","Garage","Garage","No",NA,"450","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1054","Mini cabin","Cabin","Yes","1","Unknown","Estimated","Electric",NA,"No","Own meter",NA,NA
"SITE_1055","Garage","Garage","No",NA,"200","Measured or Known","Wood",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1056","Garage","Garage","No",NA,"720","Measured or Known","Wood",NA,"No","Own meter",NA,NA
"SITE_106","Shop","Shop","No",NA,"1500","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_106","Machine shed","Shed","No",NA,"560","Measured or Known","Wood",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1060","Shed","Shed","No",NA,"96","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1060","Fort","Other","No",NA,"96","Estimated","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1061","Detached","Other","No",NA,"736","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1061","Greenhouse","Greenhouse","No",NA,"36","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1063","She’d","Shed","No",NA,"96","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1065","Sauna","Other","No",NA,"40","Estimated","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1066","Garage","Garage","No",NA,"600","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1067","Shop","Shop","No",NA,"960","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1068","Detatched garage","Garage","No",NA,"400","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1072","Shed","Shed","No",NA,"Unknown",NA,"Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1073","Shed 1","Shed","No",NA,"100","Estimated","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1073","Shed 2","Shed","No",NA,"100","Estimated","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1074","Boat garage","Boat house","No",NA,"480","Measured or Known","Wood",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1074","Car garage + art studio","Garage","No",NA,"800","Measured or Known","Propane",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1076","Shed","Shed","No",NA,"360","Estimated","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1077","Barn","Barn","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1079","Shed 1","Shed","No",NA,"60","Estimated","None",NA,"No","No meter/No power",NA,NA
"SITE_1079","Shed 2","Shed","No",NA,"96","Estimated","None",NA,"No","No meter/No power",NA,NA
"SITE_1079","Detached garage","Garage","No",NA,"750","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_108","Workshop","Shop","No",NA,"200","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1080","Barn","Barn","No",NA,"800","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1083","Shed","Shed","No",NA,"120","Estimated","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1085","Shed","Shed","No",NA,"200","Measured or Known","None",NA,"No","No meter/No power",NA,NA
"SITE_1086","Shed","Shed","No",NA,"64","Estimated","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1088","Shed","Shed","No",NA,"140","Measured or Known","Unknown",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1089","Shop","Shop","No",NA,"2000","Estimated","Electric",NA,"No","Meter shared with main residence","Electric, Water",NA
"SITE_1089","Calf barn","Barn","No",NA,"900","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1089","Red shed","Shed","No",NA,"2400","Estimated","Electric",NA,"No","No meter/No power",NA,NA
"SITE_1089","Hoop barn","Barn","No",NA,"5000","Estimated","Electric",NA,"No","Meter shared with main residence","Electric, Water",NA
"SITE_1090","Garage","Garage","No",NA,"576","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1092","Shed","Shed","No",NA,"96","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1093","Garage thing","Garage","No",NA,"400","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1094","Garage","Garage","No",NA,"1852","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1095","Shed","Shed","No",NA,"80","Estimated","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1095","Shed","Shed","No",NA,"30","Estimated","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1096","Pump house","Pump Room","No",NA,"Unknown",NA,"Unknown",NA,"Unknown","Unknown",NA,NA
"SITE_1097","Shed","Shed","No",NA,"240","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1097","Generator shed","Shed","No",NA,"Unknown",NA,"Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1099","Shed","Shed","No",NA,"Unknown",NA,"None",NA,"No","No meter/No power",NA,NA
"SITE_11","Shed","Shed","No",NA,"64","Measured or Known","Unknown",NA,"No","No meter/No power",NA,NA
"SITE_110","Shed","Shed","No",NA,"94","Measured or Known","None",NA,"No","No meter/No power",NA,NA
"SITE_1100","Shop","Shop","No",NA,"1000","Estimated","Wood",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1102","Shed","Shed","No",NA,"64","Estimated","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1107","Shed","Shed","No",NA,"100","Estimated","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1108","Garage","Garage","No",NA,"400","Measured or Known","Electric",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1109","Shed","Shed","No",NA,"100","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1109","Coop","Coop","No",NA,"64","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1109","Shed","Shed","No",NA,"36","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1109","Metal shed","Shed","No",NA,"120","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_1109","Bike shed","Shed","Unknown","Unknown","80","Measured or Known","Wood",NA,"No","No meter/No power",NA,NA
"SITE_111","Shed","Shed","No",NA,"60","Estimated","None",NA,"No","No meter/No power",NA,NA
"SITE_1110","Shop","Shop","No",NA,"2080","Measured or Known","Wood",NA,"No","Meter shared with main residence","Electric",NA
"SITE_1112","Shed","Shed","No",NA,"Unknown",NA,"Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1112","Shed 2","Shed","No",NA,"Unknown",NA,"Unknown",NA,"No","No meter/No power",NA,NA
"SITE_1117","Storage","Other","No",NA,"35","Measured or Known","Wood",NA,"Yes","No meter/No power",NA,NA
"SITE_1118","Shed 1","Shed","No",NA,"130","Estimated","Electric",NA,"No","Meter shared with main residence","Electric",NA
