"SiteID","RoomID","Room_Type","Room_Type_Other","Area","Area_Is_Estimated","Space_Cooling","Space_Heating","Ceiling_Height","Ceiling_Height_Is_Estimated","Duct_Registers_Present"
"SITE_1","ROOM_19664","Entry/Entryway",NA,"121","Measured or Known","Directly Cooled","Directly Heated","18","Measured or Known","Yes"
"SITE_1","ROOM_7516","Office",NA,"94.5","Measured or Known","Directly Cooled","Directly Heated","9.5","Measured or Known","Yes"
"SITE_1","ROOM_39077","Hallway",NA,"36","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_1","ROOM_37752","Bathroom",NA,"30","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_1","ROOM_28473","Living Room",NA,"310","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_1","ROOM_30594","Kitchen",NA,"312","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_1","ROOM_16359","Garage",NA,"376.25","Measured or Known","Not Cooled","Indirectly Heated from Equipment in the Space","10","Measured or Known","No"
"SITE_1","ROOM_17945","Hallway",NA,"36","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","No"
"SITE_1","ROOM_44685","Family Room",NA,"180","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_1","ROOM_26474","Laundry",NA,"48","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_1","ROOM_6753","Bedroom",NA,"121","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_1","ROOM_30216","Bathroom",NA,"65","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_1","ROOM_20582","Bedroom",NA,"240","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_1","ROOM_9852","Bathroom",NA,"142.5","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_1","ROOM_9216","Closet",NA,"36","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_1","ROOM_14159","Bedroom",NA,"121","Measured or Known","Directly Cooled","Directly Heated","8","Measured or Known","Yes"
"SITE_1","ROOM_39531","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_10","ROOM_31190","Outside",NA,NA,NA,NA,NA,NA,NA,NA
"SITE_10","ROOM_32539","Living Room",NA,"190.72","Measured or Known","Indirectly Cooled from Adjacent Spaces","Directly Heated","8.9","Measured or Known","Yes"
"SITE_10","ROOM_16318","Kitchen",NA,"151.36","Measured or Known","Directly Cooled","Directly Heated","8.9","Measured or Known","Yes"
"SITE_10","ROOM_14882","Hallway",NA,"104","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8.9","Measured or Known","Yes"
"SITE_10","ROOM_12340","Bedroom",NA,"126","Measured or Known","Indirectly Cooled from Adjacent Spaces","Directly Heated","8.9","Measured or Known","Yes"
"SITE_10","ROOM_8751","Bedroom",NA,"159.84","Measured or Known","Directly Cooled","Directly Heated","8.9","Measured or Known","Yes"
"SITE_10","ROOM_21851","Laundry",NA,"52.25","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","8.9","Measured or Known","No"
"SITE_10","ROOM_18008","Bedroom",NA,"161","Measured or Known","Indirectly Cooled from Adjacent Spaces","Directly Heated","8.9","Measured or Known","Yes"
"SITE_10","ROOM_9249","Bathroom",NA,"45","Measured or Known","Indirectly Cooled from Adjacent Spaces","Directly Heated","8.9","Measured or Known","No"
"SITE_10","ROOM_45310","Hallway",NA,"41.4","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","10.6","Measured or Known","No"
"SITE_10","ROOM_19635","Attic",NA,"664","Measured or Known","Not Cooled","Directly Heated","5","Measured or Known","Yes"
"SITE_10","ROOM_21951","Garage",NA,"Unknown","Unknown","Unknown","Unknown","8",NA,NA
"SITE_100","ROOM_22003","Garage",NA,"642.6","Measured or Known","Not Cooled","Unheated","13","Measured or Known","No"
"SITE_100","ROOM_44262","Laundry",NA,"53.7","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_100","ROOM_9969","Hallway",NA,"46.8","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","9","Measured or Known","Yes"
"SITE_100","ROOM_16930","Bathroom",NA,"29","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","9","Measured or Known","No"
"SITE_100","ROOM_12304","Bathroom",NA,"128.8","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_100","ROOM_46088","Closet",NA,"58.2","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_100","ROOM_41134","Bedroom",NA,"276","Measured or Known","Directly Cooled","Directly Heated","7.8","Measured or Known","Yes"
"SITE_100","ROOM_28776","Entry/Entryway",NA,"94.6","Measured or Known","Directly Cooled","Directly Heated","11","Measured or Known","Yes"
"SITE_100","ROOM_43521","Living Room",NA,"269.01","Measured or Known","Directly Cooled","Directly Heated","11.5","Measured or Known","Yes"
"SITE_100","ROOM_23172","Dining Room",NA,"169.6","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_100","ROOM_3098","Kitchen",NA,"270.28","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_100","ROOM_24677","Family Room",NA,"246.5","Measured or Known","Directly Cooled","Directly Heated","11.5","Measured or Known","Yes"
"SITE_100","ROOM_23735","Hallway",NA,"72.4","Measured or Known","Indirectly Cooled from Adjacent Spaces","Indirectly Heated from Adjacent Spaces (no heater or vent in room)","9","Measured or Known","No"
"SITE_100","ROOM_7993","Bedroom",NA,"140.4","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_100","ROOM_33248","Bathroom",NA,"55","Measured or Known","Directly Cooled","Directly Heated","9","Measured or Known","Yes"
"SITE_100","ROOM_33164","Bedroom",NA,"163.8","Measured or Known","Directly Cooled","Directly Heated","11","Measured or Known","Yes"
