"SiteID","Primary_Home","Move_In_Year","Business_Operated_Out_of_the_Home","Any_Occupants_Moved_In_within_Last_Year","Any_Occupant_Moved_Out_within_Last_Year","Planning_to_Move_Within_Six_Months","Qty_Occupants_Less_than_1_Year","Qty_Occupants_Between_1_and_5_Years","Qty_Occupants_Between_6_and_10_Years","Qty_Occupants_Between_11_and_18_Years","Qty_Occupants_Between_19_and_45_Years","Qty_Occupants_Between_46_and_64_Years","Qty_Occupants_65_Years_or_Older","Qty_Occupants_Work_Outside_the_Home","Qty_Occupants","Qty_Adults","Do_you_own_or_rent_your_home","Who_pays_the_electric_bill","Who_pays_the_gas_bill","Qty_Occupants_Moved_Out_Past_Year","Qty_Occupants_Moved_In_Past_Year","Home_Usage_Type","Household_Education_Level","Household_Education_Level_Other","Household_Income","Race_Ethnicity"
"SITE_1","Primary","2016","No","No","No","No","0","0","0","0","0","2","0","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Doctorate Degree (e.g., PhD, EdD)",NA,"$150,000 to less than $199,999","White or Caucasian, Black or African American, Native Hawaiian or Other Pacific Islander"
"SITE_10","Primary","2021","Yes","Yes","No","No","0","0","0","0","2","0","0","1","2","2","Own","Occupant","Occupant",NA,"2",NA,"Some college, no degree",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_100","Primary","2012","No","Unknown","Unknown","Unknown","1","2","1","0","2","0","0","2","6","2","Own","Occupant","Occupant","0","0",NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1000","Primary","2015","Yes","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$150,000 to less than $199,999","White or Caucasian"
"SITE_1001","Primary","2008","No","No","No","No","0","0","0","0","0","2","0","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Master’s (e.g., MA, MS, MEng, MEd, MSW, MBA)",NA,"$200,000 and over","White or Caucasian"
"SITE_1002","Primary","2000","No","No","No","No","0","0","0","0","0","2","0","0","2","2","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$200,000 and over","White or Caucasian"
"SITE_1003","Secondary","2011","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,"Second home where I live PART of the time","High School graduate/GED",NA,"$200,000 and over","White or Caucasian"
"SITE_1004","Primary","2004","No","No","No","No","0","0","0","0","0","0","2","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"High School graduate/GED",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_1005","Primary","2020","No","No","Yes","No","0","1","0","0","2","0","0","2","3","2","Own","Occupant","Unknown","1",NA,NA,"Doctorate Degree (e.g., PhD, EdD)",NA,"$100,000 to less than $149,999","White or Caucasian"
"SITE_1006","Primary","2004","Yes","No","No","No","0","0","0","0","2","2","0","2","4","4","Own","Occupant","Occupant",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$100,000 to less than $149,999","White or Caucasian, Hispanic, Latino or Spanish"
"SITE_1007","Primary","1996","No","No","No","No","0","0","0","0","0","0","2","0","2","2","Own","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$75,000 to less than $99,999","White or Caucasian"
"SITE_1008","Primary","2021","No","No","No","No","1","0","0","0","2","0","0","2","3","2","Rent","Occupant","Unknown",NA,NA,NA,"Bachelor’s degree (e.g., BA, BS)",NA,"$25,000 to less than $34,999","White or Caucasian"
"SITE_1009","Primary","2021","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Rent","Occupant","Occupant",NA,NA,NA,"High School graduate/GED",NA,"$15,000 to less than $24,999","White or Caucasian"
"SITE_101","Primary","1986","No","No","No","No","0","0","0","0","0","0","1","0","1","1","Own","Occupant","Occupant",NA,NA,NA,"Associate’s Degree, occupational (e.g., AAS, AAA)",NA,"Refused","White or Caucasian"
"SITE_1010","Primary","2016","No","No","No","No","0","0","0","0","0","0","2","2","2","2","Own","Occupant","Occupant",NA,NA,NA,"Professional Degree (e.g., MD, DDS, DVM, LLB, JD)",NA,"$25,000 to less than $34,999","White or Caucasian"
