"SiteID","Occupant_Controls_Heating_Cooling","Heating_Equipment_Operator","Heating_Equipment_Used_The_Most","Heating_Setpoint","Overnight_Heating_Setpoint","Open_Windows_When_Heating","Block_Off_Part_of_Home_In_Heating_Season","Percent_of_Home_At_Different_Temp","Use_Portable_Heating_Equipment","Is_Portable_Heating_In_Storage","Cooling_Setpoint","Overnight_Cooling_Setpoint","Outdoor_Temp_for_Cooling","Use_Portable_Cooling_Equipment","Is_Portable_Cooling_Equipment_In_Storage","Use_Portable_HP_Equipment","Is_Portable_HP_Equipment_In_Storage","Use_Non_Utility_Fuels_For_Heat","Air_Quality","Location_of_Spare_Lamps","Qty_TVs","TVs_Used_Most","Primary_TV_Hours_per_Day","Primary_TV_Age","Secondary_TVs_Hours_per_Day","Secondary_TV_Age","Smart_Home_Devices_Present","Smart_Home_Hubs_in_Use","Smart_Home_Hub_Communication","Qty_Other_Smart_Hubs","Other_Smart_Hub_Names","Smart_Large_Appliances","Smart_Power_Strips","Qty_Smart_Socket_Plugs","Qty_Smart_Wall_Switches","Qty_Clothes_Washer_Loads_per_Week","Qty_Dishwasher_Loads_per_Week","Percent_Clothes_Washer_Loads_Washed_in_Hot_Water","Showerhead_Used_The_Most","Electric_Vehicle_Present","Pool_Present","Pool_Type","Pool_Location","Pool_Availability_Months_Per_Year","Pool_Area_Sq_Ft","Pool_Area_Is_Estimated","Pool_Cover","Pool_Heat_Primary_Fuel_Type","Pool_Heat_Primary_Fuel_Type_Other","Pool_Solar_Assist","Hot_Tub_Present","Hot_Tub_Area","Hot_Tub_Area_Is_Estimated","Onsite_Power_Generation_Present","Onsite_Power_Generation_Type","Onsite_Power_Generation_Type_Other","Fossil_Fuel_System_Power_Rating","Generator_Fuel","PV_Power_Rating","PV_Financing","PV_Financing_Other","Power_Storage_Present","Power_Storage_Type","Power_Storage_Type_Other","Backup_Battery_Capacity_kW","Backup_Battery_Capacity_kWh","Capacity_of_Hot_Water_Thermal_Storage"
"SITE_1","Yes",NA,"Furnace","68","62","No","No","Unknown","No",NA,"68","68","70",NA,"No",NA,"No","No","No, no air quality problems","Garage","4","Primary & secondary","3","2","0.5","12","Yes","Apple Homekit, Philips Hue, Google Home / Nest","Phone App (using a phone application to start and stop devices and routines), Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,"Refrigerator / Freezer, Thermostat, Lamps/Fixtures","0","3","0","5","5","10","PRIMARY BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_10","Yes",NA,"Furnace","68","50","No","No","0","No",NA,"70","70","85","No","Yes",NA,"No","Yes","No, no air quality problems","Unknown","1",NA,"3","1",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","2","2","0","MAIN BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_100","Yes",NA,"Central Air Source Heat Pump","70","68","Unknown","Unknown","0","Unknown","Unknown","74","74","80","No","Yes",NA,"No","Unknown","No, no air quality problems","Unknown","1",NA,"0","0",NA,NA,"Unknown","Unknown","Unknown",NA,NA,NA,"Unknown","Unknown","Unknown","6","5","85","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1000","Yes",NA,"Furnace","70","68","No","No","0","No",NA,"72","69","Unknown",NA,"No",NA,"No","No","No, no air quality problems","Garage","2","Unknown","12","7","3","16","Yes","Alexa Echo, Google Home / Nest","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features), Phone App (using a phone application to start and stop devices and routines)",NA,NA,NA,"0","0","0","4","3","50","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1001","Yes",NA,"Furnace","68","67","Yes","No","0","No",NA,"72","68","75",NA,"No",NA,"No","No","No, no air quality problems","Utility room","3","Primary and secondary","3","12","1","17","Yes","Alexa Echo","Voice Assistant (using Alexa, Siri, or Google to control Smart Home features)",NA,NA,NA,"0","1","0","3","3","0","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1002","Yes",NA,"Fireplace or Stove","70","58","Yes","Yes","25","No",NA,NA,NA,"Unknown",NA,"No",NA,"No","Yes","Stuffy","Shed","1",NA,"0.25","2",NA,NA,"No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","0.75","0","25","MAIN","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1003","Yes",NA,"Furnace","68","66","No","Yes","0","No",NA,"74",NA,"80",NA,"No",NA,"No","Yes","No, no air quality problems","Utility","7","Primary and secondary","8","10","3","10","Yes","Other","Phone App (using a phone application to start and stop devices and routines)","2","Levitron,  Hai system",NA,"0","0","0","4","6","75","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1004","Yes",NA,"Furnace","75","68","No","Yes","5","No",NA,"77","77","85",NA,"No",NA,"No","No","No, no air quality problems","Unknown","2","Unknown","7","6","4","5","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","4","3","0","MASTER BATH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Solar / PV System",NA,NA,NA,"10.23","Bank loan",NA,"No",NA,NA,NA,NA,NA
"SITE_1005","Yes",NA,"Furnace","68","68","No","No","0","No",NA,"75","68","80",NA,"No",NA,"No","No","No, no air quality problems","Laundry","1",NA,"3","2",NA,NA,"Yes","Google Home / Nest","Phone App (using a phone application to start and stop devices and routines)",NA,NA,NA,"0","Unknown","0","3","6","100","MASTER","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA
"SITE_1006","Yes",NA,"Central Air Source Heat Pump","70","70","No","No","0","No",NA,"70","70","80",NA,"No",NA,"No","No","No, no air quality problems","Kitchen cabinet - LED","2","Unknown","2.5","2","2.5","2","No",NA,NA,NA,NA,NA,"Unknown","Unknown","Unknown","5","2","90","BOTH","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Yes","Solar / PV System",NA,NA,NA,"4","Bank loan",NA,"No",NA,NA,NA,NA,NA
