"SiteID","Quantity","Type","Skylight_Area_Inches","Skylight_Area_Inches_is_Estimated","Frame_Type","Glazing_Type","Opening_Type","Skylight_Direction","Shape","Shape_Other","Skylight_Height_Inches","Skylight_Width_Inches","Shade_Present","Shade_Reflective","Shade_Insulated","Area","U-Value","Skylight_UA"
"SITE_1","1","Fixed","576","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"24","24","No",NA,NA,"576","0.38","1.52"
"SITE_1","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","West","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_100","1","Fixed","572","Measured or Known","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"26","22","No",NA,NA,"572","Unknown","Unknown"
"SITE_100","1","Open","484","Measured or Known","Vinyl","Unknown","Manual","South","Rectangle / Square",NA,"22","22","No",NA,NA,"484","Unknown","Unknown"
"SITE_1003","2","Fixed","377","Measured or Known","Vinyl","Unknown","Unknown","SE","Circle",NA,"20","24","No",NA,NA,"377","Unknown","Unknown"
"SITE_1006","1","Fixed","1440","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"48","30","No",NA,NA,"1440","0.38","3.8"
"SITE_1013","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_1019","2","Fixed","1380","Measured or Known","Vinyl","Double","Unknown","East","Rectangle / Square",NA,"46","30","No",NA,NA,"1380","0.38","7.28"
"SITE_1033","4","Fixed","720","Estimated","Wood - bare","Double","Unknown","North","Rectangle / Square",NA,"18","40","No",NA,NA,"720","0.38","7.6"
"SITE_1033","1","Fixed","1012","Estimated","Wood - bare","Double","Unknown","North","Rectangle / Square",NA,"46","22","No",NA,NA,"1012","0.38","2.67"
"SITE_1033","1","Fixed","968","Estimated","Wood - bare","Double","Unknown","South","Rectangle / Square",NA,"44","22","No",NA,NA,"968","0.38","2.55"
"SITE_104","1","Fixed","1008","Measured or Known","Wood - bare","Double","Unknown","East","Rectangle / Square",NA,"28","36","No",NA,NA,"1008","0.38","2.66"
"SITE_1048","1","Fixed","441","Measured or Known","Aluminum","Double","Unknown","South","Rectangle / Square",NA,"21","21","No",NA,NA,"441","0.7","2.14"
"SITE_1050","1","Fixed","1012","Estimated","Wood aluminum clad","Double","Unknown","South","Rectangle / Square",NA,"46","22","No",NA,NA,"1012","0.7","4.92"
"SITE_1050","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_1050","1","Fixed","Unknown","Unknown","Vinyl","Unknown","Unknown","North","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_1053","1","Fixed","1012","Measured or Known","Aluminum","Double","Unknown","North","Rectangle / Square",NA,"46","22","No",NA,NA,"1012","0.7","4.92"
"SITE_1054","2","Fixed","Unknown","Unknown","Wood - bare","Double","Unknown","NE","Rectangle / Square",NA,"44","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_1055","4","Fixed","1392","Estimated","Aluminum","Double","Unknown","South","Rectangle / Square",NA,"58","24","No",NA,NA,"1392","0.7","27.08"
"SITE_1060","2","Fixed","600","Estimated","Unknown","Unknown","Unknown","East","Rectangle / Square",NA,"30","20","No",NA,NA,"600","Unknown","Unknown"
"SITE_107","1","Fixed","400","Measured or Known","Fiberglass, interior wood clad","Double","Unknown","Unknown","Rectangle / Square",NA,"20","20","No",NA,NA,"400","0.38","1.06"
"SITE_107","2","Fixed","960","Measured or Known","Fiberglass, interior wood clad","Single","Unknown","South","Rectangle / Square",NA,"48","20","No",NA,NA,"960","Unknown","Unknown"
"SITE_1071","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","South","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_108","1","Fixed","1536","Estimated","Vinyl","Unknown","Unknown","West","Rectangle / Square",NA,"48","32","No",NA,NA,"1536","Unknown","Unknown"
"SITE_108","1","Fixed","1536","Estimated","Vinyl","Unknown","Unknown","West","Rectangle / Square",NA,"48","32","No",NA,NA,"1536","Unknown","Unknown"
"SITE_1084","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_1084","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Circle",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_1085","2","Fixed","227","Estimated","Unknown","Unknown","Unknown","Unknown","Circle",NA,"17","17","No",NA,NA,"227","Unknown","Unknown"
"SITE_109","4","Fixed","1296","Measured or Known","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"36","36","No",NA,NA,"1296","Unknown","Unknown"
"SITE_109","1","Fixed","576","Measured or Known","Wood - bare","Unknown","Unknown","South","Rectangle / Square",NA,"24","24","No",NA,NA,"576","Unknown","Unknown"
"SITE_109","1","Fixed","1200","Measured or Known","Wood - bare","Unknown","Unknown","West","Rectangle / Square",NA,"24","50","No",NA,NA,"1200","Unknown","Unknown"
"SITE_1094","1","Fixed","792","Measured or Known","Wood - bare","Double","Unknown","SW","Rectangle / Square",NA,"44","18","No",NA,NA,"792","0.38","2.09"
"SITE_1097","8","Fixed","1044","Estimated","Unknown","Double","Unknown","South","Rectangle / Square",NA,"36","29","Yes","No","No","1044","Unknown","Unknown"
