"SiteID","Meter_ID","Meter_Type","Smart_Meter","Meter_Serves"
"SITE_1","MTR_1","Electric","Yes","House"
"SITE_1","MTR_2","Gas","No","House"
"SITE_10","MTR_1","Gas","No","House"
"SITE_10","MTR_2","Electric","Yes","House"
"SITE_100","MTR_1","Electric","No","Whole house"
"SITE_100","MTR_2","Gas","No","Whole house"
"SITE_1000","MTR_1","Electric","No","House"
"SITE_1000","MTR_2","Gas","No","House"
"SITE_1001","MTR_1","Gas","No","House"
"SITE_1001","MTR_2","Electric","Yes","House"
"SITE_1002","MTR_1","Electric","Yes","Residence"
"SITE_1003","MTR_1","Electric","Yes","House"
"SITE_1004","MTR_1","Electric","Yes","House"
"SITE_1005","MTR_1","Electric","Yes","House"
"SITE_1006","MTR_1","Gas","No","Whole home"
"SITE_1006","MTR_2","Electric","Yes","Whole home"
"SITE_1007","MTR_1","Electric","Yes","Property"
"SITE_1008","MTR_1","Electric","Yes","House and garage"
"SITE_1008","MTR_2","Gas","No","House"
"SITE_1009","MTR_1","Electric","Yes","House"
"SITE_1009","MTR_2","Gas","No","House"
"SITE_101","MTR_1","Electric","Yes","Unknown"
"SITE_101","MTR_2","Gas","No","Unknown"
"SITE_1010","MTR_1","Gas","No","House"
"SITE_1010","MTR_2","Electric","Yes","House"
"SITE_1011","MTR_1","Electric","No","Unknown"
"SITE_1011","MTR_2","Gas","No","Unknown"
"SITE_1012","MTR_1","Electric","Yes","House and outbuilding"
"SITE_1013","MTR_1","Electric","Yes","Whole property"
"SITE_1014","MTR_1","Electric","Yes","Whole house"
"SITE_1014","MTR_2","Gas","No","Unknown"
"SITE_1015","MTR_1","Electric","Yes","Residence"
"SITE_1016","MTR_1","Electric","Yes","Whole house"
"SITE_1017","MTR_1","Electric","Yes","Whole house"
"SITE_1017","MTR_2","Electric","No","Whole house"
"SITE_1018","MTR_1","Electric","Yes","House and garage"
"SITE_1018","MTR_2","Gas","No","Hpuse"
"SITE_1019","MTR_1","Gas","No","Residence"
"SITE_1019","MTR_2","Electric","Yes","Residence"
"SITE_102","MTR_1","Electric","Yes","Unknown"
"SITE_1020","MTR_1","Electric","Yes","House"
"SITE_1021","MTR_1","Electric","Yes","House and possibly pump house"
"SITE_1022","MTR_1","Gas","No","House"
"SITE_1022","MTR_2","Electric","Yes","House"
"SITE_1023","MTR_1","Electric","Yes","House,  barn"
"SITE_1023","MTR_2","Electric","Yes","Studio"
"SITE_1024","MTR_1","Electric","Yes","Unknown"
"SITE_1024","MTR_2","Gas","No","Unknown"
"SITE_1025","MTR_1","Gas","No","Unknown"
"SITE_1025","MTR_2","Electric","Yes","Unknown"
"SITE_1026","MTR_1","Gas","No","Home"
"SITE_1026","MTR_2","Electric","Yes","Home"
"SITE_1027","MTR_1","Electric","Yes","Unknown"
"SITE_1028","MTR_1","Electric","Yes","Residence"
"SITE_1028","MTR_2","Gas","No","Residence"
"SITE_1029","MTR_1","Electric","Yes","House and garage"
"SITE_103","MTR_1","Electric","Yes","The property,  excluding the old home"
"SITE_1030","MTR_1","Electric","Yes","Residence"
"SITE_1030","MTR_2","Gas","No","Residence"
"SITE_1031","MTR_1","Electric","Yes","Residence"
"SITE_1032","MTR_1","Gas","No","House"
"SITE_1032","MTR_2","Electric","Yes","House and garage"
"SITE_1033","MTR_1","Gas","No","House"
"SITE_1033","MTR_2","Electric","Yes","House"
"SITE_1034","MTR_1","Electric","Yes","House"
"SITE_1034","MTR_2","Gas","No","House"
"SITE_1035","MTR_1","Electric","Yes","House"
"SITE_1036","MTR_1","Electric","Yes","Whole house"
"SITE_1036","MTR_2","Gas","No","Whole house"
"SITE_1037","MTR_1","Electric","Yes","Whole property"
"SITE_1038","MTR_1","Electric","Yes","Home"
"SITE_1039","MTR_1","Gas","No","Unknown"
"SITE_1039","MTR_2","Electric","Yes","Unknown"
"SITE_104","MTR_1","Gas","No","Unknown"
"SITE_104","MTR_2","Electric","Yes","Unknown"
"SITE_1040","MTR_1","Electric","Yes","Property"
"SITE_1041","MTR_1","Electric","Yes","Whole house"
"SITE_1042","MTR_1","Electric","Yes","House and garage"
"SITE_1042","MTR_2","Gas","No","House"
"SITE_1043","MTR_1","Electric","Yes","House"
"SITE_1043","MTR_2","Gas","No","House"
"SITE_1044","MTR_1","Electric","Yes","House and garage"
"SITE_1044","MTR_2","Gas","No","House"
"SITE_1045","MTR_1","Electric","Yes","House and outbuildings"
"SITE_1047","MTR_1","Electric","Yes","Unknown"
"SITE_1048","MTR_1","Electric","Yes","House"
"SITE_1049","MTR_1","Electric","Yes","House"
"SITE_1049","MTR_2","Gas","No","House"
"SITE_1051","MTR_1","Electric","Yes","Unknown"
"SITE_1052","MTR_1","Electric","Yes","Whole house"
"SITE_1052","MTR_2","Gas","No","Whole house"
"SITE_1053","MTR_1","Electric","Yes","House"
"SITE_1053","MTR_2","Gas","Yes","House"
"SITE_1054","MTR_1","Electric","Yes","House."
"SITE_1054","MTR_2","Electric","Yes","Garage and cabin"
"SITE_1055","MTR_1","Electric","Yes","Unknown"
"SITE_1055","MTR_2","Gas","No","Unknown"
"SITE_1056","MTR_1","Gas","Yes","Whole property"
"SITE_1057","MTR_1","Electric","Yes","Whole house"
"SITE_1057","MTR_2","Gas","No","Unknown"
"SITE_1058","MTR_1","Electric","Yes","House"
"SITE_1058","MTR_2","Gas","No","House"
"SITE_1059","MTR_1","Electric","Yes","Whole house"
"SITE_1059","MTR_2","Gas","No","Whole house"
"SITE_1060","MTR_1","Electric","Yes","House"
"SITE_1061","MTR_1","Electric","Yes","House and garage"
"SITE_1061","MTR_2","Gas","No","House"
"SITE_1062","MTR_1","Gas","No","House,"
"SITE_1062","MTR_2","Electric","No","House"
"SITE_1063","MTR_1","Electric","Yes","Unknown"
"SITE_1063","MTR_2","Gas","No","Unknown"
"SITE_1064","MTR_1","Electric","Yes","House"
