"SiteID","RoomID","WaterDetail_ID","Room_Type","Fixture_Type","Rated_GPM","Primary_Shower","Usage"
"SITE_1","ROOM_37752","APPL_131968","Bathroom","Faucet","2.2",NA,NA
"SITE_1","ROOM_30594","APPL_168248","Kitchen","Faucet","Unknown",NA,NA
"SITE_1","ROOM_26474","APPL_113309","Laundry","Faucet","2.2",NA,NA
"SITE_1","ROOM_30216","APPL_30275","Bathroom","Faucet","2.2",NA,NA
"SITE_1","ROOM_30216","APPL_45447","Bathroom","Shower / Bathtub combo with Diverter Valve","2.5","Secondary","A few times per year or less"
"SITE_1","ROOM_9852","APPL_24013","Bathroom","Faucet","2.2",NA,NA
"SITE_1","ROOM_9852","APPL_133230","Bathroom","Faucet","2.2",NA,NA
"SITE_10","ROOM_16318","APPL_82496","Kitchen","Faucet","Unknown",NA,NA
"SITE_10","ROOM_9249","APPL_78816","Bathroom","Faucet","Unknown",NA,NA
"SITE_10","ROOM_9249","APPL_3474","Bathroom","Shower / Bathtub combo with Diverter Valve","2","Primary","Daily / Almost Daily"
"SITE_100","ROOM_44262","APPL_105325","Laundry","Faucet","2.2",NA,NA
"SITE_100","ROOM_16930","APPL_3560","Bathroom","Faucet","Unknown",NA,NA
"SITE_100","ROOM_12304","APPL_145779","Bathroom","Faucet","2.2",NA,NA
"SITE_100","ROOM_12304","APPL_24700","Bathroom","Faucet","2.2",NA,NA
"SITE_100","ROOM_12304","APPL_14663","Bathroom","Bathtub","Unknown","Primary","A few times per month"
"SITE_100","ROOM_12304","APPL_47440","Bathroom","Shower","Unknown","Primary","Daily / Almost Daily"
"SITE_100","ROOM_3098","APPL_52812","Kitchen","Faucet","Unknown",NA,NA
"SITE_100","ROOM_33248","APPL_103962","Bathroom","Faucet","Unknown",NA,NA
"SITE_100","ROOM_33248","APPL_88830","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Secondary","Daily / Almost Daily"
"SITE_1000","ROOM_20644","APPL_92997","Bathroom","Shower / Bathtub combo with Diverter Valve","Unknown","Secondary","A few times per year or less"
"SITE_1000","ROOM_20644","APPL_42207","Bathroom","Faucet","Unknown",NA,NA
