NAME,GEO_ID,B25024_001E,B25024_001M,B25024_002E,B25024_002M,B25024_003E,B25024_003M,B25024_004E,B25024_004M,B25024_005E,B25024_005M,B25024_006E,B25024_006M,B25024_007E,B25024_007M,B25024_008E,B25024_008M,B25024_009E,B25024_009M,B25024_010E,B25024_010M,B25024_011E,B25024_011M,NAME,B25024_001MA,B25024_001EA,B25024_002EA,B25024_002MA,B25024_003MA,B25024_003EA,B25024_004MA,B25024_004EA,B25024_005EA,B25024_005MA,B25024_006MA,B25024_006EA,B25024_007EA,B25024_007MA,B25024_008EA,B25024_008MA,B25024_009MA,B25024_009EA,B25024_010MA,B25024_010EA,B25024_011EA,B25024_011MA,ucgid
"Benton County, Oregon",0500000US41003,35922,458,21559,550,1285,227,1425,212,1832,341,2476,385,1949,350,1347,255,1746,250,2252,233,51,41,"Benton County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41003
"Clackamas County, Oregon",0500000US41005,154731,275,105846,1083,5863,481,2371,424,4123,536,7830,632,7535,655,3177,399,7753,534,9989,594,244,153,"Clackamas County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41005
"Clatsop County, Oregon",0500000US41007,21328,224,14254,443,688,200,1015,233,1397,314,641,206,541,207,685,188,552,152,1492,206,63,56,"Clatsop County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41007
"Columbia County, Oregon",0500000US41009,20413,61,15108,373,356,99,504,153,749,170,367,119,262,123,134,72,137,61,2673,275,123,81,"Columbia County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41009
"Coos County, Oregon",0500000US41011,30487,194,20716,528,493,162,822,191,831,183,991,241,375,147,494,166,417,138,5094,360,254,146,"Coos County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41011
"Lane County, Oregon",0500000US41039,154121,799,94909,1154,8653,645,4652,523,7631,681,6887,683,5966,544,4097,422,6185,467,14537,591,604,210,"Lane County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41039
"Lincoln County, Oregon",0500000US41041,30068,361,20018,633,554,151,750,216,1001,247,1140,246,628,161,1011,186,356,125,4452,487,158,89,"Lincoln County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41041
"Linn County, Oregon",0500000US41043,48007,336,31946,531,1587,232,1992,329,2421,365,1349,250,1006,245,725,192,642,143,6196,377,143,67,"Linn County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41043
"Marion County, Oregon",0500000US41047,119630,512,75486,1078,4417,391,3689,513,6648,646,8191,683,4176,441,2850,411,3991,363,9991,618,191,86,"Marion County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41047
"Multnomah County, Oregon",0500000US41051,319601,708,183580,1654,12938,598,13150,756,18214,995,17531,836,19267,1006,18076,953,29927,1037,6410,465,508,152,"Multnomah County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41051
"Polk County, Oregon",0500000US41053,29571,781,20974,847,774,176,862,216,1275,258,1459,321,928,246,474,141,688,197,2048,240,89,81,"Polk County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41053
"Washington County, Oregon",0500000US41067,208773,561,122300,1099,15107,644,4590,481,9953,776,14802,822,14272,880,8999,660,12554,693,6029,358,167,125,"Washington County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41067
"Yamhill County, Oregon",0500000US41071,36363,212,24272,577,1759,256,1453,259,1336,270,913,213,548,169,821,226,1073,177,3990,346,198,123,"Yamhill County, Oregon",,,,,,,,,,,,,,,,,,,,,,,0500000US41071
"Clark County, Washington",0500000US53011,164600,830,111307,1019,8823,687,5084,489,6311,603,8366,554,6525,524,3505,438,6480,481,7893,516,306,146,"Clark County, Washington",,,,,,,,,,,,,,,,,,,,,,,0500000US53011
"Klickitat County, Washington",0500000US53039,9612,67,6536,275,85,82,318,136,310,120,220,98,79,78,60,55,0,123,2004,236,0,123,"Klickitat County, Washington",,,,,,,,,,,,,,,,,,,,,,,0500000US53039
"Skamania County, Washington",0500000US53059,5492,41,4128,191,16,17,61,35,92,60,89,44,8,12,46,24,9,13,1004,181,39,33,"Skamania County, Washington",,,,,,,,,,,,,,,,,,,,,,,0500000US53059
