NAME,B25024_001E,B25024_001EA,B25024_001M,B25024_001MA,B25024_002E,B25024_002EA,B25024_002M,B25024_002MA,B25024_003E,B25024_003EA,B25024_003M,B25024_003MA,B25024_004E,B25024_004EA,B25024_004M,B25024_004MA,B25024_005E,B25024_005EA,B25024_005M,B25024_005MA,B25024_006E,B25024_006EA,B25024_006M,B25024_006MA,B25024_007E,B25024_007EA,B25024_007M,B25024_007MA,B25024_008E,B25024_008EA,B25024_008M,B25024_008MA,B25024_009E,B25024_009EA,B25024_009M,B25024_009MA,B25024_010E,B25024_010EA,B25024_010M,B25024_010MA,B25024_011E,B25024_011EA,B25024_011M,B25024_011MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",40565,,81,,23628,,618,,2180,,316,,1031,,302,,2558,,377,,2938,,405,,1893,,334,,1772,,345,,2293,,342,,2157,,246,,115,,70,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",172599,,153,,117572,,1568,,7858,,614,,2378,,435,,5697,,675,,8552,,732,,5951,,637,,4552,,564,,9580,,703,,10039,,865,,420,,173,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",23251,,90,,15881,,565,,671,,189,,1371,,364,,1537,,316,,825,,232,,362,,156,,787,,212,,452,,216,,1215,,206,,150,,114,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",21980,,36,,16274,,543,,567,,209,,661,,259,,632,,212,,149,,87,,161,,115,,170,,114,,226,,148,,2915,,373,,225,,128,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",31698,,39,,21687,,608,,417,,141,,1254,,311,,1098,,271,,691,,227,,803,,286,,457,,143,,547,,190,,4503,,443,,241,,133,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",168316,,153,,102991,,1358,,9100,,697,,5228,,697,,7776,,795,,8203,,851,,6102,,651,,4714,,626,,9344,,693,,14037,,898,,821,,215,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",32373,,64,,21496,,630,,1464,,266,,646,,196,,1061,,230,,1495,,307,,463,,136,,533,,173,,491,,141,,4395,,401,,329,,131,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",52740,,55,,33665,,775,,2507,,404,,1348,,271,,2426,,412,,1608,,330,,1476,,362,,908,,230,,1034,,266,,7390,,583,,378,,163,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",130600,,174,,82012,,1407,,4737,,575,,3728,,572,,7084,,725,,8573,,831,,6116,,831,,3710,,521,,4712,,596,,9629,,849,,299,,171,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",367704,,133,,196734,,2117,,19388,,984,,12318,,1047,,18800,,1263,,17597,,1135,,20066,,1100,,24058,,1352,,52282,,1603,,5902,,580,,559,,180,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",34446,,124,,23196,,712,,1159,,248,,1264,,314,,1571,,375,,1733,,366,,1153,,296,,821,,296,,1278,,284,,2029,,313,,242,,102,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",240409,,142,,139104,,1580,,20668,,1113,,3668,,577,,13043,,1056,,17510,,1198,,14354,,838,,8885,,895,,18051,,971,,4776,,444,,350,,215,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",40744,,85,,27868,,757,,2171,,407,,790,,194,,1294,,248,,1460,,379,,863,,267,,1182,,312,,1077,,301,,3952,,457,,87,,76,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",201114,,200,,134732,,1443,,12096,,822,,5690,,715,,6206,,667,,9202,,669,,6124,,610,,5688,,623,,13074,,756,,7929,,544,,373,,179,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",10722,,30,,7883,,328,,243,,120,,209,,93,,289,,138,,134,,78,,39,,41,,51,,45,,40,,60,,1750,,309,,84,,74,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",5899,,24,,4610,,180,,86,,53,,135,,55,,113,,45,,43,,27,,25,,25,,45,,26,,6,,9,,759,,161,,77,,38,,0500000US53059,"Skamania County, Washington",0500000US53059
