NAME,GEO_ID,B25034_001E,B25034_001M,B25034_002E,B25034_002M,B25034_003E,B25034_003M,B25034_004E,B25034_004M,B25034_005E,B25034_005M,B25034_006E,B25034_006M,B25034_007E,B25034_007M,B25034_008E,B25034_008M,B25034_009E,B25034_009M,B25034_010E,B25034_010M,NAME,B25034_001EA,B25034_001MA,B25034_002EA,B25034_002MA,B25034_003MA,B25034_003EA,B25034_004EA,B25034_004MA,B25034_005EA,B25034_005MA,B25034_006EA,B25034_006MA,B25034_007EA,B25034_007MA,B25034_008EA,B25034_008MA,B25034_009EA,B25034_009MA,B25034_010EA,B25034_010MA,ucgid
"Benton County, Oregon",0500000US41003,35922,458,1402,236,3562,336,6230,391,3205,344,7856,483,4829,400,3186,319,2002,270,3650,362,"Benton County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41003
"Clackamas County, Oregon",0500000US41005,154731,275,6638,484,14051,767,32102,960,22045,991,34633,967,16375,834,9831,629,6627,477,12429,715,"Clackamas County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41005
"Clatsop County, Oregon",0500000US41007,21328,224,730,160,1658,297,2708,305,2153,353,3571,352,1430,227,1803,252,2194,321,5081,410,"Clatsop County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41007
"Columbia County, Oregon",0500000US41009,20413,61,1063,190,1925,238,3782,280,1812,291,3977,343,1876,254,1108,224,1067,185,3803,349,"Columbia County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41009
"Coos County, Oregon",0500000US41011,30487,194,1025,195,1317,245,3961,399,3088,348,6769,570,3535,424,4306,459,2421,317,4065,439,"Coos County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41011
"Lane County, Oregon",0500000US41039,154121,799,5351,454,11528,558,24406,801,13245,625,39815,1061,22130,973,15334,673,10721,693,11591,624,"Lane County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41039
"Lincoln County, Oregon",0500000US41041,30068,361,732,182,1956,344,5894,551,4554,502,6267,524,3135,444,2799,370,2371,354,2360,324,"Lincoln County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41041
"Linn County, Oregon",0500000US41043,48007,336,2701,341,4031,404,7248,498,4248,395,11332,682,4780,400,4492,415,3572,392,5603,458,"Linn County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41043
"Marion County, Oregon",0500000US41047,119630,512,4035,351,9227,555,22753,1058,14107,905,28315,924,13932,859,10893,684,6199,506,10169,559,"Marion County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41047
"Multnomah County, Oregon",0500000US41051,319601,708,10568,639,23624,939,34288,1054,23282,1056,44604,1271,31170,1081,38478,1136,25817,1050,87770,1427,"Multnomah County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41051
"Polk County, Oregon",0500000US41053,29571,781,2544,335,3253,386,6166,587,2680,397,5884,467,2607,380,2000,266,1687,249,2750,311,"Polk County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41053
"Washington County, Oregon",0500000US41067,208773,561,11196,553,25242,760,52982,1365,32530,1039,43146,1160,21793,887,10442,594,5651,568,5791,493,"Washington County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41067
"Yamhill County, Oregon",0500000US41071,36363,212,2328,293,3973,356,8189,507,4672,463,6486,496,2703,324,1797,272,2038,285,4177,376,"Yamhill County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41071
"Clark County, Washington",0500000US53011,164600,830,9698,631,22200,884,44192,1205,22395,1043,32032,1036,11889,744,8438,526,6085,449,7671,437,"Clark County, Washington",,,,,,,,,,,,,,,,,,,,,0500000US53011
"Klickitat County, Washington",0500000US53039,9612,67,275,131,732,176,1531,180,1144,223,1739,279,758,142,907,203,754,174,1772,239,"Klickitat County, Washington",,,,,,,,,,,,,,,,,,,,,0500000US53039
"Skamania County, Washington",0500000US53059,5492,41,262,97,322,102,1000,149,872,172,1343,189,531,108,283,83,161,62,718,147,"Skamania County, Washington",,,,,,,,,,,,,,,,,,,,,0500000US53059
