"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25034_001E","Estimate!!Total:"
"B25034_001M","Margin of Error!!Total:"
"B25034_002E","Estimate!!Total:!!Built 2014 or later"
"B25034_002M","Margin of Error!!Total:!!Built 2014 or later"
"B25034_003E","Estimate!!Total:!!Built 2010 to 2013"
"B25034_003M","Margin of Error!!Total:!!Built 2010 to 2013"
"B25034_004E","Estimate!!Total:!!Built 2000 to 2009"
"B25034_004M","Margin of Error!!Total:!!Built 2000 to 2009"
"B25034_005E","Estimate!!Total:!!Built 1990 to 1999"
"B25034_005M","Margin of Error!!Total:!!Built 1990 to 1999"
"B25034_006E","Estimate!!Total:!!Built 1980 to 1989"
"B25034_006M","Margin of Error!!Total:!!Built 1980 to 1989"
"B25034_007E","Estimate!!Total:!!Built 1970 to 1979"
"B25034_007M","Margin of Error!!Total:!!Built 1970 to 1979"
"B25034_008E","Estimate!!Total:!!Built 1960 to 1969"
"B25034_008M","Margin of Error!!Total:!!Built 1960 to 1969"
"B25034_009E","Estimate!!Total:!!Built 1950 to 1959"
"B25034_009M","Margin of Error!!Total:!!Built 1950 to 1959"
"B25034_010E","Estimate!!Total:!!Built 1940 to 1949"
"B25034_010M","Margin of Error!!Total:!!Built 1940 to 1949"
"B25034_011E","Estimate!!Total:!!Built 1939 or earlier"
"B25034_011M","Margin of Error!!Total:!!Built 1939 or earlier"
