NAME,GEO_ID,B25040_001E,B25040_001M,B25040_002E,B25040_002M,B25040_003E,B25040_003M,B25040_004E,B25040_004M,B25040_005E,B25040_005M,B25040_006E,B25040_006M,B25040_007E,B25040_007M,B25040_008E,B25040_008M,B25040_009E,B25040_009M,B25040_010E,B25040_010M,NAME,B25040_001EA,B25040_001MA,B25040_002MA,B25040_002EA,B25040_003MA,B25040_003EA,B25040_004EA,B25040_004MA,B25040_005MA,B25040_005EA,B25040_006MA,B25040_006EA,B25040_007EA,B25040_007MA,B25040_008EA,B25040_008MA,B25040_009EA,B25040_009MA,B25040_010MA,B25040_010EA,ucgid
"Benton County, Oregon",0500000US41003,33471,596,13209,532,442,125,16889,673,282,76,0,123,2323,233,11,18,186,73,129,66,"Benton County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41003
"Clackamas County, Oregon",0500000US41005,143357,843,65672,977,3102,306,59991,1264,5074,397,17,23,7865,603,44,41,1410,314,182,82,"Clackamas County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41005
"Clatsop County, Oregon",0500000US41007,16267,364,6529,425,288,96,6559,423,1230,214,0,123,1483,226,0,123,111,50,67,54,"Clatsop County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41007
"Columbia County, Oregon",0500000US41009,19075,281,6054,374,412,101,9438,400,757,154,0,123,2161,231,0,123,199,70,54,51,"Columbia County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41009
"Coos County, Oregon",0500000US41011,27247,422,774,173,1056,186,17466,617,1817,269,34,53,5085,464,24,30,881,225,110,94,"Coos County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41011
"Lane County, Oregon",0500000US41039,143894,1106,24822,968,1475,228,103103,1384,1594,297,10,15,10767,589,23,22,1536,242,564,154,"Lane County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41039
"Lincoln County, Oregon",0500000US41041,20652,701,4470,371,416,118,12803,643,325,132,0,123,2415,286,3,5,151,72,69,39,"Lincoln County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41041
"Linn County, Oregon",0500000US41043,44375,624,16432,598,676,159,21276,812,915,225,0,123,4485,375,0,123,508,140,83,49,"Linn County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41043
"Marion County, Oregon",0500000US41047,112773,870,48074,1005,1175,223,54155,1001,3095,314,15,19,5639,437,45,45,398,105,177,97,"Marion County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41047
"Multnomah County, Oregon",0500000US41051,298398,1313,148612,1607,2349,295,117439,1622,22377,813,0,123,4549,404,68,57,2037,331,967,190,"Multnomah County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41051
"Polk County, Oregon",0500000US41053,27690,806,11203,765,390,119,12984,556,773,148,0,123,2124,284,8,13,197,92,11,18,"Polk County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41053
"Washington County, Oregon",0500000US41067,196438,1051,103511,1251,2168,284,83000,1222,2680,308,0,123,4490,405,9,15,299,99,281,114,"Washington County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41067
"Yamhill County, Oregon",0500000US41071,34025,450,8070,475,897,203,20743,698,780,153,0,123,3268,334,0,123,249,96,18,25,"Yamhill County, Oregon",,,,,,,,,,,,,,,,,,,,,0500000US41071
"Clark County, Washington",0500000US53011,155042,1108,49892,999,1757,290,93715,1386,1791,262,30,50,6799,568,61,52,733,160,264,83,"Clark County, Washington",,,,,,,,,,,,,,,,,,,,,0500000US53011
"Klickitat County, Washington",0500000US53039,8405,222,1576,229,371,108,4152,296,450,114,0,123,1816,262,6,9,27,30,7,11,"Klickitat County, Washington",,,,,,,,,,,,,,,,,,,,,0500000US53039
"Skamania County, Washington",0500000US53059,4514,148,559,119,176,72,2736,202,105,49,0,123,892,147,0,123,35,34,11,16,"Skamania County, Washington",,,,,,,,,,,,,,,,,,,,,0500000US53059
