NAME,B25040_001E,B25040_001EA,B25040_001M,B25040_001MA,B25040_002E,B25040_002EA,B25040_002M,B25040_002MA,B25040_003E,B25040_003EA,B25040_003M,B25040_003MA,B25040_004E,B25040_004EA,B25040_004M,B25040_004MA,B25040_005E,B25040_005EA,B25040_005M,B25040_005MA,B25040_006E,B25040_006EA,B25040_006M,B25040_006MA,B25040_007E,B25040_007EA,B25040_007M,B25040_007MA,B25040_008E,B25040_008EA,B25040_008M,B25040_008MA,B25040_009E,B25040_009EA,B25040_009M,B25040_009MA,B25040_010E,B25040_010EA,B25040_010M,B25040_010MA,GEO_ID,NAME,ucgid
"Benton County, Oregon",33376,,435,,13500,,538,,408,,114,,16463,,593,,237,,89,,0,,28,,2439,,261,,42,,39,,154,,64,,133,,74,,0500000US41003,"Benton County, Oregon",0500000US41003
"Clackamas County, Oregon",147736,,821,,67830,,1074,,3220,,346,,61928,,1201,,4151,,413,,0,,28,,8894,,644,,87,,97,,1408,,268,,218,,138,,0500000US41005,"Clackamas County, Oregon",0500000US41005
"Clatsop County, Oregon",15746,,412,,6740,,376,,334,,101,,6078,,407,,752,,126,,0,,25,,1648,,191,,0,,25,,132,,62,,62,,48,,0500000US41007,"Clatsop County, Oregon",0500000US41007
"Columbia County, Oregon",18772,,309,,6114,,375,,240,,80,,9571,,407,,334,,96,,0,,25,,2253,,236,,0,,25,,216,,102,,44,,35,,0500000US41009,"Columbia County, Oregon",0500000US41009
"Coos County, Oregon",25847,,478,,1201,,245,,844,,181,,17208,,633,,1172,,203,,0,,28,,4751,,353,,87,,78,,523,,132,,61,,44,,0500000US41011,"Coos County, Oregon",0500000US41011
"Lane County, Oregon",145627,,1017,,25768,,863,,1268,,220,,104550,,1398,,1149,,231,,0,,28,,10752,,558,,47,,39,,1412,,261,,681,,173,,0500000US41039,"Lane County, Oregon",0500000US41039
"Lincoln County, Oregon",20672,,463,,4661,,346,,291,,84,,12947,,482,,163,,80,,0,,25,,2280,,222,,0,,25,,289,,106,,41,,30,,0500000US41041,"Lincoln County, Oregon",0500000US41041
"Linn County, Oregon",44942,,464,,16490,,728,,795,,171,,22430,,731,,376,,128,,0,,28,,4177,,373,,20,,28,,534,,146,,120,,67,,0500000US41043,"Linn County, Oregon",0500000US41043
"Marion County, Oregon",113883,,754,,48355,,1101,,1307,,227,,55637,,1233,,2211,,276,,8,,14,,5366,,501,,10,,17,,694,,163,,295,,137,,0500000US41047,"Marion County, Oregon",0500000US41047
"Multnomah County, Oregon",308595,,1340,,154887,,1721,,2698,,328,,126813,,1847,,15760,,767,,37,,36,,5298,,514,,72,,54,,1440,,240,,1590,,252,,0500000US41051,"Multnomah County, Oregon",0500000US41051
"Polk County, Oregon",28253,,409,,10206,,535,,263,,94,,14509,,646,,764,,215,,0,,28,,2226,,263,,26,,29,,144,,73,,115,,87,,0500000US41053,"Polk County, Oregon",0500000US41053
"Washington County, Oregon",203901,,1237,,105557,,1446,,2224,,338,,88499,,1603,,2262,,295,,0,,28,,4366,,472,,116,,73,,465,,145,,412,,128,,0500000US41067,"Washington County, Oregon",0500000US41067
"Yamhill County, Oregon",34149,,489,,8295,,534,,848,,156,,21151,,616,,557,,155,,0,,28,,2876,,295,,0,,28,,313,,124,,109,,78,,0500000US41071,"Yamhill County, Oregon",0500000US41071
"Clark County, Washington",160492,,842,,53155,,947,,1734,,258,,96642,,1208,,1457,,250,,7,,12,,6449,,462,,31,,34,,593,,120,,424,,129,,0500000US53011,"Clark County, Washington",0500000US53011
"Klickitat County, Washington",7959,,262,,1431,,214,,462,,132,,4160,,314,,233,,70,,0,,22,,1568,,203,,7,,9,,94,,52,,4,,8,,0500000US53039,"Klickitat County, Washington",0500000US53039
"Skamania County, Washington",4433,,156,,504,,92,,181,,68,,2728,,188,,70,,36,,0,,19,,947,,137,,0,,19,,3,,6,,0,,19,,0500000US53059,"Skamania County, Washington",0500000US53059
