Total Population,,,,,,,,,,,,,
Area / Year,2022,2025,2030,2035,2040,2045,2047,2050,2055,2060,2065,2070,2072
Coos County,"65,215","65,296","65,267","65,137","65,046","65,177","65,317","65,528","65,880","66,234","66,591","66,949","67,093"
Bandon,"3,678","3,748","3,867","4,005","4,195","4,475","4,598","4,787","5,117","5,468","5,840","6,235","6,400"
Coos Bay,"16,044","16,140","16,256","16,333","16,397","16,486","16,542","16,625","16,759","16,887","17,009","17,124","17,169"
Coquille,"4,376","4,354","4,305","4,252","4,209","4,185","4,180","4,174","4,161","4,147","4,131","4,113","4,106"
Lakeside,"1,918","1,952","2,005","2,047","2,079","2,104","2,116","2,135","2,166","2,197","2,228","2,257","2,269"
Myrtle Point,"3,548","3,515","3,449","3,383","3,326","3,286","3,274","3,256","3,225","3,193","3,161","3,127","3,113"
North Bend,"10,439","10,555","10,720","10,851","10,956","11,056","11,110","11,190","11,321","11,449","11,574","11,695","11,742"
Powers,718,711,697,687,684,692,696,701,711,720,729,738,742
Outside UGB Area,"24,494","24,321","23,967","23,577","23,201","22,894","22,800","22,659","22,419","22,172","21,919","21,659","21,553"
,,,,,,,,,,,,,
"Proposed Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2022.",,,,,,,,,,,,,
Note: All UGBs are referred using their city names.,,,,,,,,,,,,,
