Baker County,
YEAR,POPULATION
2023,"16,977"
2024,"17,037"
2025,"17,081"
2026,"17,114"
2027,"17,134"
2028,"17,145"
2029,"17,148"
2030,"17,144"
2031,"17,134"
2032,"17,117"
2033,"17,093"
2034,"17,064"
2035,"17,031"
2036,"16,995"
2037,"16,954"
2038,"16,909"
2039,"16,861"
2040,"16,810"
2041,"16,757"
2042,"16,701"
2043,"16,643"
2044,"16,583"
2045,"16,521"
2046,"16,457"
2047,"16,393"
2048,"16,327"
2049,"16,261"
2050,"16,192"
2051,"16,122"
2052,"16,052"
2053,"15,982"
2054,"15,911"
2055,"15,839"
2056,"15,765"
2057,"15,691"
2058,"15,615"
2059,"15,539"
2060,"15,460"
2061,"15,380"
2062,"15,298"
2063,"15,215"
2064,"15,130"
2065,"15,042"
2066,"14,953"
2067,"14,861"
2068,"14,768"
2069,"14,674"
2070,"14,579"
2071,"14,485"
2072,"14,393"
2073,"14,302"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
