YEAR,POPULATION
2023,"434,554"
2024,"438,416"
2025,"442,121"
2026,"445,729"
2027,"449,249"
2028,"452,707"
2029,"455,998"
2030,"459,143"
2031,"462,162"
2032,"465,072"
2033,"467,884"
2034,"470,557"
2035,"473,118"
2036,"475,591"
2037,"477,997"
2038,"480,351"
2039,"482,627"
2040,"484,850"
2041,"487,042"
2042,"489,220"
2043,"491,404"
2044,"493,560"
2045,"495,699"
2046,"497,831"
2047,"499,967"
2048,"502,116"
2049,"504,260"
2050,"506,394"
2051,"508,513"
2052,"510,614"
2053,"512,692"
2054,"514,743"
2055,"516,761"
2056,"518,738"
2057,"520,666"
2058,"522,539"
2059,"524,381"
2060,"526,185"
2061,"527,942"
2062,"529,647"
2063,"531,292"
2064,"532,867"
2065,"534,370"
2066,"535,801"
2067,"537,160"
2068,"538,447"
2069,"539,694"
2070,"540,898"
2071,"542,058"
2072,"543,173"
2073,"544,244"
2074,"545,307"
