YEAR,POPULATION
2023,"42,445"
2024,"42,855"
2025,"43,224"
2026,"43,555"
2027,"43,854"
2028,"44,129"
2029,"44,366"
2030,"44,573"
2031,"44,756"
2032,"44,918"
2033,"45,063"
2034,"45,184"
2035,"45,284"
2036,"45,367"
2037,"45,437"
2038,"45,497"
2039,"45,543"
2040,"45,579"
2041,"45,605"
2042,"45,623"
2043,"45,634"
2044,"45,642"
2045,"45,646"
2046,"45,646"
2047,"45,642"
2048,"45,632"
2049,"45,624"
2050,"45,616"
2051,"45,605"
2052,"45,592"
2053,"45,575"
2054,"45,558"
2055,"45,539"
2056,"45,518"
2057,"45,494"
2058,"45,465"
2059,"45,431"
2060,"45,392"
2061,"45,347"
2062,"45,296"
2063,"45,239"
2064,"45,172"
2065,"45,096"
2066,"45,012"
2067,"44,922"
2068,"44,824"
2069,"44,724"
2070,"44,620"
2071,"44,512"
2072,"44,402"
2073,"44,289"
2074,"44,176"
