YEAR,POPULATION
2023,"53,556"
2024,"53,938"
2025,"54,303"
2026,"54,654"
2027,"54,990"
2028,"55,314"
2029,"55,615"
2030,"55,895"
2031,"56,158"
2032,"56,406"
2033,"56,641"
2034,"56,855"
2035,"57,051"
2036,"57,233"
2037,"57,404"
2038,"57,567"
2039,"57,717"
2040,"57,857"
2041,"57,991"
2042,"58,120"
2043,"58,248"
2044,"58,367"
2045,"58,479"
2046,"58,586"
2047,"58,688"
2048,"58,787"
2049,"58,883"
2050,"58,977"
2051,"59,066"
2052,"59,152"
2053,"59,233"
2054,"59,309"
2055,"59,380"
2056,"59,443"
2057,"59,498"
2058,"59,545"
2059,"59,588"
2060,"59,625"
2061,"59,656"
2062,"59,679"
2063,"59,694"
2064,"59,698"
2065,"59,692"
2066,"59,675"
2067,"59,647"
2068,"59,607"
2069,"59,561"
2070,"59,506"
2071,"59,444"
2072,"59,373"
2073,"59,295"
2074,"59,212"
