Gilliam County,
YEAR,POPULATION
2023,"2,044"
2024,"2,057"
2025,"2,068"
2026,"2,078"
2027,"2,088"
2028,"2,098"
2029,"2,108"
2030,"2,117"
2031,"2,126"
2032,"2,135"
2033,"2,143"
2034,"2,151"
2035,"2,159"
2036,"2,168"
2037,"2,175"
2038,"2,183"
2039,"2,190"
2040,"2,197"
2041,"2,204"
2042,"2,211"
2043,"2,218"
2044,"2,224"
2045,"2,230"
2046,"2,236"
2047,"2,242"
2048,"2,248"
2049,"2,253"
2050,"2,259"
2051,"2,265"
2052,"2,270"
2053,"2,276"
2054,"2,282"
2055,"2,288"
2056,"2,294"
2057,"2,300"
2058,"2,306"
2059,"2,311"
2060,"2,317"
2061,"2,322"
2062,"2,327"
2063,"2,332"
2064,"2,336"
2065,"2,341"
2066,"2,345"
2067,"2,349"
2068,"2,353"
2069,"2,356"
2070,"2,360"
2071,"2,364"
2072,"2,368"
2073,"2,372"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
