Grant County,
YEAR,POPULATION
2023,"7,241"
2024,"7,238"
2025,"7,231"
2026,"7,221"
2027,"7,206"
2028,"7,188"
2029,"7,167"
2030,"7,143"
2031,"7,116"
2032,"7,085"
2033,"7,052"
2034,"7,017"
2035,"6,979"
2036,"6,939"
2037,"6,898"
2038,"6,854"
2039,"6,809"
2040,"6,762"
2041,"6,715"
2042,"6,666"
2043,"6,617"
2044,"6,567"
2045,"6,517"
2046,"6,471"
2047,"6,426"
2048,"6,384"
2049,"6,343"
2050,"6,304"
2051,"6,268"
2052,"6,236"
2053,"6,206"
2054,"6,178"
2055,"6,152"
2056,"6,129"
2057,"6,108"
2058,"6,088"
2059,"6,070"
2060,"6,053"
2061,"6,037"
2062,"6,022"
2063,"6,008"
2064,"5,996"
2065,"5,985"
2066,"5,975"
2067,"5,965"
2068,"5,957"
2069,"5,948"
2070,"5,941"
2071,"5,933"
2072,"5,925"
2073,"5,917"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
