YEAR,POPULATION
2023,"24,127"
2024,"24,356"
2025,"24,581"
2026,"24,805"
2027,"25,026"
2028,"25,247"
2029,"25,461"
2030,"25,669"
2031,"25,873"
2032,"26,073"
2033,"26,270"
2034,"26,459"
2035,"26,642"
2036,"26,820"
2037,"26,995"
2038,"27,166"
2039,"27,329"
2040,"27,487"
2041,"27,641"
2042,"27,792"
2043,"27,941"
2044,"28,087"
2045,"28,230"
2046,"28,372"
2047,"28,513"
2048,"28,653"
2049,"28,794"
2050,"28,934"
2051,"29,073"
2052,"29,213"
2053,"29,352"
2054,"29,490"
2055,"29,629"
2056,"29,766"
2057,"29,902"
2058,"30,038"
2059,"30,173"
2060,"30,309"
2061,"30,445"
2062,"30,582"
2063,"30,718"
2064,"30,852"
2065,"30,986"
2066,"31,118"
2067,"31,249"
2068,"31,378"
2069,"31,508"
2070,"31,637"
2071,"31,766"
2072,"31,894"
2073,"32,021"
2074,"32,149"
