Malheur County,
YEAR,POPULATION
2023,"32,368"
2024,"32,624"
2025,"32,874"
2026,"33,120"
2027,"33,358"
2028,"33,588"
2029,"33,812"
2030,"34,032"
2031,"34,248"
2032,"34,455"
2033,"34,655"
2034,"34,849"
2035,"35,040"
2036,"35,228"
2037,"35,406"
2038,"35,578"
2039,"35,744"
2040,"35,906"
2041,"36,066"
2042,"36,218"
2043,"36,365"
2044,"36,505"
2045,"36,641"
2046,"36,773"
2047,"36,898"
2048,"37,016"
2049,"37,126"
2050,"37,230"
2051,"37,327"
2052,"37,416"
2053,"37,499"
2054,"37,575"
2055,"37,643"
2056,"37,704"
2057,"37,759"
2058,"37,807"
2059,"37,849"
2060,"37,883"
2061,"37,911"
2062,"37,935"
2063,"37,955"
2064,"37,974"
2065,"37,992"
2066,"38,011"
2067,"38,032"
2068,"38,053"
2069,"38,075"
2070,"38,096"
2071,"38,118"
2072,"38,140"
2073,"38,162"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
