Morrow County,
YEAR,POPULATION
2023,"12,402"
2024,"12,471"
2025,"12,538"
2026,"12,604"
2027,"12,668"
2028,"12,729"
2029,"12,788"
2030,"12,846"
2031,"12,903"
2032,"12,956"
2033,"13,007"
2034,"13,055"
2035,"13,103"
2036,"13,151"
2037,"13,195"
2038,"13,237"
2039,"13,278"
2040,"13,317"
2041,"13,357"
2042,"13,395"
2043,"13,430"
2044,"13,464"
2045,"13,497"
2046,"13,530"
2047,"13,564"
2048,"13,600"
2049,"13,639"
2050,"13,682"
2051,"13,729"
2052,"13,779"
2053,"13,833"
2054,"13,888"
2055,"13,946"
2056,"14,006"
2057,"14,068"
2058,"14,131"
2059,"14,195"
2060,"14,260"
2061,"14,325"
2062,"14,392"
2063,"14,460"
2064,"14,530"
2065,"14,601"
2066,"14,674"
2067,"14,748"
2068,"14,824"
2069,"14,902"
2070,"14,981"
2071,"15,061"
2072,"15,142"
2073,"15,223"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
