Sherman County,
YEAR,POPULATION
2023,"1,882"
2024,"1,885"
2025,"1,888"
2026,"1,891"
2027,"1,894"
2028,"1,896"
2029,"1,897"
2030,"1,898"
2031,"1,899"
2032,"1,899"
2033,"1,898"
2034,"1,898"
2035,"1,897"
2036,"1,896"
2037,"1,895"
2038,"1,894"
2039,"1,893"
2040,"1,892"
2041,"1,892"
2042,"1,891"
2043,"1,890"
2044,"1,889"
2045,"1,888"
2046,"1,887"
2047,"1,887"
2048,"1,886"
2049,"1,886"
2050,"1,886"
2051,"1,886"
2052,"1,886"
2053,"1,886"
2054,"1,887"
2055,"1,887"
2056,"1,889"
2057,"1,890"
2058,"1,891"
2059,"1,893"
2060,"1,894"
2061,"1,895"
2062,"1,896"
2063,"1,896"
2064,"1,896"
2065,"1,896"
2066,"1,895"
2067,"1,894"
2068,"1,893"
2069,"1,891"
2070,"1,889"
2071,"1,888"
2072,"1,886"
2073,"1,884"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
