YEAR,POPULATION
2023,"28,115"
2024,"28,340"
2025,"28,550"
2026,"28,747"
2027,"28,932"
2028,"29,110"
2029,"29,272"
2030,"29,420"
2031,"29,558"
2032,"29,686"
2033,"29,808"
2034,"29,915"
2035,"30,010"
2036,"30,096"
2037,"30,174"
2038,"30,247"
2039,"30,311"
2040,"30,369"
2041,"30,421"
2042,"30,468"
2043,"30,511"
2044,"30,553"
2045,"30,593"
2046,"30,631"
2047,"30,665"
2048,"30,697"
2049,"30,729"
2050,"30,762"
2051,"30,793"
2052,"30,822"
2053,"30,848"
2054,"30,874"
2055,"30,898"
2056,"30,921"
2057,"30,941"
2058,"30,958"
2059,"30,975"
2060,"30,990"
2061,"31,003"
2062,"31,014"
2063,"31,022"
2064,"31,026"
2065,"31,026"
2066,"31,021"
2067,"31,013"
2068,"31,000"
2069,"30,984"
2070,"30,964"
2071,"30,941"
2072,"30,915"
2073,"30,885"
2074,"30,853"
