Umatilla County,
YEAR,POPULATION
2023,"81,251"
2024,"81,755"
2025,"82,267"
2026,"82,785"
2027,"83,291"
2028,"83,785"
2029,"84,269"
2030,"84,745"
2031,"85,216"
2032,"85,667"
2033,"86,103"
2034,"86,529"
2035,"86,947"
2036,"87,360"
2037,"87,756"
2038,"88,139"
2039,"88,513"
2040,"88,881"
2041,"89,246"
2042,"89,598"
2043,"89,939"
2044,"90,271"
2045,"90,596"
2046,"90,916"
2047,"91,224"
2048,"91,522"
2049,"91,810"
2050,"92,088"
2051,"92,357"
2052,"92,619"
2053,"92,873"
2054,"93,118"
2055,"93,356"
2056,"93,585"
2057,"93,807"
2058,"94,021"
2059,"94,227"
2060,"94,425"
2061,"94,614"
2062,"94,797"
2063,"94,972"
2064,"95,141"
2065,"95,303"
2066,"95,458"
2067,"95,607"
2068,"95,750"
2069,"95,887"
2070,"96,018"
2071,"96,151"
2072,"96,286"
2073,"96,423"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
