Union County,
YEAR,POPULATION
2023,"26,358"
2024,"26,431"
2025,"26,502"
2026,"26,572"
2027,"26,633"
2028,"26,687"
2029,"26,736"
2030,"26,782"
2031,"26,827"
2032,"26,863"
2033,"26,892"
2034,"26,916"
2035,"26,936"
2036,"26,955"
2037,"26,967"
2038,"26,975"
2039,"26,978"
2040,"26,977"
2041,"26,973"
2042,"26,965"
2043,"26,953"
2044,"26,938"
2045,"26,918"
2046,"26,895"
2047,"26,871"
2048,"26,845"
2049,"26,817"
2050,"26,787"
2051,"26,754"
2052,"26,720"
2053,"26,685"
2054,"26,648"
2055,"26,609"
2056,"26,568"
2057,"26,523"
2058,"26,476"
2059,"26,425"
2060,"26,372"
2061,"26,315"
2062,"26,254"
2063,"26,189"
2064,"26,121"
2065,"26,051"
2066,"25,978"
2067,"25,900"
2068,"25,820"
2069,"25,736"
2070,"25,650"
2071,"25,565"
2072,"25,480"
2073,"25,397"
,
"Population Forecasts prepared by: Population Research Center, Portland State University, June 30, 2023.",
